German,English
umgebung,Surroundings
mitbringen,bring
beteiligt,involved
dunkeln,dark
entwickeln,develop
schämen,be ashamed
erwachsene,Adults
zack,pow
durchsuchen,search
hollywood,Hollywood
rollen,roll
vergesst,forget
tricks,tricks
plätze,places
gefangene,prisoner
sünden,sins
sender,Channel
verlass,verlass
räumen,clear
lerne,learn
rettet,save
hinweise,hints
ausreden,excuses
alexander,Alexander
mommy,mommy
diejenige,the one
nächte,nights
herrscht,prevails
bud,bud
jahres,year
dna,dna
romantisch,romantic
flüstert,whispers
drück,suppressive
jeremy,jeremy
bedanken,thank
verabredet,appointment
pilot,pilot
colt,colt
nigger,nigger
reizend,lovely
grade,grade
stanley,stanley
leib,body
stecke,put
scheisse,Shit
ärztin,doctor
vergewaltigt,raped
mußt,must
lieferung,delivery
botschafter,ambassador
studieren,to study
köpfe,heads
duschen,take a shower
kopfschmerzen,a headache
öl,oil
knarre,rattle
sekretärin,secretary
phase,phase
handschellen,handcuffs
lewis,lewis
versehen,Mistake
bande,band
treu,loyal to
positiv,positive
meiste,most
museum,museum
albtraum,nightmare
margaret,margaret
verlobt,engaged
besiegt,defeated
existieren,exist
könne,could
proben,rehearse
beschissen,crappy
gewinne,win
personal,staff
christian,Christian
bewaffnet,armed
fällen,make
wecken,wake up
wirkung,effect
kurt,kurt
connor,connor
rebecca,rebecca
therapie,therapy
travis,travis
amüsieren,amuse
ordentlich,orderly
weglaufen,run away
aufgewacht,woke up
nähern,draw closer
decken,cover
sinne,senses
leutnant,lieutenant
zauberer,wizard
hogan,hogan
bittet,asks
ankunft,Arrivals
klopft,knocking
abstand,distance
bewusstsein,awareness
nation,nation
kontrolliert,controlled
treffer,hit
abnehmen,lose weight
ratten,rats
anwälte,lawyers
tempel,temple
vergiftet,poisoned
kunde,customer
august,August
wunden,sore
unangenehm,unpleasant
ausrüstung,equipment
segen,blessing
präsentiert,presents
schließ,closing
kehle,throat
krone,Crown
garantiert,guaranteed
durchsucht,searched
president,president
tracy,tracy
verfluchte,accursed
bestimmten,certain
clay,clay
ladies,ladies
b.,b.
ladung,charge
beinen,legs
hell,bright
kent,kent
kapitel,chapter
chase,chase
benutze,use
alibi,alibi
ziele,aims
bestie,beast
gus,gus
nirgends,nowhere
wohnzimmer,living room
beute,prey
bau,construction
brennen,burn
lex,lex
durst,thirst
logan,logan
schwarzer,black
schmutzig,dirty
liebhaber,Lover
ersetzen,replace
juli,July
verfahren,process
kirk,kirk
stiefel,Boots
inspector,inspector
allzu,too
camp,camp
dürft,may
orten,locate
hitze,heat
spielzeug,toy
tv,tv
gloria,gloria
wolle,wool
knurrt,growling
meldet,reports
rita,rita
zone,Zone
trocken,dry
lincoln,lincoln
schreibst,write
audrey,audrey
quinn,quinn
probier,try
le,le
kids,kids
unterschrieben,signed
do,do
heulen,howl
entschlossen,determined
paket,package
gefiel,liked
bekamen,got
netten,nice
geheime,secret
jennifer,jennifer
aktiviert,activated
ausweg,way out
hinweg,away
schmuck,Jewellery
ausgang,exit
wunderschöne,beautiful
zurückkommt,returns
ann,ann
illegal,illegal
ferien,vacation
persönlichen,personal
geiseln,chastise
segne,bless
normaler,normal
steuer,tax
aufgepasst,watch out
murphy,murphy
raumschiff,spaceship
dummen,stupid
weißer,white
ausbildung,training
klavier,piano
hauptsache,main thing
admiral,admiral
entgegen,opposite
fasse,summarize
strecke,route
julian,Julian
version,version
hilfreich,helpful
schweren,serious
h,H
jahrelang,for years
leeren,to empty
küste,coast
baron,baron
behörden,authorities
grüße,greetings
geklärt,clarified
bruders,brother
kaufte,bought
stone,stone
puls,Pulse
blue,blue
flur,Hall
denselben,the same
rettung,rescue
widerlich,disgusting
parkplatz,parking spot
katzen,cats
laster,vice
sozusagen,so to speak
mittwoch,Wednesday
unschuldige,innocent
abwarten,wait
grandma,grandma
florida,Florida
re,re
grünen,green
könntet,could
aufnahmen,Recordings
vision,vision
schauspielerin,actress
passe,passe
sing,sing
glückliche,happy
highschool,high school
friedhof,graveyard
irrtum,mistake
klienten,client
nervt,sucks
leidet,suffers
reverend,reverend
trainieren,work out
gegenwart,present
zurückbringen,return
herman,herman
protokoll,protocol
studenten,students
durchaus,absolutely
grausam,horrible
höchste,highest
verwickelt,involved
schmecken,taste
klappen,Valves
apropos,by the way
liz,liz
alfred,alfred
ansonsten,otherwise
wade,calf
missverständnis,misunderstanding
mitglieder,members
motorrad,motorcycle
mickey,mickey
blicken,look
glücklicher,fortunately
hübschen,pretty
dicke,thickness
gewünscht,required
gejagt,hunted
diejenigen,those
diskutieren,to discuss
pinkeln,to pee
huhn,chicken
erheben,raise
paradies,paradise
tagebuch,diary
möglichen,potential
jenseits,beyond
arschlöcher,assholes
apartment,apartment
mason,mason
pfeift,whistles
dieselben,the same
wilden,wild
vergaß,forgot
enttäuschen,disappoint
greg,greg
konsequenzen,consequences
fleck,spot
macgyver,macgyver
führerschein,driver's license
online,on-line
bete,pray
verdächtige,suspicious
enkel,grandson
normalen,normal
stift,pen
interview,interview
süßen,sweeten
riesige,huge
aussicht,view
ned,ned
wiederkommen,come back
werbung,advertising
warf,threw
telefoniert,phone
anblick,sight
einzelnen,each
teppich,carpet
hielten,held
handel,trade
gekannt,known
getrieben,driven
trainer,Trainer
scully,scully
schuh,shoe
bomben,bomb
kämpfer,fighter
victoria,victoria
bedenken,concerns
sitzung,meeting
ken,ken
sicheren,secure
verkaufe,sell
ron,ron
tapfer,brave
experiment,experiment
besorge,get you
tiefe,depth
narren,fool
abgeholt,picked up
abhalten,discourage
bestimmte,certain
laufenden,current
auftaucht,shows up
school,school
löschen,Clear
tara,tare
sebastian,sebastian
mies,bad
sarg,coffin
r,r
vertragen,tolerate
gebissen,bitten
geheimen,secret
drinks,drinks
schlief,fell asleep
tradition,tradition
soeben,just
komische,comic
schultz,schultz
aufgehalten,stopped
fähigkeit,ability
attraktiv,attractive
begriff,term
versichere,assure
schilde,shields
legte,put
mitteilen,tell
sdh,sdh
gemütlich,cozy
muster,template
versprach,promised
überwachen,monitor
eingeschlafen,fell asleep
schlimmsten,worst
verlierst,lose
einzelne,separate
vergib,forgive
vorbeikommen,come round
aua,ouch
brüste,breasts
sandwich,sandwich
gewinner,winner
verständnis,understanding
g,G
raymond,raymond
papst,pope
toast,toast
matthew,matthew
einsteigen,enter
löwen,lions
einsetzen,deploy
gewinn,profit
schüchtern,shy
scheinst,seem
pflanzen,plants
green,green
sheldon,sheldon
christopher,christopher
hätt,hätt
coach,coach
werte,values
modell,model
übernimmt,takes over
walton,walton
heftig,violently
vorfall,incident
motel,motel
teams,teams
irgendeinen,any
müsstest,would have
freier,free
zirkus,circus
ruhm,Fame
zurzeit,for now
ausmachen,turn off
rezept,recipe
töchter,daughters
laute,Lute
akzeptiert,accepted
geschwindigkeit,speed
beliebt,popular
verpflichtet,Committed
betrüger,deceiver
lohnt,worth
märchen,fairy tale
blöder,stupid
becky,becky
wille,will
hügel,hill
königreich,kingdom
dennis,dennis
kehren,sweep
baut,builds
chinesen,chinese
gesichert,secured
michel,michel
ruth,Ruth
block,block
belogen,lied to
malen,to paint
kofferraum,trunk
road,road
bursche,fellow
erin,erin
geständnis,confession
ausgegangen,went out
begreifen,understand
dana,dana
blitz,lightning
löst,triggers
furcht,fear
jersey,jersey
ernstes,serious
verteilt,distributed
bezüglich,in terms of
faszinierend,fascinating
aufmerksam,attentively
aufregung,excitement
wendy,wendy
ethan,ethan
orte,places
entführung,kidnapping
keucht,pants
erhielt,received
treue,loyalty
felsen,rock
malcolm,malcolm
kurzen,short
zorn,anger
taucht,dive
bestimmen,determine
ausgesetzt,exposed
zurückgeben,hand back
verkehr,traffic
bewiesen,demonstrated
generation,generation
liebste,favorite
ausrichten,align
ausnahme,exception
ebene,level
herrlich,gloriously
stürzen,fall
herausforderung,Challenge
gefälligst,kindly
farben,Colours
geliebten,beloved
ankommen,arrive
tempo,tempo
unterbrechen,interrupt
kindes,child
babe,babe
erden,earth
schrecklichen,terrible
falsches,false
täuschen,To deceive
tal,valley
irgendwer,anyone
deins,yours
witwe,widow
sichern,to back up
gerede,talk
betrug,amounted to
trauer,mourning
anwesenheit,presence
bilden,form
gewachsen,grown
ausflug,Excursion
jill,jill
verlaufen,run
rand,edge
kenny,kenny
rechnen,count
aufzug,elevator
befragen,consult
wegnehmen,take away
abschied,farewell
benötigen,need
pst,shush
amt,office
reiche,rich
otto,otto
beginn,beginning
daumen,thumb
bestrafen,punish
clarence,clarence
weine,cry
fremder,foreign
sachte,gently
identifiziert,identified
gestehen,confess
mac,mac
owen,owen
morris,morris
riesig,huge
entscheide,decide
koma,coma
prinzen,prince
bewusstlos,unconscious
county,county
marke,brand
harter,harder
hill,hill
höflich,polite
jude,Jew
setzte,sat
besorg,Please bang
absichtlich,intentionally
vermasselt,screwed up
verschlossen,locked
sowie,such as
gesang,singing
gedreht,turned
ford,ford
religion,religion
ey,ey
unterschrift,signature
rosen,roses
persönliches,personal
queen,queen
fortschritte,progress
eingang,entrance
zugehört,listened
biete,offer
clara,clara
vorhaben,project
kultur,Culture
patientin,patientin
stephen,stephen
explodiert,explodes
nichte,niece
verzichten,dispense
steven,steven
harris,harris
existenz,existence
drehbuch,script
football,football
anzusehen,to watch
ohnmächtig,unconscious
zaun,fence
anthony,anthony
geladen,loaded
guckt,peeps
privat,Private
peg,peg
brauchten,needed
liam,liam
heb,heb
virginia,Virginia
wächter,Guardian
eimer,bucket
blasen,blow
rakete,rocket
salz,salt
unfair,unfair
verzeiht,forgives
esel,ass
krankenschwester,Nurse
symbol,symbol
entscheidet,decides
fahrzeug,vehicle
unterwäsche,underwear
betrachtet,considered
bauern,farmers
engländer,English people
wartete,was waiting
schaust,look
genossen,enjoyed
tropfen,drops
probiert,tried
spock,spock
café,coffee shop
verhungern,to starve
versuchten,tried
mütter,mothers
september,September
aktion,action
bestanden,passed
haaren,moult
louise,louise
schluchzt,sobs
übertrieben,exaggerated
heilmittel,remedy
apparat,apparatus
vorm,front
friedlich,peaceful
richtiges,real
zuschauer,spectator
teenager,teenager
geliefert,delivered
may,may
gestritten,fought
maus,mouse
lediglich,only
charakter,character
riley,riley
krass,awesome
weiterer,Another
group,group
ricky,ricky
diana,Diana
geräusche,Sounds
lichter,lights
starken,strengthen
dexter,dexter
staffel,relay
flaschen,bottles
putzen,brush
einbruch,Burglary
geheilt,healed
beißen,bite
nicole,nicole
stammen,come
wände,walls
befürchte,fear
kostüm,costume
warren,warren
grüßen,to greet
versagen,to fail
übernommen,accepted
hoffte,hoped
verschieben,move
verspätung,delay
whiskey,whiskey
mars,Mars
media,media
entdecken,discover
traue,trust
thron,throne
riesigen,giant
zelt,tent
akzent,accent
truppe,troops
übertragen,transfer
kompliment,compliment
flammen,Flames
erkennst,recognize
erschrecken,scare
gemälde,painting
ari,ari
walt,walt
chip,chip
mannschaft,team
cindy,cindy
loyalität,loyalty
benjamin,Benjamin
dankeschön,Thank you very much
vertreten,represent
verhandlung,negotiation
lernst,learn
brüllt,yells
füllen,to fill
letztendlich,at long last
krise,crisis
verlierer,loser
spencer,spencer
with,with
kekse,Cookies
ausschalten,turn off
penis,penis
profi,professional
whisky,whiskey
erledige,kill
gelächter,laughter
fängst,begin
erklär,explanatory
einspruch,objection
angeln,fishing
rausgehen,go out
monk,monk
kaution,deposit
eures,yours
gesessen,sat
verrate,tell
kehrt,returns
boy,boy
summe,total
lade,drawer
billig,cheap
curtis,curtis
bernard,bernard
juni,June
gerissen,cracked
festgenommen,arrested
ralph,ralph
befohlen,commanded
überlege,think
koordinaten,coordinates
flog,flew
herzinfarkt,Heart attack
hinlegen,lay down
nahrung,food
liege,lounger
geflohen,fled
knall,bang
nebenbei,by the way
mylord,milord
nachbar,Neighbor
küss,kiss
lhrem,lhrem
geleistet,done
nutzt,uses
fröhliche,happy
nebel,fog
front,front
veränderung,change
affe,monkey
kontaktieren,to contact
brand,fire
fuhren,to lead
zwischenzeit,interim
eingesetzt,used
anton,anton
philip,philip
megan,megan
schlimmeres,worse
rennt,runs
anlegen,invest
nachzudenken,thinking
schwör,swear
übliche,usual
kreatur,creature
verderben,spoil
medizinische,medical
besetzt,occupied
zugriff,access
kanal,channel
blutdruck,blood pressure
grüne,green
ausgeben,output
papi,daddy
clown,clown
lhrer,lhrer
sonny,sonny
schwören,swear
hühnchen,chicken
arten,species
aufgebaut,built up
sydney,sydney
betrügen,cheat
steele,steele
trank,drank
glatt,smooth
trainiert,trained
indien,India
autor,author
geweint,cried
blume,flower
verletzungen,violations
special,special
zwillinge,Twins
mia,mia
reißt,rips
zeigst,show
stirb,die
justin,justin
diane,diane
gefickt,fucked
schlägst,beat
moskau,Moscow
erwartest,expect
gestoßen,pushed
durchgehen,go through
praxis,practice
gründlich,thoroughly
benny,benny
eingeschlossen,locked in
tragödie,tragedy
vollständig,Completely
psychiater,psychiatrist
rasse,race
lance,lance
vertraust,trust
kummer,sorrow
eigener,own
christine,christine
partei,Political party
zentrum,center
testament,testament
entfernung,distance
private,private
welten,worlds
verlegen,embarrassed
heroin,heroin
erfuhr,learned
gelände,terrain
kutsche,coach
dummer,dumber
homer,homer
stabil,stable
ausgeschlossen,locked out
out,out
draus,out of it
aufgehoben,canceled
single,single
regisseur,Director
vielmals,very much
dylan,dylan
bestand,duration
k,k
erbe,heritage
weggelaufen,Run away
jim-bob,jim-bob
noah,Noah
leichte,light
zuständig,responsible
losgehen,start
long,long
hustet,coughs
brutal,brutally
besprochen,discussed
halbes,half
bargeld,Cash
peggy,peggy
action,action
zusammenarbeiten,work together
beunruhigt,worried
achte,eighth
innere,inner
kanone,cannon
eklig,disgusting
x,x
armes,low
avenue,avenue
öffentlich,public
nützt,benefits
marine,marine
brillant,brilliant
köder,bait
gespräche,conversations
nähert,approaches
vorgehen,Action
kleinigkeit,small thing
kissen,pillow
manny,manny
geisel,hostage
gerecht,just
trost,consolation
gehasst,hated
a.,a.
gesorgt,provided
archer,archer
spinner,crackhead
vergebung,forgiveness
vieh,cattle
schnelle,fast
normales,normal
gefesselt,bound
lautes,loud
kalte,cold
leitet,passes
angehen,approach
ekelhaft,disgusting
salat,salad
schicht,layer
intelligent,intelligent
meg,meg
verhältnis,relationship
socken,socks
brieftasche,wallet
holly,holly
packt,grabs
eventuell,perhaps
nirgendwohin,nowhere
methode,method
gelangen,reach
gespannt,curious; excited
vernunft,reason
zurückgehen,return
regnet,raining
drama,drama
entspannt,relaxed
wörter,words
klingeln,ring
ruhige,quiet
sprung,Leap
anständig,decent
gangster,gangster
harten,tough
aufzeichnungen,records
ofen,oven
cowboy,cowboy
endgültig,finally
aufgaben,tasks
ruh,ruh
deutsch,German
neil,neil
wodka,vodka
know,know
air,air
respektieren,respect
riskant,risky
lohn,wage
zuviel,too much
zustimmen,agree
schnaps,schnapps
troy,troy
stufe,step
erleichtert,facilitated
scheune,barn
vanessa,vanessa
klink,klink
spaziergang,walk
katherine,katherine
zettel,note
kotzen,puke
blödmann,dumbass
hurra,Hooray
lana,lana
symptome,symptoms
vorfahren,ancestors
nutzlos,useless
shaw,shaw
telefonnummer,phone number
nochmals,again
grey,gray
medien,media
faul,lazy
dient,is
russell,russell
ereignisse,events
aussuchen,choose
verprügelt,beat
zweites,second
sherlock,sherlock
fabelhaft,fabulous
klinge,blade
leistung,power
beileid,sympathy
castle,castle
durchführen,carry out
mitchell,mitchell
eröffnen,open
unschuld,innocence
seist,seist
stoßen,bump
palmer,palmer
like,Like
genügend,enough
sofa,sofa
gestatten,allow
gekocht,cooked
biest,beast
lydia,Lydia
bräuchte,need
ausgelöst,triggered
väter,fathers
verarscht,verarscht
butter,butter
nachbarschaft,neighborhood
villa,villa
data,data
goldene,golden
schließe,clasp
saft,juice
begehen,commit
hauptquartier,headquarters
geschworen,sworn
abgenommen,removed
werkstatt,Workshop
überreden,persuade
nannten,named
gemüse,vegetables
schläger,bat
frisst,eats
bewundere,admire
geschieden,divorced
assistentin,assistant
wettbewerb,competition
lebten,lived
sieger,winner
verfassung,constitution
küsst,kissing
fußball,Soccer
geschnitten,sliced
master,master
quietschen,squeak
füttern,feed
gürtel,belt
unschuldigen,innocent
menschlich,human
eigenartig,peculiarly
oje,oh dear
hanna,hanna
kabel,electric wire
duke,duke
franz,French
zahn,tooth
landet,lands
kisten,crates
liegst,lying
mona,mona
krankenstation,infirmary
leine,rope
beschreibung,description
ausmacht,makes
beschädigt,damaged
grundstück,Property
steckte,put
bahn,train
turm,tower
mine,mine
sauerstoff,oxygen
nö,nope
angesichts,in view of
ll,ll
versager,failure
deinetwegen,because of you
vic,vic
angeklagt,accused
aufhört,ends
baden,to bathe
knacken,crack
verbindungen,links
panzer,tank
marcel,Marcel
bach,creek
leiser,quieter
stimmengewirr,buzz
zerstörung,destruction
stirn,forehead
finn,finn
sanft,gently
kloster,monastery
charmant,charming
aufbauen,build up
thanksgiving,thanksgiving
anlass,occasion
zähle,count
verlieben,falling in love
atmosphäre,the atmosphere
ronnie,ronnie
samantha,samantha
leber,liver
jener,that
begegnen,to encounter
dämlich,stupid
krawatte,tie
juan,Juan
tarnung,camouflage
kanada,Canada
alpha,alpha
baker,baker
tabletten,tablets
faust,fist
auftreten,occur
monroe,monroe
blatt,sheet
gelöscht,deleted
dschungel,jungle
alison,alison
niedlich,cute
c.,c.
klage,legal action
wolltet,wanted
jonas,Jonah
akt,act
schießerei,shoot-out
anwältin,lawyer
überleg,überleg
frisur,hairstyle
spruch,saying
jene,those
moral,moral
angelegenheiten,Affairs
dokumente,Documents
fröhlich,Happy
spezies,species
oktober,October
schachtel,box
opfers,victim
noten,grades
ellie,ellie
irgendwohin,somewhere
nora,nora
brunnen,Fountain
toby,toby
sandy,sandy
lampe,lamp
craig,craig
jagt,hunts
eigentum,property
diebstahl,theft
spenden,donate
betrieb,business
gemeinsame,common
absurd,absurd
gegensatz,contrast
frühling,spring
dünn,thin
ausland,foreign countries
schultern,Shoulders
entwicklung,development
vergehen,elapse
ahnen,suspect
verbessern,improve
herzog,duke
diskussion,discussion
gehalt,salary
lemon,lemon
freak,freak
glocke,Bell jar
