Mandarin,English
"说得对
shuō dé duì","Yes
shuō dé duì"
"ﻧ
ﻧ","ن
ن"
"ﺪ
ﺪ","د
د"
"爱情
àiqíng","love
àiqíng"
"还给
huángěi","Returned
huángěi"
"加
jiā","plus
jiā"
"校对
jiàoduì","Proofread
jiàoduì"
"一边
yībiān","One side
yībiān"
"宇宙
yǔzhòu","universe
yǔzhòu"
"请问
qǐngwèn","Excuse me
qǐngwèn"
"一點
yīdiǎn","a little
yīdiǎn"
"死去
sǐqù","Dead
sǐqù"
"心情
xīnqíng","mood
xīnqíng"
"撞
zhuàng","hit
zhuàng"
"明显
míngxiǎn","obvious
míngxiǎn"
"h
h","h
h"
"不敢
bùgǎn","Dare
bùgǎn"
"找个
zhǎo gè","Find
zhǎo gè"
"现场
xiànchǎng","on site
xiànchǎng"
"一部分
yībùfen","Portion
yībùfen"
"ﻨ
ﻨ","ن
ن"
"失踪
shīzōng","Missing
shīzōng"
"未
wèi","not
wèi"
"毁
huǐ","destroy
huǐ"
"垃圾
lājī","Rubbish
lājī"
"十分
shífēn","very
shífēn"
"愛
ài","Love
ài"
"相当
xiāngdāng","quite
xiāngdāng"
"の
の","の
の"
"這兒
zhèr","here
zhèr"
"before
before","before
before"
"regular
regular","regular
regular"
"than
than","than
than"
"鱼
yú","fish
yú"
"接着
jiēzhe","then
jiēzhe"
"不可
bùkě","Can not
bùkě"
"同
tòng","with
tòng"
"健康
jiànkāng","health
jiànkāng"
"提醒
tíxǐng","remind
tíxǐng"
"包
bāo","package
bāo"
"测试
cèshì","test
cèshì"
"maybe
maybe","maybe
maybe"
"随时
suíshí","at any time
suíshí"
"事儿
shìr","thing
shìr"
"遗憾
yíhàn","regret
yíhàn"
"犯罪
fànzuì","crime
fànzuì"
"治疗
zhìliáo","treatment
zhìliáo"
"狗屎
gǒushǐ","Dog feces
gǒushǐ"
"這種
zhèzhǒng","This kind
zhèzhǒng"
"命
mìng","Life
mìng"
"c
c","c
c"
"太阳
tàiyang","sun
tàiyang"
"你别
nǐ biè","You do not
nǐ biè"
"习惯
xíguàn","habit
xíguàn"
"night
night","night
night"
"大卫
dàwèi","David
dàwèi"
"last
last","last
last"
"怪物
guàiwu","monster
guàiwu"
"靠近
kàojìn","near
kàojìn"
"反应
fǎnyìng","reaction
fǎnyìng"
"某个
mǒu gè","A
mǒu gè"
"意见
yìjiàn","opinion
yìjiàn"
"蛋糕
dàngāo","cake
dàngāo"
"时刻
shíkè","time
shíkè"
"于是
yúshì","then
yúshì"
"床上
chuáng shàng","Bed
chuáng shàng"
"责任
zérèn","responsibility
zérèn"
"充满
chōngmǎn","full
chōngmǎn"
"热
rè","heat
rè"
"多年
duōnián","for many years
duōnián"
"楷体
kǎitǐ","Italics
kǎitǐ"
"亨利
hēnglì","Henry
hēnglì"
"心里
xīnli","At heart
xīnli"
"说谎
shuōhuǎng","lie
shuōhuǎng"
"自
zì","from
zì"
"work
work","work
work"
"见鬼
jiànguǐ","Go to hell
jiànguǐ"
"份
fèn","Part
fèn"
"干吗
gànmá","Why
gànmá"
"脚
jiǎo","foot
jiǎo"
"祈祷
qídǎo","prayer
qídǎo"
"疯子
fēngzi","madman
fēngzi"
"差点
chàdiǎn","Almost
chàdiǎn"
"fndidactic
fndidactic","fndidactic
fndidactic"
"我该
wǒ gāi","I should
wǒ gāi"
"好极了
hǎo jíle","great
hǎo jíle"
"说真的
shuō zhēn de","seriously
shuō zhēn de"
"ﻮ
ﻮ","و
و"
"活动
huódòng","activity
huódòng"
"stop
stop","stop
stop"
"块
kuài","Piece
kuài"
"对付
duìfu","Cope
duìfu"
"命运
mìngyùn","fate
mìngyùn"
"醫生
yīshēng","Doctors
yīshēng"
"查
chá","check
chá"
"罗马
luómǎ","Rome
luómǎ"
"發生
fāshēng","occur
fāshēng"
"同志
tóngzhì","Comrade
tóngzhì"
"臭
chòu","smelly
chòu"
"必須
bìxū","have to
bìxū"
"照
zhào","Photo
zhào"
"服务
fúwù","service
fúwù"
"call
call","call
call"
"糟
zāo","Bad
zāo"
"anything
anything","anything
anything"
"尊重
zūnzhòng","respect
zūnzhòng"
"关闭
guānbì","shut down
guānbì"
"準備
zhǔnbèi","ready
zhǔnbèi"
"first
first","first
first"
"期待
qīdài","look forward to
qīdài"
"号码
hàomǎ","number
hàomǎ"
"again
again","again
again"
"资料
zīliào","data
zīliào"
"て
て","Te
Te"
"机器
jīqì","machine
jīqì"
"读
dú","read
dú"
"盯
dīng","stare
dīng"
"关
guān","turn off
guān"
"办
bàn","do
bàn"
"天使
tiānshǐ","angel
tiānshǐ"
"去过
qù guo","Been
qù guo"
"难过
nánguò","Sorry
nánguò"
"快點
kuàidiǎn","Faster
kuàidiǎn"
"记忆
jìyì","memory
jìyì"
"女士们
nǚshìmen","Ladies
nǚshìmen"
"過來
guòlai","come
guòlai"
"线索
xiànsuǒ","clue
xiànsuǒ"
"nothing
nothing","nothing
nothing"
"正好
zhènghǎo","Just
zhènghǎo"
"秒
miǎo","second
miǎo"
"表示
biǎoshì","Show
biǎoshì"
"脑袋
nǎodài","Head
nǎodài"
"爷爷
yéye","grandfather
yéye"
"探员
tànyuán","Agents
tànyuán"
"移动
yídòng","mobile
yídòng"
"错过
cuòguò","miss
cuòguò"
"旁边
pángbiān","next to
pángbiān"
"留下来
liú xià lái","stay
liú xià lái"
"彼此
bǐcǐ","each other
bǐcǐ"
"社会
shèhuì","society
shèhuì"
"好事
hàoshì","Good deed
hàoshì"
"跟踪
gēnzōng","track
gēnzōng"
"唔
wú","Well
wú"
"keep
keep","keep
keep"
"尼克
níkè","Nick
níkè"
"疼
téng","pain
téng"
"弧
hú","arc
hú"
"及
jí","and
jí"
"不断
bùduàn","Constantly
bùduàn"
"た
た","Ta
Ta"
"away
away","away
away"
"私人
sīrén","private
sīrén"
"嘴
zuǐ","mouth
zuǐ"
"上床
shàngchuáng","Go to bed
shàngchuáng"
"好玩
hàowán","Fun
hàowán"
"神父
shénfu","Fr.
shénfu"
"周围
zhōuwéi","around
zhōuwéi"
"就让
jiù ràng","Let
jiù ràng"
"put
put","put
put"
"自从
zìcóng","since
zìcóng"
"叫做
jiàozuò","Be called
jiàozuò"
"主要
zhǔyào","main
zhǔyào"
"这场
zhè chǎng","This
zhè chǎng"
"创造
chuàngzào","create
chuàngzào"
"无聊
wúliáo","bored
wúliáo"
"作品
zuòpǐn","works
zuòpǐn"
"制作
zhìzuò","Make
zhìzuò"
"干杯
gānbēi","Cheers
gānbēi"
"保罗
bǎoluó","Paul
bǎoluó"
"装
zhuāng","Dress
zhuāng"
"第二
dìèr","second
dìèr"
"四个
sì gè","Four
sì gè"
"法庭
fǎtíng","court
fǎtíng"
"设计
shèjì","design
shèjì"
"干掉
gàndiào","Kill
gàndiào"
"稱
chēng","Call
chēng"
"这点
zhè diǎn","this point
zhè diǎn"
"压力
yālì","pressure
yālì"
"轻松
qīngsōng","Relaxed
qīngsōng"
"those
those","those
those"
"other
other","other
other"
"哥
gē","brother
gē"
"上车
shàngchē","boarding
shàngchē"
"说明
shuōmíng","Explanation
shuōmíng"
"谈论
tánlùn","talk
tánlùn"
"與
yǔ","versus
yǔ"
"超级
chāojí","super
chāojí"
"停下来
tíngxiàlái","stop
tíngxiàlái"
"抢
qiǎng","grab
qiǎng"
"区
qū","Area
qū"
"要么
yàome","Or
yàome"
"两
liǎng","Two
liǎng"
"速度
sùdù","speed
sùdù"
"有钱
yǒuqián","rich
yǒuqián"
"确保
quèbǎo","make sure
quèbǎo"
"詹姆斯
zhānmǔsī","James
zhānmǔsī"
"手上
shǒu shàng","Hands
shǒu shàng"
"周末
zhōumò","weekend
zhōumò"
"long
long","long
long"
"没见
méi jiàn","Seen
méi jiàn"
"警长
jǐng cháng","Sheriff
jǐng cháng"
"袭击
xíjī","Raid
xíjī"
"感覺
gǎnjué","feel
gǎnjué"
"主
zhǔ","the Lord
zhǔ"
"won
won","won
won"
"刀
dāo","Knife
dāo"
"咬
yǎo","bite
yǎo"
"上来
shànglái","Up
shànglái"
"尤其
yóuqí","especially
yóuqí"
"你家
nǐ jiā","your home
nǐ jiā"
"船长
chuánzhǎng","captain
chuánzhǎng"
"浪费
làngfèi","waste
làngfèi"
"怎麼樣
zěnmeyàng","how about it
zěnmeyàng"
"怀孕
huáiyùn","pregnancy
huáiyùn"
"婚姻
hūnyīn","marriage
hūnyīn"
"talk
talk","talk
talk"
"die
die","die
die"
"副
fù","vice
fù"
"信号
xìnhào","signal
xìnhào"
"天堂
tiāntáng","heaven
tiāntáng"
"恐怖
kǒngbù","terror
kǒngbù"
"角色
juésè","Roles
juésè"
"心脏
xīnzàng","heart
xīnzàng"
"恐惧
kǒngjù","fear
kǒngjù"
"赚
zuàn","earn
zuàn"
"n
n","n
n"
"很难
hěn nán","Difficult
hěn nán"
"去世
qùshì","Die
qùshì"
"性感
xìnggǎn","Sexy
xìnggǎn"
"记者
jìzhě","reporter
jìzhě"
"笵
fàn","bamboo mold
fàn"
"離開
líkāi","go away
líkāi"
"嘘
xū","Hiss
xū"
"客户
kèhù","client
kèhù"
"由于
yóuyú","due to
yóuyú"
"thought
thought","thought
thought"
"庆祝
qìngzhù","celebrate
qìngzhù"
"嫁给
jià gěi","Married
jià gěi"
"总之
zǒngzhī","In short
zǒngzhī"
"惊喜
jīngxǐ","Pleasantly surprised
jīngxǐ"
"土地
tǔdi","land
tǔdi"
"更加
gèngjiā","more
gèngjiā"
"四
sì","four
sì"
"出來
chulai","come out
chulai"
"安
Ān","Secure
Ān"
"处
chù","Office
chù"
"会议
huìyì","meeting
huìyì"
"女性
nǚxìng","female
nǚxìng"
"技术
jìshù","technology
jìshù"
"送到
sòng dào","To
sòng dào"
"年轻人
niánqīngrén","young people
niánqīngrén"
"官
guān","official
guān"
"地址
dìzhǐ","address
dìzhǐ"
"困难
kùnnan","difficult
kùnnan"
"惹
rě","provoke
rě"
"件
jiàn","Item
jiàn"
"在乎
zàihu","care
zàihu"
"和平
hépíng","peace
hépíng"
"制造
zhìzào","manufacture
zhìzào"
"离婚
líhūn","divorce
líhūn"
"認為
rènwéi","think
rènwéi"
"那好
nà hǎo","Well
nà hǎo"
"似的
shìde","Like
shìde"
"sam
sam","sam
sam"
"非常感谢
fēichánggǎnxiè","thank you very much
fēichánggǎnxiè"
"同学
tóngxué","Classmate
tóngxué"
"请求
qǐngqiú","request
qǐngqiú"
"看不到
kàn bù dào","can not see
kàn bù dào"
"常
cháng","often
cháng"
"动作
dòngzuò","action
dòngzuò"
"不停
bùtíng","Non-stop
bùtíng"
"今年
jīnnián","this year
jīnnián"
"must
must","must
must"
"歌
gē","song
gē"
"演出
yǎnchū","show
yǎnchū"
"参与
cānyù","participate
cānyù"
"艾
yì","Ai
yì"
"逃跑
táopǎo","Flee
táopǎo"
"一点点
yīdiǎndiǎn","a little bit
yīdiǎndiǎn"
"香港
xiānggǎng","Hong Kong
xiānggǎng"
"汽车
qìchē","car
qìchē"
"杀手
shāshǒu","Killer
shāshǒu"
"ever
ever","ever
ever"
"after
after","after
after"
"提到
tídào","Mention
tídào"
"兴奋
xīngfèn","Excited
xīngfèn"
"丹尼
dānní","Danny
dānní"
"剩
shèng","Surplus
shèng"
"毒品
dúpǐn","drug
dúpǐn"
"史
shǐ","history
shǐ"
"踢
tī","kick
tī"
"home
home","home
home"
"分手
fēnshǒu","Breaking up
fēnshǒu"
"问问
wèn wèn","Ask
wèn wèn"
"做爱
zuòài","Sex
zuòài"
"马克
mǎkè","mark
mǎkè"
"一群
yīqún","group
yīqún"
"好处
hǎochu","benefit
hǎochu"
"宝宝
bǎobǎo","baby
bǎobǎo"
"森林
sēnlín","forest
sēnlín"
"赢得
yíngdé","win
yíngdé"
"生存
shēngcún","survive
shēngcún"
"厕所
cèsuǒ","WC
cèsuǒ"
"things
things","things
things"
"な
な","Na
Na"
"荣幸
róngxìng","with pleasure
róngxìng"
"报警
bàojǐng","Call the police
bàojǐng"
"地上
dìshang","Ground
dìshang"
"wait
wait","wait
wait"
"送给
sònggěi","Give
sònggěi"
"e
e","e
e"
"喝一杯
hē yī bēi","have a drink
hē yī bēi"
"世上
shìshàng","The world
shìshàng"
"想念
xiǎngniàn","miss
xiǎngniàn"
"这会
zhè huì","this will
zhè huì"
"大约
dàyuē","about
dàyuē"
"可恶
kěwù","hateful
kěwù"
"合适
héshì","Suitable
héshì"
"普通
pǔtōng","ordinary
pǔtōng"
"天才
tiāncái","genius
tiāncái"
"生物
shēngwù","biological
shēngwù"
"之中
zhīzhōng","Among the
zhīzhōng"
"肉
ròu","meat
ròu"
"妓女
jìnǚ","prostitute
jìnǚ"
"尽快
jìnkuài","ASAP
jìnkuài"
"报纸
bàozhǐ","newspaper
bàozhǐ"
"俱乐部
jùlèbù","club
jùlèbù"
"提出
tíchū","put forward
tíchū"
"正式
zhèngshì","formal
zhèngshì"
"洗
xǐ","wash
xǐ"
"政治
zhèngzhì","political
zhèngzhì"
"从不
cóngbù","Never
cóngbù"
"一辈子
yībèizi","lifetime
yībèizi"
"取消
qǔxiāo","cancel
qǔxiāo"
"两年
liǎng nián","Two years
liǎng nián"
"world
world","world
world"
"监视
jiānshì","Surveillance
jiānshì"
"产生
chǎnshēng","produce
chǎnshēng"
"犹太人
yóutàirén","Jew
yóutàirén"
"玩意
wányì","Stuff
wányì"
"班
bān","class
bān"
"搞砸
gǎozá","Messed up
gǎozá"
"只不过
zhǐbùguò","only
zhǐbùguò"
"显示
xiǎnshì","display
xiǎnshì"
"价值
jiàzhí","value
jiàzhí"
"带到
dàidào","Brought
dàidào"
"吉姆
jí mǔ","Jim
jí mǔ"
"恶魔
èmó","demon
èmó"
"一周
yīzhōu","One week
yīzhōu"
"told
told","told
told"
"状况
zhuàngkuàng","situation
zhuàngkuàng"
"那位
nà wèi","Who
nà wèi"
"辦
bàn","do
bàn"
"name
name","name
name"
"作
zuò","Make
zuò"
"guy
guy","guy
guy"
"建立
jiànlì","set up
jiànlì"
"山姆
shān mǔ","Sam
shān mǔ"
"高中
gāozhòng","Senior middle school
gāozhòng"
"娶
qǔ","Married
qǔ"
"ﻲ
ﻲ","ي
ي"
"说实话
shuōshíhuà","to be frank
shuōshíhuà"
"去年
qùnián","last year
qùnián"
"厨房
chúfáng","kitchen
chúfáng"
"特殊
tèshū","special
tèshū"
"黑人
hēirén","Black person
hēirén"
"邪恶
xiéè","evil
xiéè"
"勇敢
yǒnggǎn","Brave
yǒnggǎn"
"j
j","j
j"
"不算
bù suàn","Is not
bù suàn"
"石头
shítou","stone
shítou"
"等到
děngdào","wait until
děngdào"
"does
does","does
does"
"假装
jiǎzhuāng","pretend
jiǎzhuāng"
"better
better","better
better"
"运动
yùndòng","movement
yùndòng"
"介意
jièyì","Mind
jièyì"
"转
zhuàn","turn
zhuàn"
"兩個
liǎng gè","Two
liǎng gè"
"手下
shǒuxià","Men
shǒuxià"
"两天
liǎngtiān","Two days
liǎngtiān"
"摆
bǎi","put
bǎi"
"印度
yìndù","India
yìndù"
"耶稣
yēsū","Jesus
yēsū"
"手指
shǒuzhǐ","finger
shǒuzhǐ"
"思考
sīkǎo","Think
sīkǎo"
"累
lèi","tired
lèi"
"沒錯
méicuò","Yes
méicuò"
"机场
jīchǎng","airport
jīchǎng"
"茶
chá","tea
chá"
"地点
dìdiǎn","location
dìdiǎn"
"恢复
huīfù","restore
huīfù"
"夜晚
yèwǎn","night
yèwǎn"
"帽子
màozi","hat
màozi"
"执行
zhíxíng","carried out
zhíxíng"
"比尔
bǐěr","Bill
bǐěr"
"输
shū","lose
shū"
"时代
shídài","era
shídài"
"状态
zhuàngtài","status
zhuàngtài"
"years
years","years
years"
"餐厅
cāntīng","restaurant
cāntīng"
"人会
rén huì","People will
rén huì"
"ﻠ
ﻠ","ل
ل"
"呵呵
hēhē","Ha ha
hēhē"
"ﺘ
ﺘ","ت
ت"
"意大利
yìdàlì","Italy
yìdàlì"
"犯
fàn","Commit
fàn"
"背叛
bèipàn","betray
bèipàn"
"everything
everything","everything
everything"
"魔鬼
móguǐ","devil
móguǐ"
"情报
qíngbào","intelligence
qíngbào"
"great
great","great
great"
"人员
rényuán","personnel
rényuán"
"专家
zhuānjiā","expert
zhuānjiā"
"那樣
nàyàng","That kind
nàyàng"
"了不起
liǎobuqǐ","amazing
liǎobuqǐ"
"店
diàn","shop
diàn"
"不怕
bùpà","Not afraid of
bùpà"
"骄傲
jiāoào","proud
jiāoào"
"哎呀
āiyā","Damn
āiyā"
"差
chà","difference
chà"
"唱歌
chànggē","Sing a song
chànggē"
"学
xué","learn
xué"
"站住
zhànzhù","stop
zhànzhù"
"眔
dà","Da
dà"
"之类
zhīlèi","such as
zhīlèi"
"满足
mǎnzú","Satisfy
mǎnzú"
"所说
suǒ shuō","Said
suǒ shuō"
"吉米
jímǐ","Jimmy
jímǐ"
"も
も","Mo
Mo"
"停车
tíngchē","parking
tíngchē"
"现实
xiànshí","reality
xiànshí"
"牺牲
xīshēng","sacrifice
xīshēng"
"胜利
shènglì","victory
shènglì"
"好消息
hǎo xiāo xī","good news
hǎo xiāo xī"
"见过
jiànguò","Seen
jiànguò"
"条
tiáo","Article
tiáo"
"引起
yǐnqǐ","cause
yǐnqǐ"
"醒来
xǐnglái","wake up
xǐnglái"
"猪
zhū","pig
zhū"
"一辆
yī liàng","A
yī liàng"
"下车
xiàchē","get off
xiàchē"
"不许
bùxǔ","Must not
bùxǔ"
"颜色
yánsè","colour
yánsè"
"有用
yǒuyòng","it works
yǒuyòng"
"暂时
zànshí","temporarily
zànshí"
"sans
sans","sans
sans"
"投票
tóupiào","vote
tóupiào"
"证人
zhèngrén","witness
zhèngrén"
"想像
xiǎngxiàng","imagine
xiǎngxiàng"
"鸟
niǎo","bird
niǎo"
"全世界
quánshìjiè","worldwide
quánshìjiè"
"around
around","around
around"
"買
mǎi","buy
mǎi"
"迈克
mài kè","Mike
mài kè"
"拍摄
pāishè","Shooting
pāishè"
"冒险
màoxiǎn","adventure
màoxiǎn"
"place
place","place
place"
"部队
bùduì","force
bùduì"
"王子
wángzǐ","prince
wángzǐ"
"ﻫ
ﻫ","ه
ه"
"发展
fāzhǎn","development of
fāzhǎn"
"顺利
shùnlì","smoothly
shùnlì"
"甜心
tiánxīn","Sweetheart
tiánxīn"
"谈话
tánhuà","conversation
tánhuà"
"開
kāi","open
kāi"
"不去
bù qù","Do not go
bù qù"
"吸血鬼
xīxuèguǐ","vampire
xīxuèguǐ"
"筁
qū","Qu
qū"
"张
zhāng","Zhang
zhāng"
"ﻤ
ﻤ","م
م"
"吸引
xīyǐn","attract
xīyǐn"
"还会
hái huì","Will
hái huì"
"字幕组
zìmù zǔ","subtitle group
zìmù zǔ"
"动手
dòngshǒu","Start work
dòngshǒu"
"老实
lǎoshi","honest
lǎoshi"
"比利
bǐlì","Billy
bǐlì"
"它会
tā huì","it will
tā huì"
"一段
yī duàn","Some
yī duàn"
"激动
jīdòng","excitement
jīdòng"
"条件
tiáojiàn","condition
tiáojiàn"
"白
bái","White
bái"
"doesn
doesn","doesn
doesn"
"特工
tègōng","Agents
tègōng"
"爬
pá","climb
pá"
"always
always","always
always"
"光
guāng","Light
guāng"
"五
wǔ","Fives
wǔ"
"早餐
zǎocān","breakfast
zǎocān"
"追踪
zhuīzōng","track
zhuīzōng"
"發現
fāxiàn","Find
fāxiàn"
"废话
fèihuà","nonsense
fèihuà"
"演员
yǎnyuán","actor
yǎnyuán"
"哼
hēng","Humph
hēng"
"亲自
qīnzì","personally
qīnzì"
"一个月
yī gè yuè","Month
yī gè yuè"
"所谓
suǒwèi","So-called
suǒwèi"
"听听
tīng tīng","Listen
tīng tīng"
"复杂
fùzá","complex
fùzá"
"é
é","é
é"
"学会
xuéhuì","learn
xuéhuì"
"距离
jùlí","distance
jùlí"
"同性恋
tóngxìngliàn","Homosexual
tóngxìngliàn"
"係
xì","system
xì"
"外
wài","outer
wài"
"发
fā","hair
fā"
"这份
zhè fèn","The
zhè fèn"
"好笑
hǎoxiào","funny
hǎoxiào"
"碰到
pèngdào","bump into
pèngdào"
"受不了
shòubùliǎo","Can not stand
shòubùliǎo"
"醒醒
xǐng xǐng","Wake up
xǐng xǐng"
"做些
zuò xiē","Do
zuò xiē"
"成员
chéngyuán","member
chéngyuán"
"想着
xiǎng zhe","Thinking
xiǎng zhe"
"绑架
bǎngjià","Kidnap
bǎngjià"
"即将
jíjiāng","Upcoming
jíjiāng"
"发射
fāshè","emission
fāshè"
"抽
chōu","Draw
chōu"
"威尔
wēi ěr","Will
wēi ěr"
"真是太
zhēnshi tài","Really
zhēnshi tài"
"痛
tòng","pain
tòng"
"魔法
mófǎ","magic
mófǎ"
"through
through","through
through"
"every
every","every
every"
"这才
zhè cái","This
zhè cái"
"莎拉
shālā","Sarah
shālā"
"把手
bǎshou","handle
bǎshou"
"分享
fēnxiǎng","share it
fēnxiǎng"
"ㄆ
ㄆ","Po
Po"
"我覺
wǒ jiào","I felt
wǒ jiào"
"年前
niánqián","Years ago
niánqián"
"ü
ü","ü
ü"
"冲
chòng","Rush
chòng"
"然而
ránér","however
ránér"
"感激
gǎnjī","grateful
gǎnjī"
"同事
tóngshì","colleague
tóngshì"
"收
shōu","Receive
shōu"
"神秘
shénmì","mysterious
shénmì"
"made
made","made
made"
"上尉
shàngwèi","Capt.
shàngwèi"
"面
miàn","surface
miàn"
"搭
dā","take
dā"
"feel
feel","feel
feel"
"fnfzhei
fnfzhei","fnfzhei
fnfzhei"
"难以置信
nányǐzhìxìn","incredible
nányǐzhìxìn"
"迈克尔
màikèěr","Michael
màikèěr"
"哈利
hālì","Harry
hālì"
"车里
jū lǐ","The car
jū lǐ"
"傢
jiā","Home
jiā"
"桌子
zhuōzi","table
zhuōzi"
"someone
someone","someone
someone"
"禁止
jìnzhǐ","Ban
jìnzhǐ"
"一段时间
yī duàn shíjiān","a period of time
yī duàn shíjiān"
"交流
jiāoliú","communicate with
jiāoliú"
"带上
dàishàng","Bring
dàishàng"
"放手
fàngshǒu","Let go
fàngshǒu"
"临
lín","Face
lín"
"英里
yīnglǐ","mile
yīnglǐ"
"几年
jǐnián","several years
jǐnián"
"old
old","old
old"
"安妮
Ānnī","Anne
Ānnī"
"公园
gōngyuán","park
gōngyuán"
"fuck
fuck","fuck
fuck"
"边
biān","side
biān"
"别管
biéguǎn","Do not worry
biéguǎn"
"克里斯
kè lǐ sī","Chris
kè lǐ sī"
"非
fēi","non-
fēi"
"done
done","done
done"
"早安
zǎoān","good Morning
zǎoān"
"中间
zhōngjiān","intermediate
zhōngjiān"
"癸
guǐ","Decanoate
guǐ"
"整天
zhěngtiān","All day long
zhěngtiān"
"我想
wǒ xiǎng","I think
wǒ xiǎng"
"shit
shit","shit
shit"
"巧克力
qiǎokèlì","chocolate
qiǎokèlì"
"找出
zhǎochū","Find out
zhǎochū"
"强大
qiángdà","powerful
qiángdà"
"受害者
shòuhàizhě","victim
shòuhàizhě"
"某些
mǒuxiē","some
mǒuxiē"
"后悔
hòuhuǐ","regret
hòuhuǐ"
"您好
nínhǎo","Hello
nínhǎo"
"一分钟
yī fēnzhōng","One minute
yī fēnzhōng"
"精彩
jīngcǎi","wonderful
jīngcǎi"
"有點
yǒudiǎn","A little
yǒudiǎn"
"卡尔
kǎěr","Carl
kǎěr"
"睡着
shuìzháo","sleep
shuìzháo"
"果然
guǒrán","really
guǒrán"
"人人
rénrén","Everyone
rénrén"
"基地
jīdì","base
jīdì"
"两位
liǎng wèi","Two
liǎng wèi"
"一片
yī piàn","one slice
yī piàn"
"时间轴
shíjiānzhóu","Timeline
shíjiānzhóu"
"guys
guys","guys
guys"
"单独
dāndú","alone
dāndú"
"名单
míngdān","List
míngdān"
"病毒
bìngdú","virus
bìngdú"
"may
may","may
may"
"过程
guòchéng","process
guòchéng"
"急
jí","anxious
jí"
"左右
zuǒyòu","about
zuǒyòu"
"生病
shēngbìng","sick
shēngbìng"
"种
zhòng","Kind
zhòng"
"人物
rénwù","character
rénwù"
"尿
niào","Pee
niào"
"戒指
jièzhi","Ring
jièzhi"
"自我
zìwǒ","self
zìwǒ"
"立即
lìjí","immediately
lìjí"
"女生
nǚshēng","Girls
nǚshēng"
"星球
xīngqiú","Planet
xīngqiú"
"变化
biànhuà","Variety
biànhuà"
"卡车
kǎchē","truck
kǎchē"
"怎樣
zěnyàng","how
zěnyàng"
"空间
kōngjiān","space
kōngjiān"
"穿过
chuānguò","Pass through
chuānguò"
"象
xiàng","Like
xiàng"
"旅馆
lǚguǎn","hostel
lǚguǎn"
"打死
dǎsǐ","Kill
dǎsǐ"
"观众
guānzhòng","The audience
guānzhòng"
"依然
yīrán","still
yīrán"
"kill
kill","kill
kill"
"做事
zuòshì","work
zuòshì"
"三年
sānnián","Three years
sānnián"
"ﺑ
ﺑ","ب
ب"
"他来
tā lái","he comes
tā lái"
"火
huǒ","fire
huǒ"
"乐队
yuèduì","band
yuèduì"
"飞行
fēixíng","flight
fēixíng"
"接到
jiēdào","Received
jiēdào"
"る
る","Ru
Ru"
"两次
liǎngcì","twice
liǎngcì"
"导演
dǎoyǎn","director
dǎoyǎn"
"满意
mǎnyì","satisfaction
mǎnyì"
"認識
rènshi","understanding
rènshi"
"导致
dǎozhì","resulting in
dǎozhì"
"要死
yàosǐ","Death
yàosǐ"
"which
which","which
which"
"接触
jiēchù","contact
jiēchù"
"折磨
zhémó","Afflict
zhémó"
"骗子
piànzi","con man
piànzi"
"明星
míngxīng","Celebrity
míngxīng"
"经验
jīngyàn","experience
jīngyàn"
"小伙子
xiǎohuǒzi","Lad
xiǎohuǒzi"
"ﺗ
ﺗ","ت
ت"
"前进
qiánjìn","go ahead
qiánjìn"
"西
xī","oo
xī"
"美女
měinǚ","beauty
měinǚ"
"一部
yī bù","A
yī bù"
"性
xìng","Sex
xìng"
"至
zhì","to
zhì"
"好运
hǎoyùn","good luck
hǎoyùn"
"尽力
jìnlì","Try
jìnlì"
"ich
ich","ich
ich"
"密码
mìmǎ","password
mìmǎ"
"赌
dǔ","bet
dǔ"
"刺激
cìjī","stimulate
cìjī"
"以来
yǐlái","since
yǐlái"
"承诺
chéngnuò","committed to
chéngnuò"
"艺术
yìshù","art
yìshù"
"子
zǐ","child
zǐ"
"耍
shuǎ","Play
shuǎ"
"让开
ràngkāi","Step aside
ràngkāi"
"烧
shāo","burn
shāo"
"明明
míngmíng","Obviously
míngmíng"
"惊讶
jīngyà","Surprise
jīngyà"
"免费
miǎnfèi","free
miǎnfèi"
"案件
ànjiàn","case
ànjiàn"
"女孩子
nǚháizi","Girl
nǚháizi"
"天呐
tiān nà","Gee
tiān nà"
"惩罚
chéngfá","punishment
chéngfá"
"释放
shìfàng","freed
shìfàng"
"吵
chǎo","noisy
chǎo"
"位
wèi","Place
wèi"
"顺便
shùnbiàn","Incidentally
shùnbiàn"
"无辜
wúgū","innocent
wúgū"
"老鼠
lǎoshǔ","mouse
lǎoshǔ"
"采取
cǎiqǔ","take
cǎiqǔ"
"believe
believe","believe
believe"
"联络
liánluò","connection
liánluò"
"展示
zhǎnshì","Show
zhǎnshì"
"无关
wúguān","Unrelated
wúguān"
"卻
què","but
què"
"箱子
xiāngzi","box
xiāngzi"
"挑战
tiǎozhàn","challenge
tiǎozhàn"
"讲话
jiǎnghuà","Speak
jiǎnghuà"
"练习
liànxí","Exercise
liànxí"
"点儿
diǎnr","Something
diǎnr"
"从来不
cóngláibù","never
cóngláibù"
"楼上
lóushàng","upstairs
lóushàng"
"擔心
dānxīn","worry
dānxīn"
"实现
shíxiàn","achieve
shíxiàn"
"脖子
bózi","neck
bózi"
"理论
lǐlùn","theory
lǐlùn"
"关键
guānjiàn","The essential
guānjiàn"
"電話
diànhuà","phone
diànhuà"
