、,","
甥っ子,Nephew
遊園,Amusement
通達,Notification
食べろ,Should eat
従事,Engaged in
赴任,Appointed
直撃,Direct hit
スペア,spare
批評,Criticism
あえ,AE
探し回,Sagashimawa
講師,Teacher
男前,Handsome man
航路,Route
因果,Cause and effect
前任,Former
山積み,Pile
あぶな,Abuna
木星,Jupiter
布団,futon
来場,Attendance
深め,Deepen
青空,blue sky
知道,Tomomichi
復興,reconstruction
同棲,Cohabitation
アデライン,The Age of Adaline
右足,Right foot
案外,unexpectedly
雑用,Miscellaneous
公女,Princess
待ち受け,Standby
少,Small
金吾,Kingo
セリア,Ceria
教養,Liberal Arts
美徳,virtue
関西,Kansai
な〜,Do ~
女医,Woman doctor
読み取,Read
屋台,Food stands
砲火,fire
コーデリア,Cordelia
畜生め,Son of a bitch
城門,Castle gate
金魚,Goldfish
狂王,Kyoo
領地,territory
刺殺,Stabbing to death
遺品,Relics
マリアンヌ,Marianne
配信,Delivery
超常,Paranormal
山羊,goat
横柄,Insolence
完治,Kanji
置き場,Place
過大,Excessive
品物,goods
得策,Good plan
立ち上がれ,Stand up
空襲,Air raid
全焼,Burned down
伝書,COURIERS
給水,water supply
力学,Mechanics
商業,Commerce
体型,Figure
染色,staining
設け,Provided
阿華,Omonehana
由,Reason
遠回り,Detour
野営,Camp
帳消し,write off
アーリア,Aryan
言い換え,Paraphrase
アピール,appeal
色男,Lover
アーメド,Ahmed
人里,Human habitation
取り消し,cancel
庭園,garden
アーッ,AAH
直し,Repair
付着,Adhesion
アナウンス,announcement
短期,Short term
行列,queue
アレクセイ,Alexei
境遇,Circumstances
アイビス,Ibis
合致,Agreement
真っ白,pure white
火神,fire god
保全,Maintenance
月面,Moon's surface
入れ歯,Denture
無言,Silence
系列,series
配列,Array
悪用,Misuse
無邪気,Innocence
器官,organ
知れんが,It could do but
積み上げ,Pile up
殺し合,Killing case
再考,Reconsideration
看病,Nursing
アダール,Adaru
提携,Tie-up
目線,Looking
夜空,night sky
潮時,Tidal hour
似非,Faked
多忙,Busy
統率,Leadership
反映,Reflection
子守り,Babysitting
木箱,wooden box
アッカーマン,Ackerman
二番,Second
安ら,Ahn et al.
見送り,Send-off
アイコン,icon
個々,individual
アドルフ,Adolf
事柄,Thing
断定,Conclusion
野原,field
引っ張り,Tension
上部,The top
個体,individual
英,English
主題,subject
張り,Stretch
本屋,bookstore
著者,Author
痛み止め,Painkiller
扇動,agitation
下僕,servant
子分,Henchman
小木曽,Ogiso
三十,Thirty
買い取,Kite
年下,younger
知る,know
緩和,Mitigation
手早,Tebaya
流し,sink
自暴,desperation
アルバカーキ,Albuquerque
ビアンカ,Bianca
口先,Lip service
同窓,Same school
弱者,Weak
着艦,Chakukan
撃ち合い,Shoot'em up
あらすじ,Summary
下心,Motive
強固,Strong
競,Competition
瞬時,Instant
道連れ,Fellow traveler
陸上,land
検挙,Arrest
段取り,Arrangements
吉田,Yoshida
密接,Close
迎え入れ,Welcomed
信奉,Faith
病欠,Sick leave
水準,level
競走,race
付け加え,Add
係り,Relates
物乞い,A beggar
ね〜,I ~
協調,Cooperation
あやま,False
脳内,In the brain
前払い,Advance payments
登校,Attendance
呼び出せ,Call
人影,Human figure
係わ,Involved
馬鹿馬鹿し,Absurdity
取りつ,Take One
給与,Allowance
変貌,transfiguration
鈍感,Insensitive
アラスト,Arasuto
部位,Part
教員,Teaching staff
題名,Title
太古,Ancient times
可哀相,poor
取り外,Remove
散開,Spread out
年老い,Old
放免,release
星座,sign
アトラス,Atlas
築き上げ,Built up
誇大,Hyperbole
国会,Parliament
入金,payment
火力,Heating power
アーマー,armor
代われ,Kaware
天文,Astronomy
後尾,Tail
救護,Aid
半日,Half day
モリアティ,Moriati
騒々し,Quack
比喩,Metaphor
遺跡,Remains
不屈,Fortitude
通勤,Commuting to work
噂話,Rumors
引き渡し,Passing
同調,tuning
不測,unexpected
他言,Revealing to others
高等,Higher
希少,Rarity
吉,Luck
合同,Congruence
ぶら下が,Burasaga
言わば,So to speak
木材,wood
抽象,abstract
芸能,Performing Arts
台なし,Ruins
著,Author
接着,Adhesive
移転,transfer
一心,Mind
発散,Divergence
無敗,Undefeated
動向,Trend
花屋,Florist
アウレリウス,Aurelius
味覚,taste
仕立屋,Tailor
未聞,Having not yet heard
駆動,Drive
特注,Special orders
前代,Previous generation
追い回,Chase times
瑤子,Yoko
結び付け,Tied
内戦,civil war
地質,Geological features
利害,Interests
アルツハイマー,Alzheimer's
合金,alloy
カ国,Countries
治め,Reigned
近付け,Close
生き生き,Lively
接客,Reception
駆り立て,Driven
塗料,paint
中絶,abortion
啓発,Enlightenment
不眠,insomnia
全う,fulfill
アイテム,item
取り逃が,Take get away
授与,Award
寿司,sushi
マクティアニー,Makutiani
アイオワ,Iowa
流通,distribution
通りかか,Torikaka
疎開,Evacuation
あつ,Filed
カ所,Locations
生態,Ecology
アディソン,Addison
実態,Actual situation
乗り気,Eagerness
生計,living
有権,Ownership
アレック,Alec
自惚れ,Conceit
有様,Plight
アラ,Ara
曜,Sunday
満載,Full load
修子,Shuko
マリアナ,Mariana
実話,true story
参列,Attendance
アイリッシュ,Irish
予見,Foresight
一層,Much more
概要,Overview
願い事,wish
直視,Direct view
図面,Drawing
決め手,Deciding factor
報奨,Awards
胴体,body
幻影,illusion
条項,Clause
アイリング,Eyring
坂口,Sakaguchi
面前,Presence
アクティブ,Active
建,Ken
不妊,infertility
現われ,Appear
広瀬,Hirose
掘り下げ,Drill down
一昨,One last
用済み,Obsolete
法人,Corporation
包丁,Kitchen knife
張り付,With tension
アンダース,Anders
一人前,Full-fledged
好転,Upturn
告げ口,Tsugeguchi
球体,sphere
開けれ,It is opened
同業,Same trade
家業,Family business
何色,what color
孵化,hatching
深度,depth
引き連れ,Taking along
天地,Heaven and earth
瀬川,Segawa
実体,entity
たわ言,Drivel
武,Takeshi
遺憾,regret
学会,Society
笑い事,laughing matter
順次,In order
安息,repose
血流,Blood flow
ザッカライア,Zakkaraia
聖水,Holy water
梯子,ladder
感づ,Sensitive Dzu
熱中,Enthusiasm
積み込,Included loading
特使,Special envoy
直進,Straight
受刑,Sentenced
実戦,Combat
酒屋,Sake dealer
命運,fate
アルファベット,Alphabet
自称,Self-styled
悪行,Misdeed
時田,Tokita
内気,Shyness
土壌,soil
万引き,Shoplifting
降りかか,Embarking down
可哀そう,Poor
売り込,Included sell
盛り上げ,Heap up
あっさり,Easily
アベニュー,Avenue
全開,Full throttle
他界,Death
アレクサンドリア,Alexandria
返品,Returned goods
紛争,Dispute
金玉,Testicles
アルフォンス,Alphonse
グリア,Glial
炎上,Burst into flames
襲来,Invasion
所得,income
ビビアン,Vivian
水源,Water sources
千葉,Chiba
名乗れ,Nanore
再選,Re-election
シベリア,Siberia
最寄り,nearest
華やか,Brilliant
殺れ,Yare
アッパー,upper
取りかか,Torikaka
信憑,Credence
項,Item
先進,Advance
手のひら,palm
アセット,Asset
四六,Forty-six
深み,depth
団地,Apartment complexes
近衛,Konoe
峡谷,The canyon
口答え,Retort
秒読み,countdown
ピックアップ,pick up
育成,Training
生きがい,reason to live
木村,Kimura
画廊,Gallery
配偶,Spouse
発注,Ordering
段々,Gradually
陣営,camp
洗い流,Wash flow
語り継,Talks relay
対峙,Confronting
大違い,Large difference
星雲,nebula
不信,distrust
シェークスピア,Shakespeare
殴り殺,Killing beat
あご,Barb
如果,如果
蓄積,Accumulation
応急,emergency
吸入,Inhalation
岩瀬,Iwase
重度,severe
反動,Recoil
気付け,The care
原住民,The natives
辞表,Letter of resignation
先決,Top priority
切り上げ,Rounded up
夏子,Natsuko
軽視,Slight
気質,temperament
日出男,Hideo
アジズ,Aziz
書き込,Writes
亡者,Dead
な～,Do ~
気力,Willpower
純度,purity
女々し,Memeshi
病原,Pathogenic
噴火,eruption
穀物,grain
釘付け,Nailed
皮質,cortex
糸口,Clue
銃器,Small arms
アンジェロ,Angelo
小嶋,Kojima
浸水,Inundation
嫌味,sarcasm
高層,Upper
スアン,Suan
船団,fleet
一千,One thousand
手立て,Tedate
言い残,It said remaining
怖気づ,Tremor Dzu
閃光,flash
無一文,Penniless
一理,Some truth
入会,Admission
アラムート,Aramuto
国内外,Home and abroad
名札,Name tag
抱き合,Body case
仏教,Buddhism
ポン引き,Pimp
聴衆,audience
面目,Face
見限,Mikagi
特ダネ,Scoop
放っ,Shot
アバ,Abba
分担,Sharing
地形,terrain
役職,Position
満々,full of
重み,weight
推,Estimated
構想,Idea
送りつけ,Wearing Feed
事案,Cases
催し,Event
速攻,Haste
乗っ,Riding
組み,Set
ワイアー,Wire
アレイ,array
昼休み,lunch break
無駄遣い,Waste
命がけ,Desperate
アテ,Ate
素晴し,Splendid
連想,Associative
近代,Modern
魔導,Madou
あなたね,You I
組み換え,Recombinant
小柄,Short
急か,Sudden or
引き継ぎ,Inheriting
一覧,List
クラウディア,Claudia
アミーゴ,Amigo
事象,Phenomenon
手中,Hands
博学,Erudition
岩山,Rocky mountain
陣形,formation
禁物,Taboo
連れだ,It took
個室,Private room
大笑い,Big laugh
割引,discount
ヴァリリア,Variria
規約,Agreement
進言,Advised
見合い,Arranged marriage
汚点,Taint
子牛,calf
執務,Office
前頭,Frontal
選出,Election
アーリントン,Arlington
不調,Bad condition
公的,public
アニメ,Anime
写し,copy
流れ者,Tramp
音響,acoustic
引き分け,draw
運河,canal
番,Ban
他者,Another person
判別,Discrimination
電機,Electrical machinery
流産,abortion
前金,Advance payment
重視,Importance
卒中,Apoplexy
手持ち,Holding
窒素,nitrogen
分断,Divided
放り,Tossed
行っ,Conducted
常用,Common
アルゼンチン,Argentina
分配,Sharing
アルトマン,Altman
言いがかり,Accusation
聖戦,Holy war
特捜,Prosecutors
遺灰,Ashes
搾取,exploitation
身辺,Affairs
ハードウェア,hardware
隊形,Formation
ファイアーズ,Fires
あらそう,Oh yeah
始終,From beginning to end
政界,Political world
競合,Conflict
情勢,situation
あお,Green
問い,question
差し支え,Hindrance
見回り,Patrol
井上,Inoue
貧民,Poor people
局面,aspect
アルマン,Arman
アロンゾ,Alonzo
正統,Legitimate
司,Tsukasa
眼球,Eyeball
次官,Under Secretary
炎症,inflammation
アザーズ,The Others
身勝手,Selfishness
服着,Clothes clothes
代謝,metabolism
あちら側,Other side
天空,sky
抵当,mortgage
総務,Affairs
過度,Excess
一角,narwhal
フライア,Furaia
忠義,Loyalty
非番,Off-duty
士気,morale
活か,The squid
映写,projection
華麗,Splendor
当惑,Bewilderment
あっそ,So
終止,stop
画策,Scheme
腕利き,Skilled
従来,Conventional
霊能,Spiritual ability
特大,Extra large
挽回,Recovery
見下ろ,Kudaro seen
展,Exhibition
周回,Circumference
差し向け,Directed
町長,The mayor
入室,Entering a room
車線,A lane
知覚,Perception
的確,Accurate
陣地,Encampment
縁組,adoption
もてあそ,Moteaso
アリスター,Alistair
疾病,disease
不変,Immutable
義弟,Younger brother-in-law
物置,Storage room
代価,price
落ち度,Blame
金星,Venus
置き換え,Replaced
天罰,Wrath of God
執念,Tenacity
正門,Main gate
アルバイト,part time job
上物,Quality goods
西洋,West
日听,Day 听
運送,Shipping
連結,Linking
アストリド,Astrid
売り切れ,sold out
教え子,Student
流れ出,Flow out
乞食,beggar
トゥービア,Tubia
外務,Foreign affairs
ブロア,Blower
強靭,tough
熟知,Familiar
口癖,Favorite phrase
貯水,Water storage
行けー,Ike
教義,Doctrine
命懸け,Life and death
連帯,solidarity
発症,The onset
凍死,Freezing to death
アンキロ,Ankiro
歩行,walking
指先,fingertip
丞相,Josho
念入り,Conscientious
アニマル,animal
単刀,Single sword
精査,Careful examination
アービン,Irvin
漠然,vague
西暦,Anno Domini
アスラン,Aslan
助っ人,Helper
優等,Excellence
番犬,watchdog
奇行,Eccentricities
合え,Suits
窓口,Window
戦後,After the war
直入,Of securities
代り,Substitute
後押し,Backing
特哥,Toku哥
保育,Nursing
右利き,right handed
見取り,Mitori
作為,Act
前兆,Omen
施錠,locking
飲料,Drinks
飛び交,Jump exchange
特製,Special
馬力,horsepower
宮廷,court
加熱,heating
公子,Young nobleman
呼びだ,It is called
ダリア,Dahlia
全車,All cars
外し,Remove
再来,Second Coming
手引き,guidance
ヴァージニア,Virginia
校对,Ko对
切り離せ,Inseparable
戦友,Comrades
画期,Epochal
稼動,Operation
８千,8 thousand
無職,Unemployed
空虚,emptiness
二階堂,Nikaido
リアン,Lian
反乱軍,Rebel army
郵送,Mailing
飢え死に,Starving
積も,Also product
ともあれ,Anyway
う～ん,Cormorant -
一文,Sentence
分身,Avatar
年長,Seniority
敷物,Rugs
噴水,fountain
先制,Pre-empt
反響,Reverberation
平ら,Level
興行,Performance
古風,Old-fashioned
メイフェア,Mayfair
質屋,Pawn shop
順応,Adaptation
名称,name
不尽,sincerely yours
食いつ,Eating One
活力,vitality
自作,self made
新生,Nascent
星空,Starry sky
居座,Isuwa
嫌気,Disgust
木の実,Tree nuts
死骸,Corpse
デラウェア,Delaware
アスリート,athlete
アナンジオ,Ananjio
継母,stepmother
生け贄,Sacrifice
銃身,Gun barrel
火あぶり,Burned at the stake
あま,Sweet
両足,Both feet
上腕,upper arm
一人っ子,The only child
王雪,OYuki
アンドリュース,Andrews
反則,Foul play
於,in
バクテリア,Bacterium
理学,Science
高熱,High fever
取り壊,Take corrupted
来訪,Visit
感じ取,Preparative feeling
感度,sensitivity
然,Natural
でっちあげ,Hoax
元凶,Ringleader
八百,Yao
騎馬,Equestrian
後見,guardianship
持ち合わせ,Ready
待合,Waiting
流動,flow
アンヌ,Anne
富士,Fuji
フェアリー,Fairy
堅物,A stiff
快感,Pleasant feeling
出来上がり,Ready
引っかけ,Hooked
アウシュビッツ,Auschwitz
モア,more
アイズ,Eyes
神原,Kamihara
現行,current
湿気,moisture
群集,crowd
余生,Remaining years
団子,dumpling
結べ,Musube
語りかけ,Speak
国旗,National flag
安楽,Comfort
黒川,Kurokawa
真理,truth
新曲,New song
大袈裟,exaggerated
ニューアーク,Newark
アマル,Amal
分岐,A branch
測量,Surveying
出前,Catering
芸人,Performer
殺しかけ,Over killing
主治,The main Osamu
鍛冶屋,blacksmith
非常口,emergency exit
口ひげ,moustache
増強,Increase
突進,Rush
花山,Hanayama
精力,Energy
視察,Inspection
永続,Permanence
空振り,Swing away
ペンシルベニア,Pennsylvania
住ま,Live
見過ごせ,Overlooked
結核,tuberculosis
前妻,Ex-wife
生殖,Reproduction
要件,Requirement
旅団,brigade
程遠,Hodoto
半額,half
朝鮮,Korea
特典,Privilege
水上,Aquatic
入り江,Cove
旧姓,maiden name
攻略,Capture
太っちょ,Fat person
強み,The strength
私用,private
気休め,Consolation
アップデート,update
商店,Shop
時給,Hourly wage
極度,Extreme
アルタ,Alta
積み重ね,Stacking
配布,distribution
浩実,HiroshiMinoru
ナルニア,Narnia
手並み,Tenami
誇示,Ostentation
二手,Two bands
変ね,I change
行軍,March
松,Pine tree
鑑賞,Appreciation
投影,projection
甚大,Enormous
登り,Climbing
管区,Jurisdiction
問答,Questions and answers
弱体,Weakened
電信,Telegraph
所定,Prescribed
関谷,Sekiya
武士,samurai
代議,Daigi
正に,Exactly
成れ,Nare
剥離,Peeling
青藍,AoAi
あや,Aya
半島,Peninsula
引っ掛け,Hook
否認,Denial
アルヴィー,Aruvi
指数,index
営利,Profit
結集,Rally
賜物,gift
白昼,Daytime
連れ戻せ,Tsuremodose
幹線,Trunk line
前歴,Personal history
ガーディア,Guardia
部員,Staff
インディアナ,Indiana
変色,discoloration
羽川,Hanekawa
無駄口,Twaddle
寝台,bed
先程,Some time ago
称号,title
決し,Persists
持ち込め,Bring in
あーっ,AAH
見立て,Likened
合鍵,duplicate key
担任,Homeroom teacher
代行,Acting
当番,Duty
盗み聞き,Eavesdropping
選別,Selection
アルミ,Aluminum
アイスランド,Iceland
点滅,Flashing
あいこ,Aiko
配下,Subordinate
名言,Quotations
福音,gospel
聞き取れ,Hear
改心,conversion
鉄砲,gun
行え,Can
初歩,ABC
生身,Flesh and blood
ナディア,Nadia
風味,Flavor
効力,efficacy
分泌,secretion
壁画,Mural
公立,public
本体,A body
視認,Visibility
摂理,providence
告知,Notice
後日,At a later date
衣類,clothing
小磯,Koiso
発案,Brainchild
日陰,Shadow
割合,Ratio
大脳,Cerebrum
北米,North America
合気,Aiki
強硬,Hard-line
正真,Authenticity
あなたの,your
初夜,First night
安易,Easy
宿屋,inn
聖地,Holy Land
降ら,Rain
勝算,Chances of success
武）,Takeshi)
由诸神,Why 诸神
深ま,Fukama
以,More than
裸足,barefoot
庇護,Asylum
本字幕,This subtitle
労力,effort
護身,Self-protection
丸太,log
芽生え,Sprout
参戦,Participation in a war
河原,Dry riverbed
こじ開け,Pry
平,flat
you）,you)
ブルガリア,Bulgaria
レイア,Leia
神殿,temple
無理矢理,forcibly
定住,Settlement
愛好,Love
一名,one person
体勢,Posture
聖南,Kiyoshiminami
南北,South and north
創り出,Out to create
足下,foot
突起,Protuberance
夕美,Yumi
シルヴィア,Sylvia
目つき,look
皇,Sumeragi
祝日,public holiday
高み,Height
偉人,Great man
次男,second son
強め,Strengthened
アングル,angle
足し,Plus
フレア,Flare
アイサ,Isa
太もも,The thighs
仅供,仅供
過敏,Hypersensitivity
アークター,Akuta
高揚,Exaltation
後生,Afterlife
頻度,frequency
アマール,Amar
今来,Konrai
不便,inconvenience
４千,4 thousand
付き人,Attendant
白衣,White robe
州兵,National Guard
異変,Accident
不発,unexploded
前面,Front of
大概,Most likely
やり口,Vending flaps
加入,Subscription
水路,Waterway
反復,Repetition
持ち堪え,Held up
下層,Underlayer
集計,Aggregate
行き詰,Ikizuma
上書き,Overwrite
嗅ぎ回,Snuff times
運び込,It carries write
書き直,Write straight
親分,boss
試着,Try
精度,accuracy
怪人,Phantom
単一,single
前哨,Outpost
漂白,bleaching
病歴,Medical history
仲裁,arbitration
独断,Opinionated
伊藤,Ito
大急ぎ,Fly
カナリア,Canary
排気,exhaust
アリア,Aria
更正,Correction
アサド,Bashar al-Assad
四角,square
兵役,military service
生前,Alive
蹴り上げ,Kicked up
二千,Two thousand
正銘,genuine autograph
アパッチ,Apache
原作,Original work
植え付け,Planting
論点,Issues
爆風,blast
うなり声,Growl
主君,lord
難問,Difficult problem
真価,True value
曲線,curve
党員,Party member
在宅,Home
身なり,Personal appearance
奉公,Apprenticeship
アーヴィン,Irvine
暗記,Memorization
転属,Transferees
差し入れ,Pledged
おやまあ,Oh snap!
思い起こ,I think Oko
白木,Plain wood
大分,Much
南米,South America
不是,Not Shi
デリア,Delia
何物,Nothing
アクバル,Akbar
社内,House
奇形,Abnormal
創業,Establishment
弱気,Bearish
締め上げ,Cinching
直近,The most recent
アヤ,Aya
御名,His name
売り手,seller
計略,Stratagem
やり過ぎ,Overdo
交尾,Copulation
様式,Style
実物,Real thing
変異体,Mutant
義姉,Sister-in-law
ズートピア,Zootopia
省略,abridgement
暴発,Spontaneous discharge
オアン,Oan
要領,Point
居合わせ,Happened
ペルシア,Persia
年配,Elderly
手すり,handrail
間接,Indirection
命取り,Fatal
保身,Self-protection
アレクサンドラ,Alexandra
取り扱,Take handled
谷間,valley
アハハハ,Hahahaha
全容,Full story
同位,Isotopic
住処,Abode
砂子,Isago
歯車,gear
騎兵隊,Cavalry
腐食,corrosion
掲載,Published
背信,Betrayal
名古屋,Nagoya
頼み事,requesting
一握り,Handful
殺到,Flood
空き家,Empty House
補填,Compensation
間際,Just before
初耳だ,It is new to you
投,Throw
広間,Hall
査定,assessment
人肉,Human flesh
見直し,Review
県,Prefecture
部局,Departments
取調室,Interrogation Room
決め付け,With decided
難解,Esoteric
税務,Tax
極限,Limit
英知,Intelligence
全裸,Nude
華,flower
アナベス,Anabesu
湾岸,Gulf
外界,Outer world
飲物,drink
自販,House sales
治験,Trial
誤報,Misinformation
平原,Plain
取り巻,Winding take
トライアド,triad
方言,dialect
公証,Notarization
科目,Subject
剥ぎ取,Preparative strip
た～,It was ~
出回,Demawa
交替,Alternation
見積も,Also estimates
可決,Approval
深入り,Fukairi
産め,Ume
かき回,Oysters times
行先,destination
ヘアー,Hair
大差,Great difference
火花,spark
周期,period
シロアリ,Termites
目録,Catalog
繁華,Downtown
うつ病,depression
細動,Fibrillation
質量,mass
踏み外,Outside the tread
書物,book
両立,Compatibility
解答,answer
解か,Solved
計り知れ,Immeasurable
旅人,traveller
混入,Mixing
転落,Fall
言い渡,It says passed
酵素,enzyme
引き延ば,If the pull-rolled
アブラ,Abra
揉め事,Dispute
とある,a
アカゲ,Rhesus
間柄,relationship
蛍光,fluorescence
存分,Fully
清,Kiyoshi
詩的,Poetic
接待,Reception
セレスティア,Celestia
善行,Good deed
アウター,outer
日数,Number of days
鉱物,mineral
大垣,Ogaki
早乙女,Saotome
マリアン,Marian
当直,Duty
両目,Both eyes
手の,hand
講習,Short course
ストア,Store
滅入,A niece
続編,Continuation
統一郎,Unified Ichiro
アッカー,Acker
生者,The living
火炙り,Burned at the stake
気品,Dignity
大儲け,Killing
売り渡,Sell ​​passed
紫外,ultraviolet
発光,Luminescence
肩書き,Title
此所,此所
前菜,Appetizer
離れ離れ,Get separated
１日,1 day
入浴,bathing
心的,mental
女装,Dressing
課程,Course
小声,Undertone
強が,Just over
幼少,Childhood
流石,Indeed
発疹,rash
あげく,at the end
あえぎ,Gasps
遠足,Trip
出来損ない,Bastards
深海,Deep sea
通りすがり,passing
アズカバン,Azkaban
落とし子,Spawn
点呼,Muster
国歌,National anthem
全般,Whole
言い伝え,Tradition
音信,Onshin
フロアー,Floor
ナイジェリア,Nigeria
セットアップ,setup
田,Rice field
聖者,Saints
聞え,Heard
やり過ご,Spear over your
小言,Scolding
反発,Repelling
ならず者,Ruffian
引力,Gravitation
痛手,Hard blow
母船,Mother ship
副業,Sideline
問いかけ,Asked
外食,Eating out
話し掛け,Talking
大きさ,size
アクセサリー,Accessories
アルトゥール,Artur
山犬,Jackals
いじめっ子,Bully
あこがれ,Longing for
乗り出,Out ride
航星,Koboshi
舞い上が,Maiaga
乳母,Wet nurse
友愛,fraternity
反転,Inverted
陰気,Gloomy
売り飛ば,Fly sell
諸国,The countries
受け渡し,delivery
整然,Orderly
休止,Pause
返上,Give up
拭き取,Wipe off
急進,Radical
言い返,Returned to say
等級,grade
松葉,Pine needles
唐辛子,Red pepper
送り主,The sender
周知,Well-known
あやつ,Ayatsu
放映,Televising
声紋,Voice print
安否,safety
余命,Life expectancy
風俗,Customs
計測,measurement
語り,Talking
東南,Southeast
空し,Emptiness
気性,temper
密航,Smuggling
行け行け,"Go, go"
書き置き,Kakioki
和尚,Buddhist priest
範子,Noriko
起業,Starting a business
こき使,Respiratory use
平民,commoner
入念,Elaborate
アンダル,Andaru
内心,Mind
高圧,High voltage
同体,Homolog
折り合い,compromise
延々,meandering
ありったけ,Arittake
愛着,attachment
巻物,Scrolls
殴り合い,Fistfight
アッシャー,Usher
医大,Medical school
聞き入れ,Listen
取り寄せ,Stock
下見,Preview
つき合,Tsukigo
人斬り,Slaying
辿り着け,Wearing follow
強敵,Formidable enemy
転覆,Capsizing
孤島,Solitary island
海流,Ocean current
本棚,Bookshelf
道場,dojo
語り合,Says if
ティアナ,Teana
考察,Consideration
路面,The road surface
シア,Shea
初版,First edition
アリガト,Thank you
法令,Laws and ordinances
開閉,Open and close
人で,In humans
皆無,Nothing
武道,martial arts
屋外,Outdoors
持ち出し,Takeout
先約,Previous engagement
春休み,spring vacation
筋合い,right
合い,Fit
手っ取り,Take Tsu hand
色あせ,Faded
あらわ,Reveal
童話,Fairy tale
傷付,Scratched
荒れ地,wasteland
マルウェア,Malware
平面,Plane
血中,Blood
ケニア,Kenya
気軽,Feel free
ヘアピン,hairpin
アライクム,Araikumu
年末,The end of the year
込み入,Komii
鳴り響,Sound sound
運行,Service
食材,Foodstuff
合間,Interval
中野渡,Nakanowatari
色目,Amorous glance
間宮,Mamiya
検診,Medical examination
アトリエ,Atelier
食道,esophagus
絶え間,Constantly
通商,trade
荒地,Wasteland
薬屋,Pharmacy
压制,压制
有明,Ariake
無鉄砲,Reckless
根源,Source
于任,于任
汚物,Dirt
原点,origin
天体,Heavenly body
罪深,Sinfulness
形作,Form work
不毛,barren
田上,Tagami
墓石,Tombstone
最短,shortest
読み込,Write reading
一巻,Volume One
死に掛け,Hanging death
先入,Preconception
便器,Urinal
座礁,Aground
縫い目,stitch
身の回り,Personal belongings
海原,Ocean
引きちぎ,Hikichigi
学問,Scholarship
他国,Other countries
国債,Government securities
長続き,Long-lasting
著作,Book
急増,Rapid increase
内閣,Cabinet
ひと時,Moments
うめき声,Moaning
アルバニア,Albania
火器,Firearms
化身,incarnation
後遺,Residual
エンパイア,Empire
聖藝,Kiyoshigei
アガメムノン,Agamemnon
過ぎん,Yogin
見通,Forecast
帰艦,Kikan
武術,martial arts
空母,aircraft carrier
アーリーン,Arlene
自在,freely
真空,vacuum
目下,inferior
白骨,Shirahone
活気,Vitality
指差,Finger difference
同族,Cognate
腹立たし,Haradatashi
アカルド,Akarudo
少将,Major general
委任,Delegation
止めれ,It has been stopped
アンティーク,antique
田中,Tanaka
四半,Quarter
膨張,expansion
野外,Open air
有り難う,Thank you.
称,Referred
市会,City council
締め付け,Tightening
助川,Sukegawa
統括,Overall
駆使,Full use
得体,Enigmatic
八つ,eight
狩人,hunter
非情,Ruthless
挙が,Behavior is
氷山,iceberg
車種,Car model
機首,nose
口封じ,Mouth sealed
受精,Fertilization
敵機,Enemy aircraft
几帳面,Scrupulous
州立,State
追い立て,Eviction
上演,Performance
クリアン,Kurian
任期,Term of office
挙手,Show of hands
照射,Exposure
挙句,At last
直々,Personally
採石場,Quarry
艦橋,bridge
本国,Home country
荷台,Luggage carrier
エアー,Air
道中,Along the way
招き入れ,Invited
千畝,Chiune
股間,between legs
着弾,Landing
硬化,Hardening
異国,Foreign country
鈍器,Blunt weapon
目の,Ocular
起て,Vertical
族長,Chieftain
真っ当,Legitimate
下せ,Kudase
並列,Parallel
資材,Material
アガ,Aga
入れ込,Write put
高台,High ground
チア,Cheer
持ち帰り,Take out
押し当て,Pressed
出港,Departure
読み取れ,Read
性病,Venereal disease
急所,Vitals
人知,Human intellect
潜航,Submarine voyage
銀座,Ginza
階上,Upper floor
新参,Newcomer
不明瞭,Obscurity
云々,So and so
八つ裂き,Tearing apart
投げ落と,Throw overlooked
事後,after
子馬,pony
目障り,eyesore
物言い,Monoi
生や,Raw Ya
前衛,Vanguard
高利,Usurious
省庁,The ministry
大忙し,Busy
電荷,charge
平然,Unruffled
特訓,Special training
交友,Friend
剥製,Stuffing
くそ野郎,Fucking guy
力量,Capacity
マグワイア,Maguire
仏語,French language
手なずけ,Tame
乗り捨て,Drop-off
自治,Autonomy
開業,Opening of business
益々,More
カティア,Katya
旅客,passenger
登山,Mountain-climbing
性分,Nature
夕日,Setting sun
地下道,Underpass
口頭,oral
シアター,theater
加瀬,Kase
髪形,Hairstyle
既知,Well-known
読み書き,Reading and writing
添付,Attachment
環,ring
アーモンド,almond
性器,genital
悪質,Malicious
強風,High winds
もめ事,A quarrel
対空,Surface-to-air
本業,Core business
逆境,adversity
石盤,Sekiban
一髪,Ear-lock
葉問,Yip Man
電撃,Electric shock
取り入れ,Incorporating
則,Law
カフェテリア,cafeteria
福山,Fukuyama
家来,Servant
ボスニア,Bosnia
食い込,Included eating
歳月,Years
北上,Going north
受話,Reception
不过,Not over -
売り払,Payment sell
発狂,craziness
実地,Practice
催,Organized by
大軍,Army
一節,passage
開戦,Outbreak of war
多摩,Tama
無益,Futile
わあー,Wow
構内,Campus
フレイア,Freya
繁化,Shigeruka
財前,Zaizen
フィギュア,Figure
天下,World
東ドイツ,East Germany
飾り付け,Decoration
ポリネシア,Polynesia
小可,Small portable
共鳴,Resonance
聞き取,Kikito
後者,the latter
見通せ,Foresee
