French,English
sacrifice,sacrifice
reconnaissant,thankful
williams,williams
jeremy,jeremy
citoyens,citizens
abattu,beaten down
habits,clothes
otage,hostage
tatouage,tattoo
interview,interview
couru,ran
héroïne,heroin
opérer,operate
tendance,trend
rupture,breaking
médias,media
marqué,Mark
batterie,drums
enseigne,teaches
manager,manager
promener,to walk
héritage,heritage
écrivain,writer
clown,clown
ecoute-moi,listen to me
positif,positive
hitler,Hitler
jungle,jungle
équipement,equipment
penny,penny
complice,partner in crime
réalise,executed
préparez,ready
profite,benefits
assuré,insured
importantes,important
mette,put
pages,pages
cousine,cousin
tester,test
génération,generation
bâtard,bastard
torture,torture
putains,whores
creuser,dig
mmm,mmm
jacob,jacob
a-t-on,Did you
loyauté,loyalty
techniquement,technically
cravate,tie
mourra,die
effacer,wipe off
t-shirt,T-shirt
brigade,brigade
événement,event
rappelé,recalled
dises,tell
étranges,strange
collège,middle School
leader,leader
ténèbres,darkness
samantha,samantha
trompes,tubal
associés,Related
examens,exams
taré,tare
bart,bart
dent,tooth
dangereuse,dangerous
poumons,lungs
holly,holly
destruction,destruction
bateaux,boats
trouvais,found
pires,worse
charité,charity
considère,considered
révérend,reverend
retrouvée,found
girl,girl
surement,surely
expériences,experiences
quart,quarter
poches,pockets
désire,longed for
boîtes,cans
malcolm,malcolm
moderne,modern
résolu,resolved
manges,eat
mentionné,mentionned
pétrole,oil
solitaire,solitary
essayant,trying
démarre,started
arracher,snatch
tendre,tender
sincère,sincere
issue,outcome
saut,jump
débrouiller,untangle
mickey,Mickey
regardait,looked
white,white
devaient,were to
timide,shy
chevalier,knight
r,r
précisément,precisely
continues,continuous
halloween,halloween
ordures,garbage
volontaire,voluntary
interrogatoire,examination
trahison,treason
vomir,To vomit
tueurs,killers
travis,travis
confirmé,confirmed
cri,shout
clay,clay
cassée,broken
soucie,cares
censés,supposed
adrian,adrian
siècles,centuries
cruel,cruel
plaisantez,joking
agi,acted
probable,likely
scandale,scandal
laissent,leave
otages,hostages
invisible,invisible
mélange,mixed
responsabilités,responsibilities
ashley,ashley
harold,Harold
albert,albert
importants,important
attendrai,wait
déménager,to move out
perdez,lose
visages,faces
échantillon,sample
explosé,exploded
jouent,are playing
homer,homer
nan,Nope
flash,flash
systèmes,systems
usa,USA
simples,simple
christine,christine
charges,loads
funérailles,funeral
ressembler,look like
césar,Caesar
evan,evan
jouets,toys
chaos,chaos
mm-hmm,mm-hmm
green,green
outils,tools
audrey,audrey
résistance,resistance
dessert,dessert
cons,cons
insiste,insists
veuve,widow
riley,riley
effectivement,effectively
dernièrement,recently
neil,neil
moyenne,average
logan,logan
contient,contains
espagne,Spain
virée,spree
épaules,shoulders
stone,stone
passe-moi,pass me
altesse,highness
gênant,embarrassing
voter,vote
manquait,missing
laisse-la,leave her
protégé,protected
esclaves,slaves
arrêtera,stop
construction,construction
utilisez,use
cadavres,corpses
immense,immense
net,net
renvoyé,returned
population,population
mondiale,World
juillet,July
capacité,capacity
sortait,out
expliqué,Explain
va-t-on,Will we
sensation,sensation
sien,his
mason,mason
retenu,retained
informer,inform
récupère,recovers
ordonné,ordered
potentiel,potential
baisser,lower
admire,admires
morale,morals
pasteur,pastor
patrouille,patrol
connerie,bullshit
impact,impact
partant,thus
baseball,baseball
sel,salt
conducteur,driver
maintenir,maintain
stable,stable
motel,motel
pourront,will
poker,poker
abattre,tear down
littéralement,literally
présidente,chairwoman
hill,hill
oublierai,forget
tokyo,tokyo
jules,stud
panneau,sign
évite,avoid
regardent,look
tragédie,tragedy
angel,angel
serveur,server
fruit,fruit
aaron,aaron
marge,margin
earl,earl
prière,pray
activités,activities
légiste,jurist
impôts,taxes
possession,possession
confirmer,to confirm
out,out
vendeur,seller
discuté,discussed
dépasse,exceeds
apprécié,appreciated
combinaison,combination
joan,joan
proposer,to propose
séjour,stay
utilisent,use
exception,exception
ambassadeur,ambassador
lincoln,lincoln
craindre,to fear
allison,allison
boy,boy
poing,fist
commences,begin
chapitre,chapter
four,oven
rapporte,reports
association,association
connaissiez,know
audition,hearing
ordure,filth
écriture,writing
publicité,publicity
cendres,ashes
motif,pattern
respiration,breathing
rends-moi,make me
quinze,fifteen
art.,art.
regretter,to regret
avril,April
boue,mud
pleuré,cried
rita,rita
pipi,Pee
noté,note
sammy,doughboy
tv,TV
cran,guts
échappe,escapes
veuille,wants
vivez,live
apparence,appearance
principe,principle
oublies,forget
essentiel,essential
moment-là,time
quittez,exit
sortons,go out
alpha,alpha
gentleman,gentleman
gabriel,gabriel
eaux,waters
house,house
brise,broken
verte,green
boules,bowls
lauren,lauren
canada,Canada
demandent,ask
exige,required
règlement,settlement
francis,francis
barney,barney
aimable,amiable
habillé,dressed
ann,ann
symbole,symbol
endormi,sleeping
margaret,margaret
marin,marine
what,what
docteurs,doctors
adorent,love
revanche,revenge
rarement,rarely
gâteaux,cakes
préparez-vous,prepare yourselves
parait,seems
with,with
fonce,dark
satellite,satellite
paige,paige
dettes,liability
rembourser,refund
passagers,passengers
luxe,luxury
vallée,valley
médicale,medical
reprend,resumes
transport,transport
effrayé,scared
franc,franc
couronne,crowned
scientifiques,scientists
chacune,each
plante,plant
menu,menu
revolver,revolver
bonhomme,fellow
légal,legal
liam,liam
discute,discusses
bonté,goodness
bières,beers
complète,complete
avertissement,Warning
acier,steel
subir,undergo
sentait,felt
berlin,Berlin
kitty,kitty
plais,take pleasure
planté,plant
branche,plugged
puissante,powerful
engagement,commitment
imaginé,conceived
options,options
coûté,cost
changements,change
révéler,reveal
mesures,measures
coordonnées,contact information
contacts,contacts
bip,beep
producteur,producer
cessé,ceased
fonction,function
lame,blade
donnait,gave
navrée,sorry
shawn,shawn
cachée,hidden
salopard,bastard
cuir,leather
monica,monica
megan,megan
direz,tell
goutte,drop
rate,missed
ticket,ticket
douter,doubt
chloé,Chloe
fédéral,federal
stephen,stephen
maths,math
ose,dare
attaques,attacks
autoroute,highway
accuser,to accuse
dealer,dealer
déposition,deposition
victoria,Victoria
étonne,surprised
deuil,mourning
occupe-toi,keep busy
légère,light
huh,huh
avocate,lawyer
statue,statue
excellence,Excellency
coule,flows
armés,armed
piqué,dive
eva,eva
pères,fathers
basket,basketball
harris,harris
ô,oh
pathétique,pathetic
x,x
journalistes,journalists
remarquer,note
booth,booth
matthew,matthew
innocente,innocent
fichiers,files
casque,helmet
ruiné,ruined
mené,conducted
v,v
prime,premium
bloqué,blocked
faisiez,were doing
jenna,jenna
bénisse,bless
hélas,Alas
sec,dry
éclater,to burst
bienvenu,welcome
aile,wing
mortes,dead
combats,battles
kg,kg
protocole,protocol
prendrais,take
chatte,cat
mouvements,movements
poignée,handle
reviennent,return
gloria,gloria
nelson,nelson
aah,aah
vodka,vodka
roue,wheel
oblige,requires
quartiers,neighborhoods
boucle,loop
mordu,bitten
fois-ci,time
légitime,legitimate
délire,delirium
médicament,drug
resto,restaurant
trente,thirty
island,island
douloureux,painful
vues,views
tonnes,tons
jersey,Jersey
demoiselle,damsel
attire,attracted
bagnole,wagon
serveuse,waitress
contacté,contacted
relève,reports
reprends,resume
allume,alight
conflit,conflict
accomplir,accomplish
bouteilles,bottles
shane,shane
pensant,thinking
lisez,read
prêtes,ready
badge,badge
little,little
pension,pension
déposé,deposit
routine,routine
crève,bursts
articles,goods
chagrin,grief
local,local
saurai,know
appuie,supports
filmer,filming
ayons,have
know,know
amusez-vous,have fun
servent,serve
réduire,reduce
remet,returns
filé,yarn
courez,run
rit,laughs
symptômes,symptoms
feuilles,leaves
candidat,candidate
vides,empty
soupirs,sighing
rory,rory
professionnelle,professional
ressemblent,look alike
wade,wade
sauvages,wild
organise,organized
munitions,ammunition
cercueil,coffin
cm,cm
enquêter,investigate
disparue,missing
réelle,real
trône,throne
ouverts,open
planque,stash
asile,asylum
louer,to rent
allumer,light up
craig,craig
tarder,delay
fausses,false
f,f
administration,administration
arrangement,arrangement
existent,exist
hop,hop
juin,June
sachez,know
contrairement,in contrary
wendy,wendy
conseille,advises
ford,ford
fabrique,made
mitchell,mitchell
obscurité,darkness
talents,talents
enlevez,remove
informé,informed
colline,hill
telles,such
horribles,horrible
avoué,attorney
mentez,lie
réalisateur,director
lesquelles,which
fait-on,does one
puits,well
octobre,October
cherchons,looking
costumes,costume
irez,go
suis-moi,follow me
léo,leo
renoncer,renounce
aimée,loved
république,Republic
rendent,make
longues,long
sauvée,saved
nuit-là,night
testament,will
facture,bill
domicile,home
basse,low
transformé,converted
emmenée,took
médaille,medal
texte,text
établir,establish
vanessa,vanessa
sienne,his
kong,kong
record,record
connaisse,know
blé,corn
guerrier,warrior
sms,sms
entrain,by train
quittes,quits
plantes,plants
restons,stay
accéder,to access
suprême,supreme
warren,warren
installé,installed
tuent,kill
décrire,to describe
enveloppe,envelope
était-il,Was
manche,handle
écoles,schools
rappelle-toi,reminds you
batman,Batman
embête,bothers
espèces,cash
dalle,slab
auquel,which
mrs,mrs
cadre,frame
enseigner,teach
maquillage,makeup
fâchée,sorry
restant,remaining
prétend,claims
demandait,asked
gris,Grey
levez,lift
nora,nora
sépare,separate
enlèvement,removal
magicien,magician
historique,historical
circulation,traffic
ère,time
piquer,sting
stanley,stanley
canard,duck
lancement,launching
quantité,amount
gym,gym
time,time
punir,to punish
téléphoner,call
hélicoptère,helicopter
dinde,turkey
subi,sustained
énerver,annoy
auto,car
mêle,mixes
anthony,anthony
placer,to place
réduit,reduced
fédéraux,federal
bruits,sounds
sujets,topics
jetez,throw
he,Hey
tube,tube
organes,organs
mettez-vous,put yourself
poils,fur
époux,husband
tendu,tense
ingénieur,engineer
téléphones,phones
pape,Pope
routes,roads
lâché,loose
portant,wearing
bats,fight
laissant,leaving
pouce,thumb
infection,infection
faiblesse,weakness
mettra,will
manhattan,manhattan
responsables,officials
devinez,guess
remarquable,remarkable
tenais,wanted
mérité,deserved
collins,collins
santa,santa
libération,release
malentendu,misunderstanding
élément,element
vaincre,overcome
attiré,attracted
mêler,mix
bouffer,eat
souvient,recalls
profonde,deep
chaussettes,socks
morgue,morgue
accuse,accused
portez,wear
estime,valued
soda,soda
silencieux,quiet
diana,diana
faibles,low
avertir,to warn
côtes,ribs
tournage,shooting
bonnie,bonnie
effraction,breaking in
valises,bags
atmosphère,atmosphere
délit,offense
fui,fled
menottes,handcuffs
partenaires,partners
bureaux,offices
this,this
requin,shark
détention,detention
factures,bills
agissait,was
continué,keep on going
donne-lui,give him
observer,watch
visites,visits
conscient,aware
condoléances,condolences
maya,Maya
sortant,outgoing
nicole,nicole
enfermer,lock
vôtres,yours
tumeur,tumor
marches,steps
crainte,fear
panier,basket
ruth,Ruth
immunité,immunity
terriblement,terribly
compromis,compromise
serait-ce,would it
minimum,minimum
tels,such
coûter,cost
revue,review
hong,hong
scotch,Scotch
tracy,tracy
repéré,spotted
ruiner,ruin
différemment,differently
violée,raped
harper,harp
trompez,deceived
salauds,bastards
putes,whores
clara,clara
pleins,full
come,come
personnages,characters
péchés,sins
fascinant,fascinating
utilisée,used
avaler,swallow
nièce,niece
élu,elected
meubles,furniture
magnifiques,beautiful
devienne,becomes
explose,explodes
portent,carry
viennes,come
passerai,pass
sagesse,wisdom
seth,seth
fouillé,search
française,French
janet,janet
attends-moi,wait for me
just,just
imaginais,imagined
douzaine,dozen
fusillade,shooting
intentions,intentions
puissent,can
permettez-moi,allow me
serrer,tighten
trouble,trouble
sachiez,know
connexion,connection
renversé,reversed
voudriez,would
équilibre,balanced
usage,use
rapporter,report
meure,die
sydney,sydney
intéresser,to interest
sourd,deaf
vaudrait,would
industrie,industry
connus,known
norman,norman
soudainement,suddenly
états,states
brooklyn,brooklyn
croirait,think
communiquer,communicate
déménagé,moved
saigne,bleeding
longs,long
festival,festival
inconnue,unknown
parliez,talk
revu,reviewed
parlez-moi,talk to me
destinée,destiny
linge,laundry
ressent,feels
câlin,Hug
trouvons,find
promettre,to promise
jugé,judge
fragile,brittle
fabuleux,fabulous
sieste,nap
conçu,designed
indices,Indices
obéir,to obey
suicider,suicide
chant,singing
simpson,simpson
curiosité,curiosity
balancer,swing
entraîneur,coach
judy,judy
écrasé,crushed
archives,archives
intimité,privacy
demeure,dwelling
ambiance,ambience
c.,vs.
ressembles,look like
brillante,bright
ramasser,to pick up
satisfait,satisfied
tara,tara
karl,karl
connaitre,know
hector,Hector
tissu,tissue
viendrais,would come
nuages,clouds
avait-il,Had
phoebe,phoebe
soir-là,evening
résidence,residence
jouais,playing
pourrais-tu,could you
arriverai,arrive
politiques,policies
débat,debate
fonctionner,function
prostituée,prostitute
bo,bo
homo,homo
pompiers,firefighters
sorcières,witches
parles-tu,do you speak
leçons,lessons
rendra,make
vic,vic
naturelle,natural
réunions,meetings
implique,involved
bracelet,bracelet
look,look
zoo,zoo
confortable,comfortable
navette,shuttle bus
cervelle,brain
baron,baron
jumeaux,twins
genou,knee
ralph,ralph
may,may
mystérieux,mysterious
coincés,trapped
campus,campus
arriverait,happen
augmenter,increase
tragique,tragic
cash,cash
elliot,elliot
vilain,ugly
toc,fake
essaient,try
moscou,Moscow
heather,heather
destination,destination
grossesse,pregnancy
foiré,fair
royal,royal
exposition,exposure
amuse-toi,have fun
nid,nest
artistes,artists
vise,aims
merdé,shit
mafia,mafia
assiette,plate
finn,finn
demanderai,ask
kit,kit
capables,capable
aiderait,help
par-dessus,Above
fréquence,frequency
ceux-là,those ones
montrent,show
caches,caches
stars,stars
dépensé,spent
lane,lane
méthodes,methods
boum,bang
atelier,workshop
passées,past
divine,Divine
balade,ride
passais,spent
capitale,capital city
générale,General
hémorragie,hemorrhage
prouvé,proven
déplacé,displaced
massage,massage
