Russian,English
подойдет,fit
издеваешься,kidding
выходите,exit
парнями,guys
останови,stop
пораньше,a bit earlier
помогал,helped
че,Th
фигня,garbage
представьте,imagine
умирают,die
лу,lu
забрала,took
убьёт,kill
америку,America
гость,the guest
монстр,monster
линда,Linda
мин,min
изменилась,changed
помешает,prevent
сосед,neighbor
попытался,I tried
острова,island
громко,loudly
сад,garden
правильный,right
судьбу,fate
добры,kind
отомстить,revenge
адвокатом,lawyer
народу,people
менять,change
занималась,engaged
наиболее,most
расскажет,tell
бум,boom
проснись,wake up
нахуй,fuck
счастливый,happy
вернутся,return
интересное,interesting
каждые,every
стакан,glass
важная,important
уйдет,leave
хлоя,Chloe
чёрный,the black
масло,oil
русские,Russian
врагов,enemies
коробку,box
линию,line
существуют,exists
взрыва,explosion
министр,Minister
обратиться,apply
отменить,cancel
скорости,velocity
сложнее,more difficult
жалко,miserably
передо,front
лукас,Lucas
нету,no
миссия,mission
винсент,Vincent
шла,was
спенсер,spencer
аманда,Amanda
размер,the size
окажется,will
падает,falls
джоуи,Joey
сообщили,reported
шел,walking
ограбление,robbery
лежать,lie
поймешь,understand
прелесть,beauty
больной,sick
проиграл,lost
повторить,repeat
изменения,changes
привезли,brought
личные,personal
поехала,I traveled
справимся,can handle
испортил,ruined it
бет,bet
нечестно,not fair
закончилась,ended
свидетеля,a witness
санта,Santa
вашими,your
картины,pictures
зол,evils
курить,smoke
поездка,Trip
хожу,I go
отсутствие,lack of
доброго,good
убивают,kill
спрашивает,asks
нa,nA
узнаете,learn
проверка,inspection
боятся,afraid
чан,vat
плане,plan
гордон,Gordon
бетти,Betty
купер,Cooper
шести,six
огня,fire
мотив,motive
поговорил,spoke
занимаются,deal
полицейского,police officer
назвала,named
реки,river
чжон,Jeong
брату,brother
сумму,worth
пишу,writing
мальчиков,boys
ставки,rates
материал,material
лодке,boat
вали,wali
желает,wants
прочим,Incidentally
перестаньте,stop
привела,lead
напомнить,recall
учить,teach
местечко,place
застрял,stuck
трогать,touch
рид,Reed
луи,Louie
бросили,threw
творишь,doest
север,north
показаться,sound
заполучить,get
вероятность,probability
рикки,Ricky
ведьма,witch
нэнси,Nancy
вор,thief
высокий,tall
ест,eating
метро,underground
героем,hero
передам,will give
братьев,brothers
пацан,kid
встречаюсь,meet
открою,reveal
взамен,instead
встречаемся,meet
кот,cat
по-вашему,In your
лора,Laura
последних,latest
способна,capable
члены,members
угрозу,threat
совершить,commit
by,by
америка,America
следующего,the next
рыбу,fish
джессика,Jessica
пешком,on foot
известный,famous
службе,service
мужу,husband
выжил,survived
кем-нибудь,someone
ответила,answer
пригласила,He invited
разок,just once
действий,of action
реальность,reality
чей,whose
вторую,second
вес,weight
дорогие,expensive
ошибаешься,wrong
сиди,sit
камере,chamber
разницы,difference
пляже,beach
послание,message
хи,hee
казино,casino
езжай,ezzhaj
благодарения,Thanksgiving
нравился,I liked
джоан,Joan
первых,the first
итан,Ethan
подобные,similar
мешать,prevent
уезжаю,I am leaving
дерек,Derek
ночам,night
мечтал,dreaming
мороженое,ice cream
туалете,the toilet
стою,standing
миллер,Miller
побыстрее,quickly
автор,author
запомни,Remember
рон,ron
нарушение,violation
свинья,pig
партнер,partner
хён,hyung
встречал,met
обязана,obliged to
разговариваю,talk
уехали,had left
происходило,It happened
бедная,the poor
тётя,aunt
мальчиком,boy
базу,base
добра,of good
отдала,He gave
луна,moon
соглашение,agreement
а.,a.
способом,way
встал,got up
was,was
губы,lips
канал,channel
изменит,change
шутите,Mess
закрыто,closed
сдать,to surrender
огромная,enormous
подними,lift up
поможете,help
ездить,ride
научить,teach
печенье,biscuits
колледжа,college
брал,took
саду,garden
гэри,geri
во-вторых,Secondly
поддержать,support
мнению,view
джонсон,Johnson
тейлор,Taylor
заменить,replace the
какова,What is the
поспорить,bet
обычная,ordinary
входит,includes
сыр,cheese
согласиться,accept
участке,section
случая,case
успеха,success
взрослый,adult
бесполезно,useless
одри,Audrey
стреляли,shot
троих,three
девочкой,girl
лидер,leader
гиббс,Gibbs
осторожней,cautious
угадай,guess
помогло,helped
сидишь,you sit
бомбы,bombs
забери,take away
беспокойство,anxiety
отряд,squad
ожидала,expected
умрешь,die
ведёт,leads
получаю,I get
позволила,allowed
скорой,emergency
снег,snow
звонка,call
снимай,shoot
энергию,energy
времен,time
животные,animals
ева,Eve
рассказали,told
отправила,sent
телом,the body
стоить,cost
развод,divorce
предполагаю,I am guessing
хороши,good
чёрту,hell
лив,Liv
арест,arrest
искренне,sincerely
играем,play
кристина,Kristina
вещами,things
пусти,Thrust
использовала,I used
возвращайтесь,return
организации,organizations
крышу,roof
рубашку,shirt
удержать,to keep
конкретно,specifically
аду,hell
километров,kilometers
залог,pledge
бей,bey
обстоятельства,circumstances
являются,are
with,with
брака,marriage
выходных,output
крошка,chit
врага,the enemy
воздухе,the air
показывают,show
возвращаюсь,return
поиск,Search
пытаетесь,try
приближается,approaching
ботинки,boots
полицейских,police
шоссе,highway
похитили,kidnapped
рассказывай,tell
искусства,art
состоит,consists
выступление,speech
личный,private
бизнеса,business
спорить,argue
считаем,We consider
джастин,justin
священник,a priest
хвост,tail
деревне,village
меняется,change
украла,stealing
ждешь,expect
снимки,pictures
начинаешь,start
признаю,I recognize
специальный,special
берегу,shore
дадут,will
присаживайтесь,sit down
сиськи,boobs
касл,Castle
сообщил,reported
кит,whale
злой,evil
перейти,go
визит,visit
победу,a victory
привлечь,draw
натворил,done
борьбе,fight
важна,important
уважение,respect
судьбы,fate
all,all
задавать,set
свобода,Liberty
болтать,chat
интернет,the Internet
микки,mickey
нина,Nina
одиноко,alone
музыки,music
включить,enable
рейс,flight
осторожны,cautious
сорок,forty
говард,Howard
заднем,background
попозже,a little later
любая,any
потратил,I spent
комиссар,commissioner
джордан,Jordan
свободна,free
местом,place
be,be
арестованы,arrested
спальне,bedroom
натали,Natalie
подери,poderi
правой,right
трус,coward
понимал,I understood
шли,walking
дед,grandfather
убежище,shelter
убежать,escape
чая,tea
браун,brown
какими,what
радости,joy
позор,a shame
вызову,call
придти,to come
молодая,young
характер,character
продолжается,continues
лошадей,horses
температура,temperature
кухню,the kitchen
жестоко,brutally
впечатляет,impressive
агенты,agents
подругой,friend
зои,Zoe
попросили,asked
горит,lit
предположить,to assume
тодд,Todd
херня,garbage
художник,painter
тревога,anxiety
старался,I tried
номере,room
стрит,straight
приходила,I came
нести,bear
плачет,weeps
угадаю,I guess
опасен,dangerous
ищете,looking
путем,by
сторона,side
ждите,expect
причинить,inflict
проходи,Come
красивое,beautiful
стюарт,Stewart
приказы,orders
жутко,creepy
мост,bridge
плану,plan
уволить,dismiss
запрещено,prohibited
тост,toast
пэм,Pam
неизвестно,unknown
спине,back
испугался,frightened
рэнди,Randy
нет-нет-нет,no no no
идиоты,idiots
подпись,signature
набор,set
энтони,Anthony
удивлен,I surprised
каком-то,some
штатов,states
убийцей,killer
влюблен,love
камни,stones
враги,enemies
партии,party
стола,table
принесите,bring
обувь,footwear
подходящее,suitable
границу,border
подумаю,I think
объект,an object
братан,bro
сэмми,Sammy
кенни,Kenny
правдой,truth
кровотечение,bleeding
берет,beret
разговаривает,talking
луиза,Louise
порой,occasionally
неудобно,uncomfortably
понимают,understand
входи,come in
реакция,reaction
самостоятельно,independently
чувств,feelings
картина,picture
автобусе,bus
большей,more
так-то,so that
заказать,to order
сел,sat
приказал,He ordered
вопросом,question
удача,luck
сэма,Sam
влюбился,fell in love
ногах,legs
охрану,protection
поживаете,are you
беда,trouble
поторопись,hurry up
отце,father
притворяться,pretend
возвращения,return
тень,shadow
советую,advise
недолго,not for long
верится,hard to believe
зашла,gone
попался,I caught
слышит,hears
справится,to cope
важные,important
возвращением,return
предложения,offers
планету,planet
серии,series
николь,Nicole
выходной,output
кресло,armchair
поездки,trips
нормальный,normal
долю,share
тина,Tina
эдвард,Edward
умнее,cleverer
магия,magic
двигатель,engine
звоните,call
вечность,eternity
привык,accustomed
невиновен,innocent
рори,Rory
кузен,cousin
отношению,against
начнут,will
потише,quiet
винс,Vince
парочку,couple
останемся,stay
звуки,sounds
мешает,prevents
глупость,folly
собственность,own
карлос,carlos
таков,such
потери,losses
понимаем,We understand
лиам,Liam
оборудование,equipment
заказал,I ordered
маленькое,small
книг,books
гнев,anger
смеется,laughs
помимо,besides
слушал,I listened to
поверишь,believe
парочка,couple
приведет,will lead
р,R
бут,rubble
главного,main
желаете,wish
красивой,beautiful
платит,pays
офицера,officer
чаю,tea
белье,linen
сосредоточиться,focus
берегись,beware
пустой,empty
мудак,asshole
кристин,Christine
отделение,office
университете,University
милые,cute
вернул,returned
четверо,four
тепло,warmly
прямой,straight
глубже,deeper
линдси,Lindsey
эффект,the effect
пульс,pulse
трудом,work
пускай,let them
пятьдесят,fifty
ночной,night
грубо,rough
опухоль,tumor
четырех,four
паркер,Parker
выполнять,perform
проводит,conducts
линия,line
обид,insults
кончится,ends
оуэн,Owen
берите,take
кричит,shouts
темноте,dark
устроим,arrange
спасать,save
майами,miami
пиццу,pizza
беспокоить,worry
покой,peace
малыша,baby
сходи,convergence
марко,marco
босса,boss
грей,gray
занимаемся,deal
солнышко,Sun
леонард,Leonard
бегать,run
дневник,a diary
моменты,moments
испортить,screw up
неприятно,unpleasantly
домик,lodge
мэй,May
стекло,glass
прими,accept
влюблена,In love
ян,yang
ужина,dinner
объяснение,explanation
эээ,er
мю,mu
допустить,prevent
крыше,roof
тхэ,Tae
ожидать,expect
детектива,detective
провёл,conducted
крик,cry
называли,named
играла,I played
выразить,express
успокоиться,calm down
джорджа,george
надежду,hope
всяких,any
использую,use
сильным,strong
градусов,degrees
морской,nautical
марш,march
починить,fix
уилсон,Wilson
замке,castle
крепко,firmly
послали,sent
заплатили,paid
спокойствие,calmness
скучал,I missed
согласились,agreed to
такому,this
собственные,own
событие,event
дама,lady
используй,use the
дженна,Jenna
извиняться,apologize
предал,betrayed
нанять,hire
соль,salt
сидела,sat
би,bi
теории,theory
стул,chair
месть,revenge
so,so
ошибкой,mistake
терпение,patience
давай-ка,let's
целых,as many as
вида,species
обязанности,duties
поздравления,congratulations
выхожу,leave
днях,days
сна,sleep
выясним,find out
приятный,pleasant
медсестра,nurse
капли,drops
здоров,healthy
карла,Karl
прекрасные,beautiful
по-английски,in English
отделе,department
чёртов,bloody
дочка,daughter
небе,heaven
шее,neck
диана,Diana
исчезнуть,disappear
барт,Bart
райли,Riley
остаток,the balance
птица,bird
встань,Arise
клетки,cell
чжун,chung
лиззи,Lizzie
ставить,put
программе,program
новостях,news
пропали,missing
разговаривала,I am talking
разговоров,talk
выиграли,won
ноль,zero
плачь,cry
эмоции,emotions
пространство,space
увидят,see
заодно,at the same time
возражаешь,mind
сменить,change
выполнить,perform
используя,using
считай,count
ударить,hit
вывести,withdraw
пальцем,finger
хейли,Hailey
я-я,I-I
веру,faith
эх,oh
законы,laws
сомнений,doubt
клиенты,clients
усилия,efforts
посадить,seat
сотрудников,employees
позвать,call
врачу,doctor
очень-то,very much
ходишь,walking
трейси,Tracy
горячая,hot
know,know
природы,nature
эдриан,Adrian
утверждает,claims
почувствовала,felt
показывать,show
английский,English
исследование,study
знай,know
золотой,gold
костюме,suit
чо,cho
благодарна,thankful
сойти,get
тщательно,carefully
просим,please
идеальный,ideal
полезно,helpful
умно,clever
студии,studio
погода,weather
км,km
поставь,put
командой,team
средств,means
объяснять,explain
тв,tv
диване,couch
жених,groom
кнопку,button
ванну,bath
председатель,chairman
обстоятельствах,circumstances
пойдут,will go
следующим,follows
рим,Rome
нетерпением,look
телефоне,phone
изнутри,from the inside
воняет,stinks
минутка,minute
позволишь,you let
юг,south
страсть,passion
нью,New
взрослые,adults
течении,within
задумал,conceived
настоящую,real
моника,Monica
трусы,underpants
следил,I watched
иск,lawsuit
предыдущих,previous
опаздываю,late
присядь,sit down
джеймса,James
передал,handed
покинул,I left the
втором,second
эфире,ether
разрешите,allow
питера,Peter
наоми,Naomi
списка,list
рассчитывать,expect
коем,no
эксперт,expert
произойдёт,happens
дэйв,Dave
личной,personal
центра,center
can,can
ставлю,I put
прочитал,I read
рынок,market
принца,Prince
лагере,camp
вызвали,caused
позицию,position
семьёй,family
агентов,agents
реальности,reality
поворот,turn
отказалась,He refused
дышит,breathes
бегите,run
личного,personal
расходы,expenses
игрок,player
лодка,a boat
меган,megan
театр,theater
полон,full
предупреждение,warning
бывшей,the former
опыта,experience
океан,ocean
сердцу,heart
смириться,accept
знакомо,familiar
судно,vessel
блэр,blair
приговор,sentence
do,do
уважаю,respect
секретарь,Secretary
единственной,only
условиях,conditions of
языке,language
робби,Robbie
открыто,open
заставило,caused
молодых,young
паспорт,passport
экзамен,exam
гордиться,be proud
шампанское,champagne
движется,moves
раскрыть,to uncover
фирмы,firm
ошибок,errors
используем,use
возраст,age
жен,wives
меню,menu
чести,honor
американцы,Americans
пострадал,Suffered
несправедливо,not fair
найдется,there
белых,white
грег,Greg
южной,South
болван,blockhead
лемон,Lemon
тишина,silence
филипп,Philip
пределами,outside
надень,put on
заслуживаешь,deserve
бедняжка,poor little soul
напишу,write
доверяешь,trust
тюрьма,prison
угрозы,threatening
пробовал,I tried
никки,Nikki
коул,Cole
небеса,heaven
справился,consulted
даг,dag
трюк,trick
приносит,brings
войска,troops
страдать,suffer
плохих,bad
поговорили,We talked
вела,conducted
вошел,has entered
бабушки,grandmother
oh,oh
бассейн,swimming pool
шарлотта,Charlotte
don,don
конечном,end
руль,steering wheel
венди,Wendy
стефан,Stephen
проснулась,woke up
всякие,any
