Romanian,English
motor,motor
convinge,convince
tribul,tribe
numerele,the numbers
sos,S.O.S
apărea,appear
firmă,Company
se-ntâmplă,happening
fraţi,brethren
scări,SCALES
tre,tre
francisco,francisco
f,f
gibbs,gibbs
periculoasă,dangerous
scuzati-ma,excuse me
schimbăm,change
aah,aah
comportamentul,Behavior
confirmat,confirmed
distrugi,destruction
bineinteles,of course
duceţi-vă,Go
datorie,debt
învinge,defeat
inspector,inspector
iarăşi,again
recunoscător,grateful
echipamentul,equipment
impresionat,impressed
secretele,secrets
dispozitiv,device
truc,trick
întelegi,understand
interes,interest
copaci,trees
statelor,Member
spion,spy
construi,build
coincidenţă,coincidence
pastile,Tablets
asculte,listen
spuna,tell
hartă,Map
cheama,call
distrug,destruction
indian,Indian
aruncăm,take
mickey,mickey
treburi,thing
bunico,Grandma
so,it
doctorii,doctors
identitate,identity
discurs,speech
urechi,ear
gand,thinking
episoadele,episodes
raymond,raymond
yo,yo
vorbești,talk
același,same
numită,named
floare,flower
sursă,source
locului,place
nevoia,the need
lumi,worlds
publică,public
brandon,brandon
metal,metal
fetei,girl
criminali,criminals
piaţa,market
arătăm,show
sue,sue
informaţie,information
coşmar,nightmare
pipi,pee
top,top
furtuna,the storm
obişnuită,usually
cădea,fall
privată,private
căutare,search
piaţă,market
amicul,friend
eliminat,deleted
adevărate,real
piardă,lose
riley,riley
jeremy,jeremy
maxim,maximum
pagina,page
identificat,identified
fericirea,happiness
necesare,needed
premiul,prize
steven,steven
orele,hours
menţionat,mentioned
şeriful,sheriff
suspectul,suspect
matthew,matthew
pistă,track
părintele,Fr.
urâtă,ugly
declaraţie,statement
florile,flowers
gloanţe,bullets
limita,limit
toaleta,WC
ucişi,KILLED
diferenţă,the difference
ameninţat,threateningly
obtinerea,getting
mişcă-te,move it
demon,demon
sinceră,honest
produce,produce
acelui,that
albi,bleach
servesc,serve
nancy,nancy
jefuit,robbery
amintirile,memories
connor,connor
voastra,your
gluma,joke
câmpul,the field
realitatea,the reality
mașină,car
zoe,zoe
dennis,dennis
preajmă,neighborhood
tari,countries
cardul,card
majestate,Majesty
carieră,career
ie,ie
servit,serving
inauntru,in
uite-o,there she is
lider,leader
proaspăt,fresh
inamicul,enemy
ghinion,bad luck
panică,panic
casele,houses
strica,hurt
funcţiona,function
lecţie,lesson
argint,silver
continuat,continuity
mister,mystery
vârful,top
elibera,ISSUE
puşcărie,gaol
rob,slave
priveşti,look
albe,whites
coleg,colleague
travis,travis
uşile,the doors
lasă-i,Let i
speranţa,the hope
aaron,aaron
stomacul,the stomach
excelentă,excellency
oscar,oscar
distrezi,fun
doriti,want
harold,harold
distrusă,destroyed
sprijin,support
greşeli,mistakes
rănesc,hurt
liam,liam
superb,superb
învins,defeated
supăra,offend
du,Go
situatia,the situation
memorie,memory
dansez,dance
vampir,vampire
cadouri,Gifts
credinţa,faith
piese,parts
comis,committed
faptului,that
urs,bear
dacã,if
mărimea,size
piscină,pool
d-ra,Miss
şampanie,champagne
hm,ahem
păstrăm,We keep
dumnezeul,god
subsol,basement
gânduri,thoughts
coasta,the coast
barney,barney
regină,Queen
deget,finger
întâlnească,meet
agenţi,agents
motivele,reasons
whisky,whiskey
vinul,the wine
explicaţie,explanation
urăşti,hate
medicamentele,drugs
fizică,physics
şi-mi,shimmy
salvăm,save
jonathan,jonathan
datorezi,owe
băieti,boyish
consideră,considerably
joseph,joseph
maşinii,car
grădină,garden
ticălosul,villain
maşinile,cars
ancheta,investigate
jennifer,jennifer
spencer,spencer
personalul,staff
întrebările,questions
zăpadă,the snow
prinţesă,princess
concurs,COMPETITION
lovesc,hit
puţine,few
caroline,caroline
delicios,delicious
iubită,girlfriend
profit,advantage
stephen,stephen
temperatura,temperature
sărbătorim,celebrate
clienţi,customers
paige,paige
râd,laugh
furi,stealing
teritoriul,territory
ajuti,help
câştige,win
seamă,account
loveşte,strikes
hill,hill
bată,bat
sfarsit,the end
statului,State
prezentat,present
culci,sleep
auto,auto
invers,inverse
grăbiţi-vă,hurry up
parintii,the parents
greşeala,mistake
forţat,forced
urmăreşti,follow
color,dye
natalie,native
falsă,false
cunoscută,known
earl,earl
meritat,merited
glumeam,joking
desi,although
student,student
auziţi,hear
maestrul,master
ramane,remain
verifici,check
keith,keith
voştri,your
legată,related
vândă,vandal
articolul,the article
actor,actor
dorinţă,desire
ulei,oil
mormânt,grave
şoc,shock
anumit,certain
n-as,nose
senator,senator
iarba,Grass
jean,jean
oglindă,the mirror
şi-ţi,and you
moş,forefather
lucrurilor,things
plecati,Out
junior,junior
locuit,inhabited
vederea,view
iubesti,love
discursul,speech
quinn,quinn
nepotrivit,inappropriate
potrivesc,right
faptele,the facts
logică,logic
americii,America
asteptati,wait
pălăria,hat
dumitale,your
refuza,refuse
ieși,go out
adresă,Address
ultimă,latest
doriți,want
procurorul,prosecutor
sydney,sydney
crimele,crimes
martha,martha
căţea,female dog
glume,jesting
computerul,computer
cântat,singing
însemne,mean
persoanele,persons
vorbe,talk
federal,federal
echipe,teams
incident,incident
creaturi,creatures
scuzi,excuse
auzit-o,heard
parteneri,partner
opera,Opera House
principală,main
fabrica,works
craciun,Christmas
grăbim,hurry
efectul,the effect
neobişnuit,unusual
credinţă,faith
avantaj,advantage
benzină,benzine
hi,Hi
avans,advance
găsită,found
ou,egg
însumi,myself
ziare,newspapers
cad,I'm falling
original,original
proprietate,property
cec,check
promiţi,promise
evan,evan
așteaptă,Wait
monica,monica
florida,Florida
g,g
agenţii,Agency
logan,logan
filmele,the movies
tehnic,technical
bagă,sticks
sincronizare,timing
sparge,break
paşi,steps
angel,Angeli
nepoata,niece
cobor,down
stomac,stomach
mainile,hands
caldă,hot
primarul,Mayor
marshall,marshall
încerce,try
cânte,quantity
albastră,cornflower
militară,military
neil,neil
destui,enough
punte,deck
predau,teach
conving,convince
miles,miles
concert,concert
barbara,barbara
sări,jump up
amintiţi,remember
prietenilor,friends
mina,mine
sigurantă,safety
surpriza,surprise
păstreze,keep
că-s,he s
mutăm,move
opinia,opinion
scăzut,low
spuneţi-mi,tell me
anunţat,announce
americanii,Americans
informatii,information
şedinţă,meeting
întârzii,late
little,little
închisoarea,prison
fantoma,the ghost
slabă,LOW
liderul,the leader
retrag,withdraw
piper,pepper
presiunea,pressure
placea,like
dură,tough
samantha,samantha
filmat,recorded
crăciunul,Christmas
vecinii,neighbours
ofiţerul,officer
fusese,was
podul,the bridge
evita,avoid
mirare,wonder
anthony,anthony
obţin,ACQUIRE
preia,take over
zeii,gods
cabina,cabin
audrey,Audrey
mearga,go
prizonier,prisoner
naţională,Nation
deodată,suddenly
hollywood,hollywood
zeci,dozens
decizii,decisions
negri,black
ușa,door
printr-un,BY A
asigurat,secure
capitane,Captain
buzele,lips
secunda,second
anulat,canceled
porno,porn
tragem,draw
şansele,chances
rup,break
păsări,birds
williams,williams
servi,serve
răzgândit,reconsidered
treceţi,switch
minti,lying
anilor,Anil
prinţesa,princess
malcolm,malcolm
depus,submitted
societate,society
masină,car
risca,risk
altii,others
asistent,assistant
ochelari,glasses
francis,francis
shane,shane
restaurantul,restaurant
prietenului,friend
înveţe,learn
stia,knew
deschideţi,Open
culc,bed
vroiai,wanted
asigură-te,Make
urasc,I hate
secţia,department
harris,harris
civil,civil
bogaţi,wealth
hristos,Christ
urmărire,prosecution
black,black
funcţionat,function
blake,blake
jucam,play
julian,julian
protejezi,protect
pasiune,passion
holly,holly
îndeajuns,enough
rană,wound
publicul,the audience
virginia,virgin
dormitorul,bedroom
identitatea,identity
adult,adult
eroare,error
y,y
tehnologie,technology
sergentul,Sergeant
staţie,station
lovituri,hits
mizeria,misery
universitatea,university
frigider,refrigerator
mergeti,go
elliot,elliot
curva,whore
maestru,master
all,all
cazului,case
set,set
d-zeu,Gd
cumpără,buy
nenorocita,fucking
sabie,sword
castel,castle
naşpa,whack
alerga,run
informat,informed
astepti,wait
fantome,ghosts
septembrie,September
ashley,ashley
gabriel,gabriel
amandoi,both
leonard,leonard
asistentă,assistance
joaca,play
judecata,judgment
rezultate,result
pregăteşte,prepares
înaltă,tall
sete,thirst
iată-l,here it is
simţeam,feeling
înţeleagă,understand
uriaş,huge
școală,school
ţigară,cigarette
pregătiţi-vă,prepare yourself
particular,private
numim,call
allison,allison
căsătoresc,married
limită,limit
sânii,luge
documente,document
state,Member
trezeşti,wake up
calculator,computer
portofelul,wallet
one,one
trai,live
sammy,sammy
documentele,documents
dam,dam
oxigen,oxygen
lux,luxury
vasul,vessel
bicicleta,bicycle
acordat,agreement
house,house
coborât,down
dispărea,disappear
târfa,slut
raportat,reported
cutii,boxes
fă-ţi,do yourself
comportament,behavior
dispar,disappear
gasim,find
locaţia,location
ţine-te,Hang
coadă,pigtail
de-ai,for you
obişnuiam,I used
provocare,challenge
furie,anger
ken,ken
oasele,the bones
greutate,weight
favoarea,favor
phoebe,phoebe
urmărim,follow
asa-i,huh
îndrăgostită,in love
deşteaptă,clever
înseamna,means
chip,way
acelei,that
vindeca,heal
tehnologia,the technology
b.,b.
doamnei,Mrs.
ochelarii,spectacles
nopţi,nights
scandal,scandal
disparut,missing
dansează,dancing
dă-mi-l,give me it
do,do
sărbători,celebrate
stanley,stanley
diane,diane
seth,seth
minunata,wonderful
tatei,father
vârf,peak
iert,forgive
masca,the mask
porneşte,STARTS
convine,AGREES
străini,foreign
loveşti,hit
drumului,road
coada,pigtail
dinţii,teeth
înregistrările,records
costat,cost
lar,And
eli,eli
turnul,the tower
fugim,run
nora,bride
frumuseţe,beauty
groază,horror
aminteşte-ţi,remember
sange,blood
baiatul,boy
desert,desert
fiinţă,living being
trecere,pass
dacă-ţi,if you
ceartă,contention
urmezi,CHOOSE
cool,cool
dragi,Dear
megan,megan
bucata,piece
sire,sire
shh,shh
surorii,sister
îngrijora,worry
totală,total
trupa,the band
față,face
obişnuia,used
tipului,type
major,major
hong,hong
mason,freemason
daţi-i,give it
homer,Homeric
bonnie,Bonne
re,re
deţine,by you
aranja,arrange
colegi,fellow
şefa,head
show,show
mute,move
avertisment,warning
trib,tribe
von,von
ocupaţi,Occupy
placa,plate
dansul,the dance
white,white
şofer,driver
împins,PUSHED
acceptă,accept
japonia,Japan
lift,elevator
preajma,neighborhood
fugiţi,flee
dolar,dollar
bombe,BOMBS
urc,I go up
momentan,momentary
norman,norman
politist,policeman
spania,Spain
sfaturi,tips
deosebire,difference
exterior,outer
mitchell,mitchell
libere,free
şoferul,the driver
capete,heads
premiu,prize
ziceţi,say
realizezi,realize
doresti,want
emisiunea,show
sensibil,sensitive
oprire,stop
deschise,open
rănită,wounded
rezultat,result
întoarcere,return
morti,dead
mergea,walking
produse,products
presupunem,suppose
legi,laws
odihnă,rest
kitty,kitty
aflaţi,find
şi-i,and I
studiu,study
plastic,plastic
marte,Mars
indică,show
renunţă,Give up
râul,the river
sapte,seven
mişcaţi,move
jules,jules
stăteam,sat
schimbarea,change
adaptare,adaptation
antrenorul,coach
dureros,painful
anchetă,investigate
asteptat,expect
lincoln,lincoln
wendy,wendy
curse,course
bunicii,grandparents
întins,stretched out
probele,samples
mulți,many
distrăm,fun
vizitat,visited
wade,wade
alarmă,alarm
unt,butter
font,FONT
repar,fix
haos,chaos
baiete,boy
muntele,mountain
amprente,impression
material,material
cadoul,present
cerc,circle
amuzantă,funny
unuia,a
tâmpit,stupid
precis,precise
demisia,resignation
părăsească,leave
oarecare,some
primească,receive
încetezi,stop
mişti,consume
spune-o,Say it
celula,cell
trebuiască,need
evreu,Jew
proasta,stupid
fumat,smoking
iubeste,loves
ann,ann
drag,dear
palat,Palace
deasemenea,also
aşteptare,waiting
interne,internal
împuşc,shoot
căldură,the heat
bijuterii,jewelry
x,x
protejat,protected
alegeri,elections
ţine-ţi,keep your
plănuit,planned
christine,christine
standard,standard
jenna,jenna
înregistrarea,Register
grabă,hurry
shawn,shawn
făceau,did
discuţia,discussion
lucram,I was working
franceză,French
august,August
căpitanului,captain
poporului,people
revăd,revisit
uniforma,uniform
descrie,describe
mia,me
însemnat,significant
bud,bud
dovedesc,show
deşert,desert
analiza,analyze
format,format
transformă,transform
laş,coward
invit,invite
necunoscut,unknown
acţiunile,action
fonduri,fund
pauza,pause
fotografiile,photos
parul,the hair
prostesc,silly
americane,US
valea,Valley
martorul,witness
mireasa,Bride
maximă,Maxim
sar,jump
fapte,Acts
fericita,happy
marco,marco
operaţiunea,operation
pagină,page
ritmul,the beat
experienţa,the experience
surorile,sisters
secolul,century
ajutaţi,help
cunoască,know
importanta,importance
geantă,bag
draguta,pretty
promisiune,promise
prinşi,trapped
seif,safe box
furt,theft
fură,steal
murdare,dirty
obiecte,objection
guvernator,governor
parcul,park
german,German
fbi-ul,FBI
for,forum
gustul,the taste
tur,tour
descurcă,disentangle
protecţia,protection
surori,sisters
părăseşti,leave
vinovată,guilty
dv.,your.
consilier,guidance counselor
apropierea,close
conştient,aware
petrecem,spend
ricky,ricky
miercuri,Wednesday
palma,palm
lois,lois
hrană,food
revine,returns
nervoasă,angry
zvonuri,rumors
maya,maya
semnele,signs
bart,Bartle
francez,French
louise,louise
altor,other
tema,theme
campanie,campaign
marina,marine
cauzat,RISE
posibilitate,possibility
explodat,explode
retrage,withdraw
zeu,god
opţiune,option
lacrimi,tears
furia,ANGER
prezintă,show
ralph,ralph
warren,warren
căsătorim,married
obţii,get
ivan,ivan
virusul,virus
pozitiv,positive
începeţi,start
pamant,earth
apăra,defend
singure,one
booth,booth
hot,thief
petreceri,parties
consiliu,council
castelul,castle
apele,waters
aprecia,value
violent,violent
voluntar,voluntary
vi-l,you it
inteligentă,intelligence
pachetul,the package
îndepărtat,removed
kong,kong
elicopter,helicopter
dimineața,morning
harper,harper
gândească,think
ruga,pray
atacă,attack
afectat,affected
galben,yellow
fabrică,works
jumate,half
bo,bo
l.a.,L.A.
oara,time
grădina,garden
micuţa,small
ascundă,hide
tăia,cut
combustibil,combustible
procedura,procedure
amestec,mixture
ştiau,knew
adesea,often
încălcat,tangled
vremurile,days
lasă-ne,let us
depăşit,OVER
sfârsit,the end
șansă,chance
şcolii,school
plângere,complaint
altundeva,somewhere else
scuzati,excuse
reuşeşti,succeed
pierce,pierce
spaţiul,Area
omorâm,kill
iarna,Winter
prizonieri,prisoners
bunul,good
feluri,ways
bomboane,candy
ține,keep
sarcină,task
intreaga,around
consiliului,council
evenimente,event
surprinde,surprise
consider,I consider
larg,large
ambulanţă,ambulance
lup,wolf
umbra,The Shadow
jill,jill
pian,piano
urmei,all
alicia,shot
măsura,measure
glumesti,You're kidding
mitch,Mitcham
sexuale,sexed
diego,diego
campion,champion
strânge,tighten
pălărie,hat
tras-o,fucked
oarecum,somewhat
cocaină,cocaine
homosexual,homosexual
green,GREENE
is,is
iunie,June
bucuri,enjoy
intalnit,meeting
clay,clay
scriitor,Writer
avioane,aircraft
liceul,lice
diana,Diana
totalitate,totality
start,start
natură,the nature
moscova,Moscow
asculta-ma,hear me out
we,we
americană,American
hector,hector
tracy,tracy
dă-mi-o,give it to me
noii,new
promisiunea,the promise
închizi,close
pregatit,prepared
supă,soup
următor,following
iulie,July
îngrozitoare,terrible
i-l,and it
dă-l,Give Him
zâmbet,smile
încetaţi,slowly
frumoşi,beautiful
folosită,used
creatură,creature
închiriat,rent
baut,drinking
băuturi,beverages
cămaşa,the shirt
legile,the laws
echipament,equipment
permanent,permanent
marţi,Tuesday
sugerează,suggests
imens,huge
valoarea,the value
sensul,the meaning
telefoanele,phones
cowboy,cowboy
ruth,ruth
lordul,the Lord
preluat,over
dana,berth
observa,notice
adevarata,true
capului,head
obsedat,obsessed
nicole,nicole
programare,appointment
aprilie,April
rory,rory
plaja,Beach
bisericii,church
tratamentul,Treatment
ron,ron
ascunse,hidden
sandy,Sandy
geam,window
rătăcit,wandering
întunecată,black
plouă,It's raining
presupus,supposed
servici,work
doream,wanted
militare,soldier
apeluri,call
ştiind,knowing
vazut-o,saw it
frumuseţea,the beauty
direcţie,direction
tunel,tunnel
tura,tour
considera,considerably
ajutaţi-mă,help me
continue,continuity
înfricoşător,Frightening
centura,belt
luată,taken
copilărie,childhood
sănătatea,the health
încetat,Finished
secole,Seco
prietenia,friendship
util,useful
şerifule,Sheriff
comoara,treasure
stone,stone
rugam,Please
stelele,the stars
plăcintă,pie
recuperat,recovered
