Japanese,English
流血,Bloodshed
名乗り出,Come forward
あァ,Ah
同席,Attended
順位,Rank
応用,application
頭取,President
手出し,Mess around
球,ball
分かち合,If share
重傷,Serious injuries
横断,Crossing
見送,Mioku
ヘア,hair
預金,deposit
前例,Precedent
万事,everything
往生,Death
交際,Association
娯楽,Amusement
狂信,Fanaticism
長旅,Long trip
清め,Purification
人前,public
威力,power
毒素,toxin
向う,Face
アダムス,Adams
司教,Bishop
ボルチモア,Baltimore
よ〜,Yo ~
消し去,Removed by off
榎本,Enomoto
仕立て,tailoring
日光,sunlight
遺書,Suicide note
情,Affection
接点,contact
アストリッド,Astrid
取り下げ,Withdrawal
品質,quality
具,Ingredients
登れ,Climb
九,Nine
治安,Public order
アキレス,Achilles
出国,Departure
道化,Buffoonery
転校,Change schools
勇者,Brave
足音,footsteps
配属,Assignment
引きつけ,Attracted
アフガン,Afghan
欧州,Europe
本土,main land
水素,hydrogen
最速,Fastest
抹消,Erasure
積荷,A cargo
終結,End
有望,promising
アドレナリン,Adrenalin
地中,Underground
旋回,Turning
っ子,Kid
２、３,"2, 3"
泣き声,cry
懐中,Pocket
アッ,Up
磁気,Magnetism
人狼,Werewolf
黒崎,Kurosaki
３千,3 thousand
脚本,Scenario
主導,Initiative
出生,Birth
三木,Miki
福祉,welfare
由美子,Yumiko
保て,Maintained
貯金,savings
無縁,Unrelated
送還,Repatriation
短気,Quick temper
懸賞,Sweepstakes
回れ,Maware
あれこれ,This and that
連盟,League
無断,Without permission
布,cloth
アロン,Aaron
当事,Concerned
及ぼ,Adversely
全域,Whole area
縫合,suture
一息,breath
寿命,lifespan
師団,Division
でっち上げ,hoax
標識,Mark
アンダー,under
得点,score
投入,Turned
発掘,Excavation
記述,Descriptor
手強,Tezuyo
人身,Trafficking
手榴弾,Grenade
身代わり,A scapegoat
感電,Electric shock
開拓,Pioneer
船体,Hull
清潔,Cleanliness
分割,Split
同級,Same class
ブライア,Bryher
集結,Gathered
ひと言,Word
線路,line
自供,Confession
事例,Example
自家,House
生贄,Sacrifice
片手,one hand
建造,Building
アハハ,Well done
半数,Half of
運用,Investment
条約,Treaty
、,","
改装,Remodeling
大いなる,Great
やり取り,exchange
消息,News
領収,receipt
有毒,Poisonous
作曲,Composition
当選,Winning
亭主,husband
当初,At first
浮上,Surfacing
呼ばわり,Cry
統一,Unity
出場,Participation
手始め,Outset
限度,limit
直美,Naomi
アンドレイ,Andrey
アベル,Abel
当分,For some time
書き,Write
防止,Prevention
就任,Assumption of office
楽観,Optimism
安物,Cheap article
遺族,Bereaved family
呼び名,Nickname
愛らし,Loveliness
裏付け,support
水着,Swimsuit
シンシア,Cynthia
口紅,lipstick
利己,Self-interest
洞察,insight
部外,Outsiders
迂回,Detour
解消,Cancellation
変形,Deformation
アラスカ,Alaska
成人,adult
広大,Huge
乗り物,vehicle
開店,Open
前後,Before and after
高潔,Nobility
従者,Servant
製薬,Pharmacy
信心,Faith
公爵,Duke
葉っぱ,leaf
形式,format
黒子,Beauty spot
新作,New work
連れ帰,Tsurekae
自尊,Self-respect
発想,Idea
世辞,Flattery
近頃,recently
書き留め,Writing down
論争,Controversy
餌食,prey
聞き覚え,Sounds familiar
引き付け,Attracted
丁目,Chome
早朝,early morning
帝王,Emperor
北京,Beijing
渓谷,Valley
習得,Learning
文学,literature
あいさつ,Greetings
アンドロイド,Android
取り憑,Take possession
コロニアル,Colonial
頂上,the top
量子,quantum
盗人,thief
素手,bare hands
二十,twenty
南東,Southeast
あッ,There
乗車,Entraining
宗介,Sousuke
本件,This matter
投げ込,Included throwing
見物,Sightseeing
入れ墨,tattoo
乗り換え,transfer
引越し,moving
実績,Performance
消失,The loss
鋼鉄,steel
性能,Ability
ドリアン,Dorian
餓死,Starvation
人権,human rights
討論,Debate
気遣,Canon
千,thousand
調和,Harmony
細部,details
在住,Resident
強い,strong
水泳,swimming
可,Yes
山脈,Mountain range
艦内,Submarine
即座,Immediate
搭載,powered by
入場,Admission
王室,The royal family
仕置き,Punishment
見下,Under look
進軍,Marched
市内,city
アーヤン,Ayan
命じ,Ordered
隕石,meteorite
手作り,Handmade
景気,Business
大男,Giant
毒島,Busujima
察,Police
大目,Condone
前日,The day before
アシュリー,Ashley
一斉,All at once
優位,Superiority
踏み入れ,Stepped into
居間,Living room
大通り,Main street
頂点,vertex
布告,Proclamation
あげろ,Raise
よ～,Yo ~
手法,Technique
立入,- site
田鶴,Tazuru
大家,Landlord
乱用,abuse
学長,University president
利点,advantage
処,place
流出,Flowing out
濃度,concentration
小川,stream
廃止,Abolition
演劇,theater
投げ捨て,Throw away
取り決め,Agreement
歯科,Dentistry
大王,Great king
見付か,Or find
日誌,Diary
人殺,Killing people
忌々し,Imaimashi
護送,Convoy
アテネ,Athens
田舎者,Hick
悪名,Bad name
遺物,Relic
如何なる,Any
拡張,Extension
商,quotient
両者,Two
ヾ一,Isuzu one
放り込,Included tossed
真山,Mayama
引き止め,Hold back
気前,Generous
返信,reply
迷信,superstition
町中,The whole town
農業,Agriculture
内通,Secret understanding
夏休み,Summer vacation
工藤,Kudo
歌声,Singing voice
必然,Inevitable
横取り,Intercept
技師,Engineer
金子,Kaneko
観測,Observation
罪状,charges
元妻,Ex-wife
懲役,Jail time
要因,Factor
万端,All set
送り出,Out Feed
新年,new Year
セオドア,Theodore
照会,inquiry
器具,Equipment
密売,Smuggling
移行,Migration
野放し,Uncontrolled
全額,Full amount
成り立,Become standing
開き,Open
南アフリカ,South Africa
アビゲール,Abigail
統制,control
司会,Chairmanship
判定,Decision
大樹,Big tree
化合,Compound
汽車,Train
先導,Lead
死神,Reaper
タリア,Thalia
快楽,pleasure
金田一,Kindaichi
アリー,Ally
体操,Gymnastics
アドラー,Adler
当てはま,Applies
アレキ,Alexandrescu
輸入,Import
あきれ,Unstoppable
取り返し,Irreversible
人命,Life
瀕死,dying
強迫,Obsessive-compulsive
総員,All hands
中古,second hand
投下,drop
売り上げ,Earnings
表紙,Front cover
読者,reader
モリアーティ,Moriarty
所詮,after all
持参,Bringing
放浪,wandering
引っ込,Hit Included
監査,audit
アナル,Anal
重症,Serious illness
アダマ,Adama
安っぽ,Cheapness
手渡,personal delivery
学位,degree
整形,Shaping
重役,Director
相応,Correspondingly
早期,Early stage
排水,Drainage
水平,Horizontal
王者,King
修行,Training
磁石,magnet
大手,Leading
日の出,sunrise
式典,ceremony
聖域,Sanctuary
待ち構え,Waiting
ガリアン,Garian
競売,Auction
ありのまま,as is
食い,Eat
調書,Working papers
水槽,Water tank
保守,Maintenance
スクエア,Square
主な,main
担保,collateral
陸,land
行な,Line of
財団,Foundation
直行,Nonstop
アルカディア,Arcadia
発火,Firing
中傷,Slander
竹本,Takemoto
代物,Thing
高官,High official
逆転,Reversal
脱水,dehydration
全能,Almighty
送電,Power Transmission
人道,Humanity
捕食,Predation
顔面,face
作物,produce
教皇,Pope
手短,Briefly
私物,Personal effects
公演,Public performance
枢機,important state matters
腕前,Skill
監察,Inspection
残業,overtime
不全,Incomplete
資本,capital
戦利,Booty
家中,Whole house
先手,First move
近親,Relatives
永井,Nagai
皇太子,Crown Prince
絞殺,Strangulation
聞き込み,Kikikomi
取り替え,Exchange
アスピリン,aspirin
ありふれ,Common
日没,sunset
日向,Sunny place
死角,Blind spot
抜群,Excellent
イライアス,Elias
アナリスト,Analyst
銃創,Gunshot wound
一見,Glimpse
配給,distribution
性交,Sexual intercourse
石炭,coal
陽動,Diversionary
編成,Organization
見放,Miho
恐れ入,Osorei
取調べ,Interrogation
付き添,Appendix attached
察知,Infer
強奪,Extortion
火山,Volcano
動員,mobilization
合併,merger
無論,Of course
各国,The countries
羽目,Wainscoting
議事,Proceedings
生地,Cloth
ハア,Haa
感銘,Impressed
ヶ所,Locations
アルカイダ,Al-Qaeda
師範,Teacher
和らげ,Soften
格子,lattice
水分,moisture
内蔵,Internal
東部,Eastern part
行き詰ま,Ikizuma
高ま,Takama
病的,Abnormal
早起き,Early rising
ガイアス,Gaiasu
目隠し,Blinkers
見過ご,Over your look
取り込,Captures
信託,trust
視野,Field of vision
白雪,White snow
後任,Successor
自立,Self-reliance
灯台,Lighthouse
戸,door
あああ,Oh Oh
標本,Specimen
倒産,bankruptcy
客観,objective
当社,Company
夜通し,All night
大西,Onishi
書き換え,Rewriting
ペンシルバニア,Pennsylvania
目印,Mark
張り込み,Stakeout
重な,Heavy I
蒸気,vapor
思い付,With think
合計,total
芝生,grass
あらら,Oops
年取,Toshitori
配管,Plumbing
元哉,Moto哉
友子,Tomoko
専務,Senior Managing Director
病室,Hospital room
言い切れ,Ikire
河,river
株価,Stock Price
庭師,Gardener
便所,Toilet
支給,Supply
信条,Creed
配送,delivery
情緒,Emotion
ルイジアナ,Louisiana
起立,Standing up
形態,form
過酷,Severity
火炎,flame
来世,The afterlife
歌詞,lyrics
特有,Peculiar
ベアー,Bear
盛大,Grand
家宅,House
殉教,Martyrdom
共存,Coexistence
視力,Eyesight
優雅,Elegance
渡真利,Marie De
賢者,Wise man
アクセント,accent
掛け直,Hanging straight
子羊,Lamb
真っ先,First and foremost
連携,Cooperation
本意,Original purpose
上流,Upper stream
税関,Customs
屠殺,slaughter
系統,system
記載,Described
水族,Water group
生還,Survivor
運び出,Out carry
怠け者,sloth
奪い取,Ubaito
学び,Learn
年月,Months and years
原告,plaintiff
あなただ,You're
荒野,wilderness
関知,Concern
見習,apprentice
藤村,Fujimura
数値,Numeric value
気候,climate
当面,for the time being
異教,Paganism
原則,principle
佐久間,Sakuma
表彰,Commendation
大群,Large crowd
横領,embezzlement
うわあ,O snap
病質,Disease proteins
スケア,Scare
駆け引き,tactics
審問,hearing
循環,Circulation
形見,Memento
換気,ventilation
会談,Conference
片目,one eye
独裁,Dictatorship
分隊,squad
放課,Hoka
音波,Sound wave
落第,Fail
賛同,Support
付きまと,Tsukimato
アプローチ,approach
落ち着き,Calmness
受か,Uka
予知,Prediction
戦線,Front
忍者,Ninja
掲示,Bulletin
矯正,Correction
投降,surrender
作法,Etiquette
アルトン,Alton
世論,public opinion
当日,The day
アクセル,accelerator
乗務,Crew
白紙,White paper
富豪,Millionaire
近隣,Neighborhood
あのう,Excuse me
大隊,battalion
選び,Select
赤外,infrared
農夫,Peasant
時空,Space-time
腹部,abdomen
訂正,correction
アニ,Ani
手間取,Tematori
子宮,Uterus
肉食,Meat diet
公務,Official business
日暮れ,Sunset
停戦,Cease-fire
中退,Dropped out
闘技,Contest
翌朝,next morning
大蛇,Python
飛び回,Tobimawa
用途,Use
創設,Founding
手荒,Rough
決めつけ,Kimetsuke
ウィリアムス,Williams
山﨑,Yamazaki
味見,Tasting
走行,Traveling
整列,Alignment
無欲,unselfish
平静,Calm
参謀,Staff officer
由来,Origin
取り返せ,Torikaese
錯乱,confusion
胎児,Fetus
中庭,courtyard
内務,Internal affairs
私生,I live
あーあ,Aa
通告,Notice
有難,Grateful
導入,Introduction
一帯,Zone
秒間,Seconds
持続,Continuation
積り,Estimates
多大,Much
賃金,wage
気高,Qi with high
引き込,Pull write
義母,Mother-in-law
代々,From generation to generation
見殺し,Letting die without helping
決,Determined
不味,Distaste
スタジアム,Stadium
イリア,Ilia
青春,Youth
アマチュア,amateur
平方,square
方程,As the person
小麦,wheat
側近,Close associate
中世,middle Ages
アタマ,Your head
名づけ,Named
大腿,Thigh
一貫,Consistency
乙女,Maiden
運搬,Transportation
取り込み,Uptake
スコア,Score
浜,beach
中西,Nakanishi
抗争,Dispute
下宿,Boarding house
置き,put
通称,Alias
アニキ,Big Bro
察し,Guess
実践,Practice
石鹸,Soap
金銭,money
気流,air flow
先住,Native
申し分,Alright
悲観,Pessimism
歓声,Cheer
草原,Grassland
孝則,Takanori
宣戦,Declaration of war
セルビア,Serbia
運び屋,Mules
風景,Scenery
伯母,aunt
自衛,Self-defense
架空,Aerial
見本,sample
アルド,Aldo
多量,A large amount
絞め殺,Killing strangled
辞任,Resignation
重量,weight
手際,Skill
不平,Complaint
著名,Famous
調合,Compounding
ミリアド,Myriad
飼育,Breeding
ルーマニア,Romania
近辺,Neighborhood
戦力,War potential
勃起,erection
原料,material
アラゴルン,Aragorn
大至急,ASAP
年頃,Age
挿入,Insertion
着地,Landing
ギリシア,Greek
エミリア,Emilia
原理,principle
接種,Inoculation
兵力,Military forces
編,Editing
代弁,Spokesman
アーティ,Artie
足取り,gait
両側,both sides
大工,carpenter
主演,starring
アメ,Candy
直樹,Naoki
シアーシャ,Shiasha
後援,Support
ガルシア,Garcia
生成,Form
お手上げ,Given up hope
疑念,Doubt
アマゾン,Amazon
受け取り,Acceptance
関口,Sekiguchi
売り物,Article for sale
竹下,Takeshita
守衛,Security guard
通気,Ventilation
過失,Accident
冷戦,The cold war
同伴,Entrained
覆面,Mask
中年,middle aged
路線,Route
新米,New rice
引き取り,Pick up
見知り,Mishiri
再婚,Second marriage
ファイアウォール,Firewall
上達,Progress
送り届け,Forwarded
足手,Foot hand
大口,Large
比,ratio
満員,Full house
異論,Objection
急激,Sudden
特技,Special skill
生意気,Saucy
中村,Nakamura
大喜び,great joy
組み込,Embedded
急げ,hurry up
精通,Familiar with
航行,Cruise
精製,purification
縛り付け,Strapped
感触,Feeling
発売,Sale
室内,Indoor
奥深,Profundity
捏造,Forgery
半ば,middle
引き揚げ,Withdrawal
責務,Obligation
取り分,Share
起源,origin
通貨,currency
大晦日,New Year's Eve
鈴木,Suzuki
改め,Revised
ブレア,Blair
アヘン,Opium
アドバイザー,Adviser
活用,Take advantage
自制,Self-control
下降,Descent
対話,Dialogue
進学,Go
身動き,Motionless
飛び立,Fly standing
親類,Kin
電線,Electrical wire
言わ,Said
即死,Instant death
味わえ,Taste
義兄,Brother-in-law
制裁,Sanction
特異,Singular
失調,Ataxia
仙崎,Senzaki
項目,item
車内,Car
国立,National
アーデン,Arden
東側,East side
あらあら,Oh dear
予告,Prior notice
病原体,Pathogen
域,Pass
経理,accounting
肯定,positive
子育て,Raising children
言動,Words and deeds
特性,Characteristic
対価,Consideration
速報,Prompt report
末期,Last stage
心強,Kokorozuyo
偽者,Imposter
機内,Flight
常連,Regular customer
賭博,Gambling
再発,recurrence
アーク,arc
横浜,Yokohama
聞き出せ,Kikidase
店長,Store Manager
早々,as soon as
呼び寄せ,Summoned
アゴ,Jaw
特集,Feature
基盤,Foundation
リビア,Libya
津波,tsunami
人相,Physiognomy
気難し,Picky
モーフィアス,Morpheus
船内,Ship
安静,rest
アミン,Amine
清算,Liquidation
前列,Front row
供,Supply
点滴,Intravenous drip
リアクター,reactor
海水,Ocean water
野,field
一変,Complete change
薫子,Kaoruko
周年,Anniversary
たどり着け,Tadoritsuke
海上,Sea
更生,resuscitation
支障,Difficulty
資質,Nature
気圧,Atmospheric pressure
誇張,Exaggeration
アレクサンダー,Alexander
立ち去れ,Begone
発つ,Leave
獣医,Veterinarian
遺骨,remains
好機,Good opportunity
音量,Volume
元素,element
予選,Preliminary contest
殺意,Murderous intent
召使,Menial
仕入れ,Stocking
総監,Commissioner
圏外,Out-of-service
介護,Nursing
見習い,apprentice
か所,Place
洗面,Wash
引き留め,Detained
達者,Skillful
変動,Fluctuation
立て直,Straight vertical
食べれ,Eat
助力,Assistance
主だ,It main
小学,elementary
人的,Human
強調,Emphasis
あわて,A hurry
進捗,progress
学費,Tuition
ユリア,urea
トビアス,Tobias
合唱,Chorus
引き出せ,Withdraw
補償,compensation
時折,sometimes
証書,Certificate
学年,School year
茶番,farce
留学,Study abroad
引き返せ,Hikikaese
アメフト,American football
自滅,Self-defeating
新入,New
空飛,Sky Fei
切手,stamp
アメリー,Amery
講演,Lecture
異動,Change
口笛,Whistle
競馬,Horseracing
超越,Transcendental
フィアンセ,Fiancé
話せよ,Hanaseyo
王都,Imperial City
引き入れ,Drawn
アスペン,Aspen
初耳,News to
不断,Unremitting
運び,Carry
天塩,Teshio
起き上が,Okiaga
ダイアモンド,Diamond
アジト,Hideout
白血,White blood
アーティスト,Artists
アントニオ,Antonio
工具,tool
伝,Den
口止め,Forbidding to speak
大当たり,Jackpot
失神,syncope
マニア,Mania
思い知,Omoishi
回数,Number of times
教区,parish
店主,Shopkeeper
見合,Commensurate
粘土,clay
需要,demand
用紙,A sheet
不通,Interruption
外壁,outer wall
空手,karate
良々,Good people
リアム,Liam
あのー,Ummm
千,thousand
表明,Expression
出直,Dejika
大義,Cause
年度,year
コーディア,Cordia
貸金庫,Safe-deposit box
産物,product
准将,Brigadier general
導師,Guru
自主,Autonomy
平行,parallel
っ放し,Leave
軍用,Military
審理,Trial
筋書き,Plot
言いつけ,I told her
形状,shape
装着,Installing
新規,A new
拓馬,Takuma
アイラ,Ira
休養,rest
算数,arithmetic
弁解,excuse
募金,Fund raising
オリヴィア,Olivia
面識,Acquaintance
害者,Victims
泣き言,Whining
アーカイブ,archive
長所,Advantages
真上,Just above
掘り起こ,Digging Oko
小夜子,Sayoko
白鳥,swan
理事,Director
死傷,Casualties
取り付,Installing
行き着,Clothes go
義足,Artificial leg
アレス,Ares
調節,Regulation
氷河,Glacier
半神,Demigod
目視,Visually
選考,Selection
アラー,Allah
小遣い,Pocket money
戦隊,Squadron
求女,Motomeon'na
無名,Anonymous
木々,The trees
回り道,detour
以後,Thereafter
チェックアウト,check out
物的,physical
上位,Higher order
一団,Party
久々,Long time
後ほど,later
本山,Motoyama
淫売,Prostitution
アポ,Apo
地平,Ground level
取り出せ,Taken out
アベンジャーズ,the Avengers
動き回,Move around
付き添い,attendant
縁起,Omen
投げつけ,Threw
造船,shipbuilding
治ま,Osama
素質,Quality
あした,Tomorrow
切り開,Cut open
解任,Dismissal
非道,Outrageous
別居,Separation
大して,much
木馬,Rocking horse
アンサリード,Answer lead
方式,method
長谷川,Hasegawa
人食い,cannibalism
東洋,Orient
直線,Straight line
毎度,Every time
ルシアン,Lucian
本格,Full-scale
御座,Throne
名人,Expert
時差,time difference
水面,Water surface
後回し,Postpone
行事,Event
森口,Moriguchi
アタック,attack
宅配,delivery
玩具,toy
全速,full speed
人魚,mermaid
明後日,day after tomorrow
対等,Equivalent
個別,Individual
補足,Supplement
追及,Pursue
だあ,Daa
屋内,indoor
石版,Lithograph
万能,Omnipotent
無さ,Lack
表れ,Appear
略,Almost
迷宮,Labyrinth
群が,Group is
祖父母,Grandparent
補充,Replenishment
美穂,Miho
モアナ,Moana
医務,Medical affairs
株主,Shareholder
健在,In good health
木戸,Wicket
変わり者,Oddball
子豚,Piglet
脳波,Brain waves
食卓,table
病状,Medical conditions
先代,Previous generation
昔々,once upon a time
先行,Preceding
アァ,Ah
推論,inference
生け捕り,Ikedori
高齢,Advanced age
宴会,Banquet
半身,Half-length
意向,intention
内面,Inside
打開,Break
言い争い,A quarrel
充実,Enrichment
元カノ,Ex-girlfriend
実質,Substance
発令,Official announcement
容体,condition
立ち入,Tachii
引き渡せ,Hikiwatase
金儲け,Moneymaking
到来,Arrival
生じ,Occur
前夜,The eve
勿体,Overemphasis
ノックアウト,knock out
観衆,Spectators
容認,Approval
局員,Clerk
あばずれ,Bitch
王殺し,Regicide
赤子,Baby
加工,processing
断念,Abandoned
取り囲,Take enclose
野望,ambition
自発,spontaneous
私有,Private ownership
アバズレ,Bitch
あせ,Sweat
誘発,Induction
医薬,Medicine
シアン,cyan
安泰,Peace
噛み付,With bite
数々,many
富樫,Togashi
郎,Ichiro
乗り切れ,Norikire
同等,Equal
放り投げ,Tossed
銃口,muzzle
元夫,Ex-husband
症候,Symptom
転職,Change of occupation
展望,Outlook
丈夫,Strong
中味,Content
依子,Yoriko
召使い,Servant
中途,The middle
見世物,Pageantry
空調,air conditioning
上がり,Rise
生き抜,Live unplug
闘争,Conflict
立ち会,Standing Board
千尋,Chihiro
アイヴォ,Aivo
芝山,Shibayama
日中,Daytime
口外,Reveal
山分け,Equal split
電圧,Voltage
独りぼっち,alone
グルジア,Georgia
オア,OR
本社,head office
母校,alma mater
多額,Great amount
素,Elementary
中枢,Center
創作,Work
隅々,Every corner
アンブレラ,Umbrella
相対,relative
アイロン,Iron
あさって,The day after tomorrow
氏名,Full name
丁重,Courteous
強情,Stubbornness
上回,Exceeded
空白,Space
客室,Guest room
ファイアー,Fire
観点,Point of view
アルバレス,Alvarez
挙げろ,Agero
一服,Dose
引き戻,Pull back
汚名,stigma
目前,The current
常習,Habit
ダミアン,Damien
高所,high place
やり手,Whiz
流儀,Style
農園,Plantation
補強,Reinforcement
解き,Solve
人造,Man-made
外観,appearance
読み上げ,Read aloud
抜き取,Sampling
時限,Period of time
不可,Improper
アーチ,arch
立ち直れ,Get over
肥料,fertilizer
急用,urgent business
現役,Active duty
一度,one time
洗車,car wash
言い張,Iha
ディアス,Diaz
呼び起こ,Called Oko
地表,Earth's surface
結社,Society
金色,Golden color
受け付け,Acceptance
オフェリア,Ophelia
私的,private
和,sum
着手,Start
体格,Physique
彗星,Comet
沼地,A bog
至近,Close
自,Own
多様,Diversity
発覚,Discovered
小包,parcel
連れ込,Tsurekomi
乗馬,horse riding
書面,Document
田宮,Tamiya
気象,weather
変質,Deterioration
ダイア,Dia
行政,Administration
コリアー,Collier
馬身,Umami
縮小,Reduction
方位,Direction
落着,Settled
気づき,Noticed
並外れ,Extraordinary
作者,author
認定,Certification
照れ,Shy
消灯,Extinction
蒲生,Gamo
聖霊,Holy Spirit
聴聞,Hearing
目覚まし,The alarm
未知子,Michiko
う〜ん,Yup
技能,Skill
名乗り,Self-introduction
入居,Residents
保有,Possession
結束,Unity
砂浜,Sandy beach
サンティアゴ,Santiago
傍観,Look on
頭上,Overhead
点灯,Lighting
漂流,drifting
ババア,An old hag
奏者,player
場違い,Out-of-place
入れ替わ,Swapped
新種,New species
ソマリア,Somalia
アグネス,Agnes
民兵,militia
マレーシア,Malaysia
フェリシア,Felicia
満点,Perfect score
アニス,anise
着席,sit down
バリア,barrier
取り押さえ,Overpowered
ビア,Vias
南極,Antarctic
一平,Ippei
規範,Norm
知り,Know
各々,Each
ディアナ,Diana
立た,Stand
用だ,I use
心変わり,Inconstancy
戦時,War time
高値,High price
予報,forecast
焼き殺,Killing baked
自棄,desperation
間隔,interval
悪役,villain
受取,Receipt
刃物,Cutlery
毛深,Hairy
解説,Commentary
記号,symbol
褒め言葉,Praise
小物,Accessory
残高,Balance
戸惑,To惑
手ぶら,Empty-handed
一環,Part
末次,Suetsugu
上々,great
前提,Premise
退場,Out
クエストリア,Quest rear
家事,Housework
跡形,A trace
急襲,Raid
アミラ,Amira
応募,Application
究明,Investigation
地理,Geography
同い年,Of the same age
出馬,Candidacy
