Kazakh,English
естімей,hearing
қаласыздар,to stay in
цивилизация,civilization
африкада,Africa
саламат,Salamat
жанына,near
өлтірді,killed
жүрер,depended
жоспарым,plans
жеткізілген,delivered
арамызда,among us
сатқын,traitor
айналамның,around
сатқындар,traitor
масанганы,masanganı
адамдарымның,the people
бүгіннен,today
қауіпсіздігіме,A security
жауапты,responsible
жауаптысың,responsible for
министірім,Minister of
министір,mïnïstir
жанында,next to
кеңесшім,adviser
санайсың,Do
үлгерді,has already
аяудың,ayawdıñ
өлтіргілерің,kill
әзір,willing
өлмеймін,not really die
өлтіре,kill
оботқа,obotqa
болмағанымда,Had
секемім,sekemim
шығындар,costs
ек,EC
көлігіңді,your car
айдайсың,are going to
айдағаныңды,aydağanıñdı
қарағаным,watched
ұнамай,like
бұзады,violates the
керегінің,need for
құтқаратын,salvation
кенелген,full of
байлық,wealth
көрмегенсің,never seen
ойладыңыз,thought
түсінбейтін,do not understand
талқылама,discussion
жегенің,eating
ойландырды,wondered
ескерем,NOTE
әңгімелерді,stories
ұнатамын,I like it
көңілдігіңді,köñildigiñdi
пікіріңді,view
көлігіңде,your car
әскерім,army
етесің,Will you make
әділ,fair
сөйлеген,Speaking at the
төреші,referee
күннен,days
есептер,reports
жатырмыз,are
орнатылған,installed
тәртіпке,the order
аузын,the mouth
ашқан,opened
зия,Zia
айыптағың,accused
алдыға,forward
анықтамалар,definitions
анықтамаларыңды,anıqtamalarıñdı
қалам,pen
басшысының,Head of the
нәрсеге,something
қаралай,dirt
бастадыңдар,bastadıñdar
жетіп,reached
күтуге,what to expect
сеніңше,do you think
қолдарын,their hands
оқыдым,I have read
өлтірмексіңбе,trying to kill
таймстағы,taymstağı
жұмыстарым,works
президентіңмін,the president
оқып,read
қалғаны,the rest
ескі,old
тізімін,list
қалдырдым,leave
ойыңда,your mind
инға,ïnğa
іштім,I had
васваны,vasvanı
тұрғанын,that
нәрсесі,Things
еместей,worry
көрінді,it seemed
айтқанымдай,I said
бауырыңа,brother
футболкаңызды,fwtbolkañızdı
талғамы,taste
итере,pushing
армандап,dreaming
президентпен,president
лондонға,London
сапарға,trip
қызумен,heat
жеудің,pointless to guess or
дыбысын,the sound of
жақтан,from
дәлірек,more accurately
айтқанда,In
талапқа,requirement
сай,in accordance with the
болашағының,the future
рәмізі,a symbol of
конгресс,Congress
кеңесшілерім,Consultants
твидлдам,tvïdldam
твидлди,tvïdldï
өңдегенін,edited
өңдемедім,öñdemedim
қырагерсің,qıragersiñ
джонада,Jonathan
түгіл,Far from being
өзіне,to yourself
касетөм,kasetöm
шалбары,trousers
министірлік,Ministry
қағаздарға,securities
қойсаңыз,If you
қоям,Am I giving
қарағаны,consideration
ұсынысы,the proposal of
қарайтын,look at the
ұсынысын,the proposal
институтынан,Institute
жеңдім,won
ұмытпай,do not forget
өтінішім,application
аптада,week
ливияда,Libya
болам,bolam
орныма,place
жыйналысқа,jıynalısqa
қатысшы,Parties
жиналыс,assembly
пікір,opinion
қойыңыздар,Ask
өтінеді,asks the
көмегімді,help
сұрады,asked
автрия,Austria
роммель,Rommel
алдыңғы,front
қатарлы,leading
архитектор,architect
брунер,Brun
азаматтық,citizenship
инженер,engineer
алғаш,first
оқ,bullet
байқамаппын,busy
орталығы,Center
балаңызда,child
тұрама,Parking
балаларына,children
кесел,monitor lizards
маккензиді,Mackenzie
қабылдауға,take
жазам,punishment
қаншалықты,how
бергеніңізді,that you have
бергенің,continue to
айтпай,not to mention
ұнай,like
дегеніңіз,You mean the
сыйлық,gift
көңілің,heart
толды,filled with
әуежайға,airport
апар,drag
ливияға,Libya
киінуім,dress
келем,Holding On
түрмені,prison
госпитальда,hospital
ақымақтық,foolish
көкірек,chest
тұрғанымызды,are on
тұрмайсыз,Not Live
үлкейген,Mature
желкөз,jelköz
үлгісі,model
өкпеқұртын,ökpequrtın
көрсетеді,shows
дыбыс,sound
макиндай,Makin
түрмесі,Imprisonment
тұрмысың,Are
тоқтатшы,stopped
бұрындары,in the past
болыппа,was
дізесін,dizesin
ұстаңызшы,keep
естимісің,estïmisiñ
реттеп,adjust
апарамыз,Take
қолыңызжан,qolıñızjan
жасаңыз,Create
апару,drop
айырылдым,lost
сұрамай,without asking
әйелдерімен,wives
туылғалы,birth
қусырып,obsessed with
жіберемін,send
кірді,entered
қәне,qäne
барайықшы,barayıqşı
исакты,Isak
шақыруға,invite
көнсең,könseñ
білем,I know
болғанды,to become a
исактың,Isak
кетейін,seen
құрбыларыңды,peers
іргетасы,the cornerstone of
шақырсаң,call
баруыма,go to
шартымды,provider
орындасаңдар,do
киндред,kïndred
феуердің,fewerdiñ
концерті,concert of
лібә,libä
кетіппін,ketippin
білмейм,do not know
жалпы,general
бауыр,liver
дегендей,at
қалау,wish
іргетасын,the foundation
билет,ticket
қуаныштысыңдар,qwanıştısıñdar
шоуға,show
үйірмесіненбіз,üyirmesinenbiz
үйірмесінде,the circle
келуің,arrival
курста,course
оқисың,read
алдағы,upcoming
жылдағы,year
өміріңнің,of life
негізін,the founder of
келгің,going to move
аргентина,Argentina
никола,Nikola
никовска,nïkovska
расында,really
мұғалімді,teacher
адамнан,people
нәрселерді,things
мектептің,school
биыл,this year
өміріміздің,of life
сезінем,am
тергейтіндей,tergeytindey
көрмедім,have not seen
анықтап,identify
нура,Nura
қыздарды,girls
жезөкше,prostitute
қыздардың,girls
хламидиозды,Chlamydia trachomatis
жұқтыру,infect
қаупі,Risk of
ға,to
достарыңның,friends
бірін,one
келермін,come
вилда,Wilde
бұндай,such a
сөздеріңді,words
бөлгеніме,bölgenime
сұрайм,question
кристі,Chris
криспін,krïspin
атымыз,My name
аттас,namesake
екенбіз,perhaps
негізі,the basis of
әңгімеміз,conversation
қатысамыз,participate in the
оқисыңдар,oqïsıñdar
тіліне,language
нурамын,Nura
алуыңыз,be able to
сатқындықтың,betrayal
құрбаны,victim
проблеманы,the problem
көрмегені,Watching
өзсенімін,özsenimin
жоғалтқан,lost
сөзді,password
жайып,spread
саласыз,Let us
өзіңізге,you
қажытпайды,exhausted
тығырықтан,deadlock
шығатын,from the
елемей,ignore
сөйлесуіміз,to talk
сағындым,miss
деші,deşi
бояп,paint
жіберіпсің,sent
жезөкшеден,prostitution
аумайсың,exactly
жынданып,mad
испан,Spanish
сүйісудемін,süyiswdemin
жағдайдасың,situation
жағдайдасыз,conditions
уақыты,time
көбеюде,is growing
шарты,a condition
еркіндікке,freedom
шапалақтамас,applause
түсіру,drop
тұтынушы,consumer
орта,medium
перудегі,Peru
кофе,coffee
дәніне,seed
тәуелді,dependent
үндістандағы,India
балалар,children
арқылы,through
өндірілетін,produced
тағаммен,with food
қоректенеміз,feed
ұят,shame
тақырыбын,topic
шарттары,Conditions
өзгертсем,changed
онсыз,without
төмендеуде,decreasing
ойларың,thoughts
азғана,just a few
қоректеніп,feed
діл,accurate
әлемдік,the world
сауда,trade
бостандығы,Freedom of
көтерме,wholesale
базарлық,souvenirs
либерализмге,liberalism
жылжып,Scroll to
мүмкіндіктерге,features
толы,full of
армандар,dreams
орындалатын,performed
естілетін,audible
қоғамның,society
бөлігі,part of the
капиталдық,capital
жүйе,system
азап,torment
уайымсыз,carefree
сүріп,live
планетадағы,the planet
сапасыз,poor quality
тағамдармен,dishes
зауыттарда,in factories
сөйлеспедік,talk
тамақпен,food
дегенді,that
өздерін,themselves
papsi,papsi
max,max
атайды,called
сөйлесе,to chat
тістеп,bite
істейсіңдер,do
хабарласпақшы,xabarlaspaqşı
телефоның,phone
батарея,battery
қуаттап,confirmed
алмадың,did not
элиостың,élïostıñ
үйінде,at home
исакпен,ïsakpen
бағана,column
тарап,side
кеткендеріңді,ketkenderiñdi
недеген,What is the
оқудан,trained
шығарылғандар,released
жағдайға,the situation
кінәлісіз,the culprit
родригеспен,rodrïgespen
қоректену,power
мектепке,to school
кірпіктер,lashes
жазыпсың,wrote
өзгертесің,change
әдейі,deliberately
жаздым,I wrote
қайталауды,duplication
көркемдеуші,decorator
пайдаланамын,I use
айтқым,I would like to
жігітің,boyfriend
қырларың,Edges
киінесің,dressed
тісіңді,your teeth
тазалай,to clear
осылар,these
ойла,Think
хабарласамын,back to
джонастың,Jonas
жанындасың,near
бармадың,Go to the
өтті,took place
сараның,Sarah
суретін,the picture
жасанды,artificial
өздеріне,themselves
пәк,virgin
қалмаш,qalmaş
фильм,the film
қолыңызбен,hands
фермермен,farmer
сөйлесіңізші,Talk
үнін,the tone of
өшіріңізші,switch off
түсіндіруге,to explain
тырысып,trying to
естімеймін,estimeymin
қаруымды,rifle
могамбо,mogambo
жүйесінде,system
етем,pray
британдықсыз,The British
демейсіз,Consequently
мау,Jun
мауға,mawğa
шотландықтармен,şotlandıqtarmen
күрескем,fighter
угандалықтан,wgandalıqtan
жирен,red
шашы,hair
әелдеріңе,äelderiñe
жиіркеніш,disgust
созғансыз,stretch
футболкаңды,fwtbolkañdı
сіңіріңізді,siñiriñizdi
істеңдерші,isteñderşi
күшейтеміз,strengthen the
еркін,arbitrary
тұршы,Hold on
жүрейік,let us
те,too
экономикасын,the economy
банк,bank
айналдырды,turned
мүмкіндік,opportunity
берсеңші,Give
көрерміз,see
алла,Allah
байқаусызда,inadvertently
зақым,damage
сақтасын,forbid
сынды,such as
фермердің,farmer
көзін,source
құртыңдар,qurtıñdar
зақымдалған,damaged
бармағыңызды,thumb
планка,the bar
сыйырмен,sıyırmen
сынбаған,broken
жақсартамыз,improve
кэмпбелге,kémpbelge
балаң,Your son
қойсын,lay
мүмкіндігінше,possible
таңғышын,bandage
алмастыртпақшы,almastırtpaqşı
таныстыққа,acquaintance
көлігіне,the car
үйі,House
джанджу,djandjw
көріскеніме,to meet you
нағыз,genuine
айтудан,bias
жасқанбайды,strained
ұсынысты,proposal
қабылдайсың,perceived
дәрігеріңіз,doctor
етпексіз,plans
еткіңіз,want to
президентінің,President of the
саулығына,health
қарағаннан,consideration of
саулығы,health
өлетінімді,would die
түсіме,dream
сапарды,trip
ұнар,enjoy
белгіленген,established
двидке,dvïdke
жейдемді,jeydemdi
генералсың,general
көрші,neighbor
қайтуым,Back to
шиллинг,shilling
тұратынына,home
сенімдімін,I am sure
жібергенің,sent
жынды,mad
сусынға,the drink
қарайсың,do you feel
кетуім,to go
сусын,drink
ішеміз,drink
екенімді,am
түсінгенің,understanding
түсінбейсің,not understand
түскен,from
кешірші,I'm sorry
келіпті,came
денсаулық,health
сұрайтын,asking you to
сауалымыз,REQUEST
жұма,Friday
қате,wrong
елді,country
тамақтанбай,eat
сарамын,shed
жұбайы,his wife
саламатсызба,Hello
көрсетуге,to show
әдеттегі,ordinary
жеттіңіз,You have reached
сапарым,visit
алғырдай,alğırday
артыңда,remembered
ешкі,goat
тұрса,If the
мұрның,your nose
астында,below
біреудің,of someone
қолтығы,qoltığı
сапарымда,trip
талып,While
жаздағам,jazdağam
күттім,I waited
уайымдай,worrying about
төңкеріске,revolutionary
ілінісіп,engage
ықпал,contribute to
елдік,country
алынды,has been received
қуырып,fry
ойлағам,'ve thought
жігерлендірілген,encouragement
даярмысыз,dayarmısız
стю,Stu
өтетін,to be held
тамшы,drip
жіберерміз,sending
менікіндей,me
әулет,the fathers
стакандарыңызды,stakandarıñızdı
көтерсеңіздер,köterseñizder
тост,toast
әкесі,father
бірлескен,joint
болашақ,the future
канада,Canada
қолға,take
жемеңіз,do not
аминнің,Amina
күресуде,the fight against
бақытты,happy
кәсіпкер,entrepreneur
білімімді,knowledge
қолданам,i use
толу,maturity
ішіп,drink
радиодан,radio
басқармақшы,basqarmaqşı
сандал,sandal
кимегендіктен,kïmegendikten
өзгеріс,change
жасасам,make
көрсем,I see
өзгеше,differ
шотландия,Scotland
білмейсіз,do not know
бастықты,Failed
қызығатын,interested
етпеймін,do not
бергім,like
әрекет,attempt
мектептер,schools
жолдар,roads
формасын,form
киуіме,kïwime
екеніңді,that you are
екеніңіді,ekeniñidi
менмін,I am
әскерлерімді,äskerlerimdi
сұрашы,Ask
әскерлерім,Troops
нәскимен,näskïmen
хабарлап,inform the
жағымды,pleasant
ренжімессің,Rather than
қызу,hot
бөлмесі,room
процедуралар,procedures
барсың,got
қызықты,interesting
халықтың,population
пайызы,percent of
бақсыға,Witchcraft
барғанды,going to
мұхит,ocean
сүзіп,combing
жатқандай,that
даярмысың,dayarmısıñ
дайынбысың,dayınbısıñ
анжелла,anjella
мугишаның,mwgïşanıñ
нәрестесі,baby
қиналып,suffering
барайын,go to
барғаным,go to
анасын,mother
танимын,I know
секір,jump up
онша,less
анықтама,definition
деймісің,deymisiñ
зомбылыққа,violence
аттракцион,attractions
көптеп,a lot of
банкрот,bankrupt
солардың,them
кеттіңіздер,kettiñizder
есітіп,heard
ыңырсуда,moan
жел,wind
өзімізбен,us
көліктегі,on transport
өзіміз,ourselves
бутербродты,sandwich
істемек,do
иісті,aromatic
әліде,still
артта,behind
қалма,Do not
айналада,around
кілең,basically the feminine
ресторан,The restaurant
қаларлық,whimsical
тапсырыс,order
салмаппыз,placed
маңда,close to the
естідіңдер,Hear
қайдамыз,Where are
көк,blue
ерте,Early
бұрып,Swivel
жіберіппін,jiberippin
қаламыз,city
үйшіктер,house
шіркеушелер,şirkewşeler
үйшігі,hut
кездежүр,kezdejür
оданда,more
абайлашы,Warning
туннел,tunnels
неғылған,neğılğan
құрылыстар,structures
әктастар,limestone
тартып,Pull
андағы,When the
тихиром,tïxïrom
бопты,boptı
кілтті,the key
қойдық,We have
жайғастырады,arrange
көлікте,transport
тамақтан,food
төлей,pay
дәмдіге,pieces of
тола,full of
лезде,instant
деміңді,Breathe
қонақтар,Guests
соңымнан,me
иісін,the smell of
ұғып,Understand
сәтті,successful
жаймен,slowly
құтқаруды,to Deliver
түсіндірем,explain
расымен,really
қимылдама,act
артқы,rear
қақпашадан,qaqpaşadan
шығасың,fight
текпешекпен,tekpeşekpen
төменге,down
түсесің,you will
қазандыққа,boiler
қазандықта,boiler
сұрануға,"solicit,"
тырыс,Try to
аңға,hunting
әлсіретеді,weakens
шеттегі,third-party
сиқырымды,sïqırımdı
кейіндеу,later
әлдеқандай,some
құс,bird
сұмдық,terrific
кетейікші,let us
ұрысады,scold
қасыңда,alongside you
әмиәні,ämïäni
сүйектері,bones
жұмсақ,soft
қыша,mustard
рақмет,Thank you
жүруіңе,ways
шамдар,lights
жануда,cycle
бойымен,along
ұстай,hold
кетсін,let
тағамын,food
кетесің,You'll
айналмайсың,around
татып,taste
тигізіп,touching
жарады,break
күш,strength
ерткен,ertken
сергіп,refreshed
саналмайды,shall not be considered
кейбір,some
босатылып,released from
кетпей,persists
үлгересің,you have time
киіп,wearing
айтсам,I will tell
өлтірген,killer
өлген,dead
күнәңды,sin
ақтау,excuse
бірдеме,anything
жеккөрініштен,hatred
сүру,Lifestyle
құқымыз,we have
шындықты,the truth
тағдырым,destiny
қайтіп,is just
бағыт,direction
париж,Paris
израилмен,Israel
қатынасты,access
нашарлатқан,worsened
мұсылмандар,Muslims
келгенде,when the
христиандар,Christians
released,released
will,will
өзіңнен,yourself
үлкеннің,large
әйеліне,his wife
ағашқа,the tree
теріңнен,nutrition
іліп,hang
шыңғырғаның,şıñğırğanıñ
сайын,every
ішіңдегі,işiñdegi
отырады,is
өтеді,will be held
израиль,Israeli
келісім,agreement
жүргізуге,to conduct
келісті,agreed to
so,so
as,as
a,a
gesture,gesture
арналады,is dedicated to
good,good
faith,faith
all,all
be,be
айналдырып,Scroll to
израил,Israel
шабуыл,attack
nettverk,nettverk
гибли,perished
студиясы,studio
қайғырма,mourn
көрісеміз,see you
ауыл,village
керегімізді,keregimizdi
үйренеміз,learn from
мектебің,School
сүйкімді,pleasant
бұрынғысы,previous
гүлдер,flowers
солып,The desiccating
қолыңмен,hands
қысып,pinch
отырдың,kept
тіріледі,will rise
өмірімдегі,life
оныда,onıda
қоштасарда,parting
сыйлады,presented
күніңдегі,küniñdegi
гүл,flower
kvaloy,kvaloy
күштері,forces
аударған,translated
білмейді,do not know
тұтқыннан,captivity
тұтқындардың,prisoners
босатты,freed
халықаралық,international
қарас,optical
ақыры,end
күшпен,by force
алғанда,In
қиқулаған,qïqwlağan
топтар,groups
көшеге,the street
қаза,death of
макерер,makerer
университеті,University
жылы,warm
тамызда,August
сауды,Commerce
аравияда,Arabia
айдалуда,pumped
жұмды,died
түсіне,to understand
енген,entry into
өлетін,death
субтитірлерін,swbtïtirlerin
басты,main
қайтуды,to return
ештеңеге,anything
епсізсің,hapless
тізем,Knee
дірілдеп,shaking
нау,Mar
жеңілдейсің,simplifying
жақты,sided
жуасың,Mild-Tempered
хакама,Hakam
кішкенетайсың,kişkenetaysıñ
кісінің,man
апарамын,take
қалдары,vis
естерінде,remember
құтқарам,rescuing
мектептен,school
жадты,memory
қосып,adding
жасырып,hide
ұмыта,forget
жаздаппын,jazdappın
қайдағы,kind
сэнге,SANGER
барар,The Way
уайымдадым,worried
жолды,path
баршы,all the
сендермен,you
торайға,pigs
айландырып,Rotate
көндірді,persuaded
жұмыспен,employment
қамтып,covering
жүрейін,keep
қойдың,sheep
қарайлап,look after a
құп,welcomes
ти,ti
сөйлеме,speak
атайтын,call
боласың,You will be
отырды,sat
иісіне,odor
тамақтанса,food supply
жұмыстан,work
қашқалақтаса,qaşqalaqtasa
отқа,the fire
кірісіңдер,kirisiñder
қараймын,look
алсын,to take
бейнеттенем,beynettenem
есептесем,consider
қоюыңа,ask
қызықтысы,interesting
асты,underwater
жабысқақ,sticky
қырылмайды,The Brit
сәлден,a little while
әзілдеп,joke
күзетшілікке,küzetşilikke
келші,for my
жазылған,written
күзетшілік,security
бөтен,outsider
жауынды,rainy
кіріпті,entered
тұнбаны,sludge
шығын,loss
қылғанып,who
ұйқтадыңыз,uyqtadıñız
кацурэ,kacwré
мырзаға,Mr.
күкіртті,sulfur
тұрғаннан,stay
істе,case
кетіресіңдер,ketiresiñder
жусан,wormwood
тұнбасы,yl
қонақтарға,guests
екенің,that
жумаған,did not wash
тапсырма,task
ішпедің,does not drink
дуаладым,dwaladım
жесең,eat
қайғы,sorrow
жеңілдеп,relief
қаласың,Will
менсіз,without me
есімнен,bad memories
адаса,the prodigal
жаздадым,almost
десейші,deseyşi
аяққа,foot
оралма,wrapped
қимылдай,move
ваннаны,bath
жуасыңдар,jwasıñdar
бақалардың,frogs
жоғарының,ABOVE
бұйрығы,The order of the
жуыңдар,Wash
малып,Dip
қалмайсыз,are not
қалдырамын,leave
кетші,ketşi
ауылымда,village
балапаным,chicken
құры,piss
плошка,ploşka
үзіліс,time out
кесіріңнен,harm
шу,noise
көтерілген,raised
немерем,grandchildren
немерең,grandchildren
қатырады,Freezes
тырысқаныма,trying
лайықты,worthy
қуырылған,fried
юбабамен,yubabamen
отыру,sit
бағыңды,Your Care
десең,If you want to
қимылда,in cooperation
туфлиді,shoe
өзіңмен,take
шұлықты,hosiery
шеш,take off
алғыс,thanks
білдіруді,to exercise
алғысым,thanks
доғарыңдар,Stop
жоғары,up
ұрсуды,urswdı
ұрсып,rebuked
мән,meaning
бермей,not
көн,leather
қалдырмайды,will not leave
танитын,already know
әбігерленіп,hustle and bustle
етіңізші,Let
тақта,board
істеңдер,do
атамын,grandfather
ласпын,laspın
тездетіңдер,tezdetiñder
салайын,Let me
соңына,the end
көмектес,Help
күйе,moth
болғыларың,to become
өзгелердің,others
иеленбе,won the
түрін,kind of
ізде,Search
жақпайды,contraindicated
көресіңдер,You will see
жатсыңдар,jatsıñdar
ақылдым,smarter
қабатта,floor
жұлып,stripped
мысыққа,cats
айналдырайын,mAKE
дірілдейсің,vibrated
келек,I want to
алыпсың,giant
мадақтау,praise
мейрімді,kind
жанның,the soul
бастадың,began
сендейлерге,sendeylerge
жылауық,cysts
айналдырам,the circumference
ойлайтын,think
істемейсің,do not
жатыпішер,jatıpişer
арамтамақтар,parasitism
жетерлік,there are a lot
салсам,Exposing
беліңді,run the course
бүгіп,bend
жүретін,accompanied by
болшы,Please be on
осындасың,here
болғың,you want to
мұрныңды,your nose
торай,piglets
ісіне,the work
кетпесін,do not
күндегідей,as we know
бәрінен,first of all
басқасына,another
ауысамыз,have introduced
бармайды,do not go
лифтпен,Take the elevator
баруыңыз,go to
артымыздан,behind
қарама,Polarity
құрметтілер,respectable
мойында,recognition
әрең,barely
бөліп,Share
табанын,the sole
тетікті,mechanism
бассаңдар,If you press
тоқылдатуды,toqıldatwdı
бейбақ,loser
шуламаңдар,şwlamañdar
зейінсіз,inconsiderate
шомылдықта,şomıldıqta
елестер,ghosts
лайықтысын,would be perfect
осынша,so much
баласың,boy
қалдырдың,have you
төрт,four
паспортымды,passport
аманымда,amanımda
кетсем,Forget
себіңізді,help
тигізесіз,help
айтылған,referred to
елде,country
жатқаны,that
түсінігіңіз,understanding
молаларды,graves
қазғанды,dug
өліктерді,dead
крокодилдерге,crocodiles
көзімізді,eyes
бақырайтып,baqıraytıp
саяси,political
оппозицияны,opposition
аколи,akolï
лаңи,lañï
руларының,the tribes
мыңдаған,Thousands of
әскер,military
таңғы,breakfast
адамадары,adamadarı
күтте,waited
қуырдақ,roasts
кемпірлерді,old
жүруім,walk
қайтайық,let's take
алдыртты,brought
ники,Nicki
артымнан,me
әдайым,ädayım
осыған,this
көрсетпейін,Do not show
шешті,decided to
құтылудың,get rid of
амалын,approach
ойлауың,reasonable to assume
құлақ,ear
асады,more than
нашарлағанша,the deterioration
күтем,Waiting
ендігі,the next
емеспе,is not it
болғанша,until the
шешемнің,mother
дастархан,table
бейнемізді,beynemizdi
жейсіз,eat
болуым,to be
жасырмақшы,cover
қатырмайды,Freezes
безгің,fever
орында,place
дәргерісің,därgerisiñ
нәрсеңді,what you
өлтір,kill
дейсіңдер,you say
бұрыс,wrong
азамат,citizen
құқығын,the right
бұзушылықтар,violations
себебінен,because
айларда,months
тіптен,even
нашарлап,worsened
тоқтатылуға,termination
қалғандары,the rest
қиынддап,qïınddap
айыптап,accused of
саясатын,policy
мемелекеті,memeleketi
уәдесін,his promise
бұзды,has violated
шығаруды,the release of
құқығыңды,rights
басын,head
құқығым,right
маймылға,monkeys
команда,team
аямайды,spare
досың,friend
елінің,the country
қамын,take care of
жасамақшы,will
айди,"ID,"
ылғи,always
мыннан,RISING
шығаршы,released
алдымен,primarily
түсер,enteringindicators
жасауың,make
атайтынын,claim
маймылы,maymılı
қорғанысың,defenses
маймылдарға,monkeys
паспорттарын,passports
ұстата,Keep
салмаймыз,do not
қолдары,the signatures
қанға,the blood
малынған,soaked in
азаматпын,are human
ұйғарып,decided to
болмауым,not be
өлтірмекпісің,öltirmekpisiñ
қиынырақ,more difficult
келісімін,consent
жасады,did
пеницилин,Penicillin
білуім,I need to know
оңтүстік,south
әріптестерімізбен,our colleagues
инда,Indus
кездесу,meeting
ұйымдастырыңыз,organize
иемдену,the acquisition of
анықталған,identified
тікелей,directly
демеймін,say
қоштасуға,to say goodbye
көшірме,copy
сыңарым,twin
миенга,mïenga
құйып,pour
қойғандай,already
сымбатты,slim
келісіп,agreed to
келбетің,look
сену,believe
басқалары,others
десіп,desip
иемденіп,possession
зомбылықпен,violence
бересің,Will
түсіндіріп,explain
зыя,zıya
біраздан,a little while
мақала,article
жазған,Post
кездесем,met
қосыларсың,added
мәселеге,issue
түсірерсің,tüsirersiñ
қосылам,Added to
шамасы,The value of
министірді,Minister of
көру,to see
ханымның,Ms.
танзанияға,Tanzania
сірә,obviously
жүз,hundred
мың,thousand
фунт,pounds
стерлинг,sterling
қаржысын,funds
қашқындарына,qaşqındarına
әдемісің,beautiful
қауіпсіздігім,safety
масанганың,masanganıñ
алдамасаңшы,aldamasañşı
білмегенсіп,not knowing
өлімін,mortality
тілегенім,Volunteer
білгің,to know
жүрегіне,the heart of
баттың,Butt
қабыл,accept
көңіл,interest
көтеру,raise
беттимен,bettïmen
танысытырғым,tanısıtırğım
джой,Joey
сіңілісі,sister
демалыста,vacation
көңіліңді,wife
аулайды,preyed
басталсын,Start with
угандалық,Ugandan
ковбойлар,cowboys
ойламаған,do not think
боларсың,You may have
қаржы,finance
құрмаса,formed
капитан,captain
болма,Do not be
табыстар,income
жоспары,plan
тапқыр,resourceful
айналайын,Dear
кеткелі,going
жатсың,are going to leave
бірде,no
айтатындығымды,aytatındığımdı
васваның,vasvanıñ
қайту,come back
біткен,complete
бітіруге,to finish
келгенім,all the
орнатуға,to set up
антым,The Oath
дәрігерлік,medical
сақтау,storage
анты,Oath
жоқтан,nothing
боқ,boq
ұятың,conscience
секілдімісің,sekildimisiñ
сандалып,rot
шағамды,şağamdı
шотландияданмын,şotlandïyadanmın
сізбе,sizbe
ішерлер,food
сүтін,milk
жаздың,summer
бетпақ,insolent
өткізер,hand
денең,your body
дүршіккеннен,dürşikkennen
айтуынша,According to
жынысы,sex
тамағына,the throat
медицина,Medicine
тұрғысынан,in terms of
ауытқушылықтардың,anomalies
себебім,because
әкелдім,brought
қолымыз,we
кетпекші,leave
дер,timely
әуе,air
жайға,mail
француз,French
ұшағын,plane
полестиналықтар,polestïnalıqtar
қашпты,trying to escape
қоныпты,qonıptı
ұсынып,offering
дүние,world
болуды,to become a
патша,king
аштық,hunger
халқы,People of
машиналар,machinery
айдап,incitement
британия,British
қорын,fund
аштым,opened
угандалықтар,wgandalıqtar
бергенді,giver
қалаймыз,want
англиядағы,England
тонна,ton
көкөніс,vegetable
жинадық,collected
экономикалық,economic
қиыншылық,trouble
ник,Nick
шотландияның,Scotland
патшасы,the king
ағылшындарды,"British,"
жеңгенімді,jeñgenimdi
көрді,see
істегенімді,done
ашына,desperation
көтерілістер,insurrections
жүзі,blade
жасайық,Let's do
эти,computer hardware
сәттен,the moment
түкір,Tukibay
түріңе,Give
құрмағанда,Single
африкаға,Africa
халықпен,the population
көңілімді,upset
көтерем,to do the
деппедің,deppediñ
ойлағаның,thought
ойыншық,toy
бәз,HRC
кәдімгі,ordinary
адамбыз,human beings
мәнісінде,In fact
өлімің,death
дәтің,could you
барды,Been
ұлттың,the nation
атасымын,his grandfather
ноколас,nokolas
көңілін,the attention of
возьмите,vozmïte
аударуда,translation
алыңызшы,Take
қалайсыздар,want
жолаушы,passenger
қаншауы,qanşawı
сионистер,Zionists
теледидар,television
камералары,cameras
тұтқындарды,prisoners
терминал,terminal
ғимаратына,the building
апарсын,drag
деңізші,say
пресса,press
сіздерге,you
медициналық,medical
дәрігерімді,därigerimdi
мындағы,here
жүрек,heart
мәселесімен,the problem
жіберілді,sent to
берудеміз,news provides
көрінген,it seemed
адамсыңдар,bad men
көрінбеген,undiscovered
дәрісі,lecture
меірбике,meirbïke
сауып,Things to Do
наразышылық,narazışılıq
менсінбеймін,mensinbeymin
клиникалық,clinical
жасау,create
таппасаң,do not see
жасатам,Smoothing
істеймін,will do
істесең,If
істемеші,does not
табам,set aside
үйден,home
ертемен,morning
жасаймыз,I will do
әйелі,wife
мулагода,mwlagoda
госпиталі,Hospital
білдірмей,Unbeknownst
жасар,year-old
ауылдағы,in rural areas
барсын,leopard
амал,approach
кіріп,visit the
шыға,go out
қоймас,unlikely
еркек,man
жасашы,Create
әйелмен,woman
істейміз,do
істерде,affairs
тамақтандыруды,catering
ойламайды,take care
дәртің,passionate
бұйрықтарыңда,orders
кіре,access to the
алмайсыңдар,You can not
туысқандарымызды,relatives
адамдарыңды,who are
шағымданам,complains
дұрыспысың,durıspısıñ
жеткізем,to making
адамдарыңа,men
көмектеспекшісің,kömektespekşisiñ
түснем,tüsnem
жіберсең,If you send
экономикасы,economy
құлдырайды,fall
үстіне,"In addition,"
елдегі,country
беделіңе,reputation
зиян,harm
тигізесің,This gives
азаттық,freedom
баладан,child
қызғанады,the midst of
көргісі,want to see
ұйқы,Sleep
шақыр,invite
көңілінен,to taste
екендігіңді,Are
николасым,Nicholas
қайтер,PLAY
