Vietnamese,English
williams,williams
stop,stop
đùng,whiz
tess,tess
del,del
kan,kan
nan,nan
chuốc,asking
dẫn,guide
rãnh,trench
jefferson,jefferson
gates,gates
trọc,denuded
calvin,calvin
trưởng,Secretary
hoặc,or
niêm,Listed
ói,vomiting
frankenstein,Frankenstein
bô,father
trò,trick
liam,liam
nhiệm,responsibility
river,river
gara,garage
nasa,nasa
montgomery,montgomery
cồn,alcohol
ever,Ever
ngủi,lived
bailey,bailey
sighs,sighs
gân,close
lệnh,Comeinand
ngoãn,obediently
chappie,chappie
lấn,encroached
khiêng,helped
sub,sub
ít,little
chòng,stall
hold,hold
tính,compute
bradley,bradley
liệu,Whether
ráp,Collapsible
lăm,five
dãi,permissiveness
gasps,gasps
chậu,pot
remy,remy
rợn,chillingly
nể,respectable
xua,scare
micah,micah
diều,kite
ain,ain
trẫm,station
rìa,edge
live,live
ấp,hamlet
abe,abe
lionel,lionel
perez,perez
christina,christina
isabelle,isabelle
stefan,stefan
sắp,almost
cỏi,willed
lavigne,lavigne
bon,bon
mặp,portly
bàn,table
stannis,stannis
cháo,porridge
axit,acid
xơi,xơi
choi,Choi
laptop,laptop
mài,grinding
tạo,create
xạo,lie
said,said
sài,sài
hậu,Queen
vera,vera
earl,Earl
light,light
mãi,forever
evil,evil
môt,Unmatched
củng,increased
dột,leaking
mẹo,tips
chánh,chief
inch,inch
đốm,spot
zeus,Zeus
playing,playing
cuốn,coil
golf,golf
sạc,charging
gas,gas
cm,cm
lothbrok,lothbrok
nazir,Nazir
bing,bing
ừa,ừa
zack,Zack
d.c.,D.C.
hiểm,insurance
tina,tina
olive,olive
tràng,colon
boom,boom
gloria,gloria
anthony,anthony
chúc,wish
bruno,bruno
thạo,expert
hawaii,hawaii
hercules,hercules
độ,point
nzt,NZT
arnold,arnold
dallas,dallas
lim,lim
bênh,defended
hans,hans
alison,alison
mick,mick
carson,carson
phố,city
thiền,meditation
hứa,promise
philip,philip
ngặt,strict
mạt,grit
people,People
hall,hall
lực,force
mean,mean
stanley,stanley
buzz,buzz
chùa,Temple
nicole,nicole
cynthia,cynthia
bud,bud
russell,russell
qui,qui
lìa,depart
yoko,yoko
fscy,fscy
đới,tropical
fscx,fscx
th́,th
kỳ,Any
igt,IGT
satan,satan
rậm,bushy
marion,marion
goku,goku
lorraine,lorraine
angie,angie
mississippi,mississippi
samantha,samantha
lola,lola
đặc,special
khâm,admiration
huyệt,pit
euro,euro
sushi,Sushi
nhũng,corruption
leslie,leslie
ana,ana
top,top
jin,jin
made,made
quạt,fan
chao,Chao
jj,JJ
allison,allison
giàn,scaffold
ngỗng,goose
viết,write
rượt,hotfoot
suôn,smoothly
thái,Status
helena,helena
yep,yep
ohio,ohio
kent,kent
kíp,kip
tạt,breaking
clip,clip
ngửa,Backstroke
núm,knob
chambers,chambers
bích,flange
earth,earth
bền,lasting
soái,Marshal
dream,dream
duke,duke
quẩy,quẩy
chứng,proof
dễ,easy
gwen,gwen
bít,Sealing
mafia,mafia
glenn,glenn
hiệu,mark
uốn,curling
d.,d.
harvard,Harvard
cheee,cheee
blur.,blur.
chaaa,chaaa
dorothy,dorothy
lít,liter
bolton,bolton
jaime,jaime
sharon,sharon
phác,therapy
into,Into
jonathan,jonathan
chàng,guy
chfbaa,chfbaa
je,je
strange,strange
ku,ku
xay,Garbage
thoát,exit
blah,blah
mcgill,McGill
murdock,Murdock
cúm,flu
stella,stella
curtis,curtis
nhõm,relief
titan,titanium
nora,nora
mùt,jam
khánh,Independence
laughs,laughs
thúi,rot
thệ,oath
heidi,heidi
chướng,distention
tơi,to
translator,translator
bộn,bộn
woman,woman
rà,review
phút,minute
nolan,nolan
hacker,hacker
xáo,disturbance
conway,conway
art,art
gregory,gregory
cí,Ci
google,google
phục,s
trơ,inert
daphne,daphne
metro,metro
lộc,Loc
niki,niki
hudson,hudson
sun,sun
elijah,Elijah
sảng,delirium
ngốc,idiot
bạt,Awning
jerusalem,jerusalem
tụi,us
lạc,lost
club,club
romeo,romeo
great,great
tôi-,I-
pam,pam
bí,pumpkin
trỗi,emergence
nàng,she
rùng,creepy
nothing,nothing
khét,khet
dụng,Its
carmen,carmen
soda,soda
cày,plowing
nanh,canine
ưi,iron
iraq,iraq
hugo,hugo
diane,diane
jude,Jude
val,val
every,every
hayes,hayes
woo,woo
xuất,Recommended
dylan,dylan
tránh,avoid
sexy,sexy
gập,folding
peabody,peabody
e.,e.
thú,interesting
nhót,and dancing
túm,caught
colorado,colorado
yu,yu
vớt,fish
ceo,ceo
std,std
nặc,Anonymity
thoi,buffet
chịch,prick
quật,Excavating
thuốc,medicine
ghim,pin
hót,singing
dự,projected
buck,buck
ganh,contention
radar,radar
tẹo,tẹo
kendra,kendra
quát,extensive
ngáy,snore
ngẫm,ngẫm
fs,fs
ăc,AC
te,te
jai,jai
venice,venice
mầm,germ
thắng,prevail
keep,keep
air,air
lùa,Sliding
nổi,well
thượng,rooftop
job,job
snart,snart
hoi,hoi
sút,shot
mặc,wear
đoán,guess
allah,allah
quế,cinnamon
găm,dagger
camelot,Camelot
át,ace
rẩy,shaking
janet,janet
edgar,edgar
mứt,jam
thiến,neuter
độc,poison
porter,porter
ramon,ramon
tuco,tuco
tịnh,translational
julian,julian
i,i
xỉu,faint
cợt,fun
fnhobo,fnhobo
link,link
vò,pitcher
copy,copy
madison,madison
trầy,scratch
mễ,mễ
mcclane,McClane
hát,sing
thing,thing
j.,j.
tuý,drug
kị,cavalry
jang,jang
mak,mak
cổ,neck
chéo,cross
chiêm,dream
gặm,gnaw
ẩu,reckless
oxford,oxford
sheldon,sheldon
place,place
captain,captain
lucky,lucky
khuấy,stirred
ria,mustache
rip,rip
le,le
địa,geography
khí,gas
dolores,Dolores
heroin,heroin
mảng,Plate
chẽ,close
sen,lotus
freddy,freddy
phớt,felt
vượng,prosperity
ni,ni
rèm,blinds
vienna,vienna
winchester,winchester
carlo,carlo
sanders,sanders
rồi.,already.
sục,jacuzzi
lả,exhausted
bai,Posts
cánh,wing
linderman,Linderman
reynolds,reynolds
ellie,ellie
trụy,failure
arizona,arizona
vằn,zebra
khiếm,blinds
lord,lord
grey,gray
nốc,gulping
hăm,intimidation
xấu,bad
sydney,sydney
uh-oh,uh-oh
roland,roland
april,april
quỷ,devil
dậy,up
marvin,marvin
vung,region
phimhd.vn,phimhd.vn
abigail,abigail
mốt,fashion
bệnh,sick
missouri,missouri
gotta,gotta
bói,divine
pháp,France
hên,hên
frodo,Frodo
muỗi,mosquito
martini,martini
fire,fire
sweet,sweet
peeta,peeta
nịnh,flattery
first,first
mm-hm,mm-hm
phà,ferry
dừa,coconut
ninja,ninja
mỗi,every
roberto,roberto
uỷ,authorized
chạp,sluggish
dìm,shoves
po,po
giục,expedite
mạng,network
tuần,week
lẳng,lẳng
guitar,guitar
xuồng,canoe
much,much
blood,blood
e-mail,email
nhộn,Pop
dumbledore,Dumbledore
jonah,Jonah
campbell,campbell
dance,dance
philly,philly
lì,li
vòng,ring
chapman,chapman
gao,rice
bjorn,Bjorn
joan,joan
tít,headline
fine,fine
bước,steps
rong,algae
sanchez,sanchez
fisk,fisk
tru,Stay
vy,vy
phộng,peanuts
prentiss,prentiss
stuart,stuart
louise,louise
rắm,fart
vàng,yellow
càn,raid
blog,blog
ngẩng,lifted
rita,rita
langley,langley
nelson,nelson
loanh,loanh
cffb,cffb
island,island
dude,dude
hời,bargain
bẽ,humiliated
before,all before
dấu,sign
cụm,cluster
dicaprio,DiCaprio
vời,great
hướng,direction
là-,was-
pop,pop
tennis,tennis
pepper,pepper
belle,belle
vatican,vatican
chè,tea
chầu,adoration
gửi,to send
xẻng,shovel
trội,excel
ii,ii
vợ,wife
thọc,thrust
summer,summer
nikki,nikki
bull,bull
ash,ash
lập,create
trận,battles
nghẹt,stuffiness
pharaoh,pharaoh
geller,Geller
thằn,lizard
phắn,part
naples,naples
powers,powers
không.,are not.
leonardo,leonardo
nghỉ,Vacation
metatron,Metatron
katherine,katherine
high,high
shakespeare,shakespeare
ảnh,image
piper,piper
chòm,constellation
nọc,stilt
đản,birthday
end,end
everything,everything
đóng,closed
antonio,antonio
file,file
tháng,month
luis,luis
linc,LINC
sò,clam
data,data
bishop,bishop
caleb,Caleb
willy,willy
andre,andre
vệt,streak
randall,randall
pierce,pierce
fax,fax
sầu,sorrow
áo,shirt
stu,stu
christopher,christopher
floki,floki
phản,reaction
kitty,Kitty
aye,Aye
tuổi,year old
ü,ü
sử,history
thompson,thompson
pan,pan
l.a.,l.a.
yoga,yoga
benny,benny
chảo,pan
morphine,morphine
herbie,Herbie
trc,trc
x-quang,X-ray
thận,kidney
jody,jody
tho,tho
clayton,clayton
út,youngest
subtitle,subtitle
rossi,rossi
biêt,know
tusk,Tusk
harper,harper
vo,vo
sâm-banh,champagne
try,tRY
chan,chan
xổ,lottery
online,online
ngả,reclining
evelyn,evelyn
tròng,Contacts
vũng,puddle
sparta,sparta
teo,atrophic
iron,iron
nới,ease
tèo,Teo
dịch,Translate
phẫn,indignation
connie,connie
times,times
chaney,CHANEY
lảm,Levellers
hayley,hayley
knocking,knocking
moore,moore
cmn,cmn
tựu,achievements
phím,keys
brick,bricking
tài,User
rico,rico
giả,false
rollo,Rollo
side,side
these,những
khá,rather
usd,USD
vitamin,vitamin
vấp,tripped over
help,help
thóc,paddy
nhút,shy
pound,pounds
nevada,nevada
hoffman,hoffman
logic,logic
point,point
brandon,brandon
cạp,Leggings
giẻ,rag
bần,Hospice
hope,hope
gin,gin
liêu,bureaucracy
hen,asthma
bíp,beep
brock,Brock
floyd,floyd
xém,almost
ập,strikes
arkham,arkham
tĩnh,static
mon,mon
nang,follicle
poe,PoE
thình,suddenly
pope,pope
cage,cage
wa,wa
sokka,Sokka
iran,iran
anton,anton
phịch,flopped
chộp,grab
elsa,elsa
lữ,tour
saint,saint
ding,ding
elle,elle
tráo,duplicity
bựa,bựa
gu,Style
mulder,Mulder
natasha,natasha
cấp,grade
ng,ng
tem,stamp
cabin,cabin
s.t.a.r.,s.t.a.r.
kè,embankment
kurt,kurt
deacon,Deacon
xù,terry
vọt,bounds
gyeon-woo,Gyeon-woo
diggle,Diggle
sugar,sugar
hotchner,hotchner
ui,ui
nhấm,nhấm
lynch,lynch
stay,stay
thím,aunt
suresh,suresh
viktor,viktor
lết,creep
petrov,Petrov
move,move
ngán,bored
điểu,điểu
toái,dark
mei,mei
pennsylvania,pennsylvania
album,album
bừng,flushes
tưới,irrigation
rời,leave
thor,thor
karate,karate
phỉ,hazelnut
mịa,mịa
chester,chester
nhả,release
kén,cocoon
boxing,boxing
bướng,contumacious
cairo,cairo
raul,raul
nemo,Nemo
days,days
drake,drake
argh,argh
clara,clara
ctu,ctu
columbia,columbia
tỏi,garlic
tessa,tessa
hugh,hugh
hằn,vicious
nhe,bared
bẩy,trap
sheila,sheila
bánh,cake
lex,lex
xử,treatment
laser,laser
east,east
lòi,lòi
always,always
cocaine,cocaine
napoleon,napoleon
mền,rug
rao,Ad
mụn,acne
churchill,Churchill
cyrus,cyrus
đuợc,Okay
scotch,scotch
labs,labs
theresa,theresa
detroit,detroit
miriam,miriam
virgil,virgil
sal,sal
tấn,ton
isabel,isabel
giun,worms
gina,gina
kane,kane
lara,lara
banks,banks
alexis,alexis
solomon,solomon
mủ,pus
peterson,peterson
naomi,naomi
rang,roasted
nhẹn,mobility
lady,lady
crawford,crawford
sớm,Soon
godfrey,godfrey
mind,mind
party,party
ireland,ireland
tyrion,Tyrion
xiên,slant
roosevelt,roosevelt
id,id
jenkins,Jenkins
phét,phét
stein,stein
heathcliff,Heathcliff
chần,blanched
hói,bald
hyah,hyah
ripley,Ripley
kiều,overseas
nham,lava
khải,revealed
paula,paula
quyệt,perfidious
t.,t.
kẻo,lest
put,put
tạm,provisional
cùi,leper
hạnh,happiness
lyle,lyle
gray,gray
yếm,plastron
cằm,chin
chập,convolution
hoạch,planning
đỡ,support
boa,boa
bingley,Bingley
warren,warren
samaritan,Samaritan
bợm,Tricksters
denise,denise
jensen,jensen
đạm,protein
gắng,to
đùa,funny
yay,yay
brandy,brandy
gerry,Gerry
hủ,hu
gãi,scratching
gavin,Gavin
carly,carly
melissa,melissa
vơ,Maldives
phillips,phillips
queens,queens
interpol,Interpol
thị,marketing
graham,graham
things,things
judith,judith
three,three
bân,Bin
vòm,roof
cleveland,cleveland
mửa,puke
yoon,yoon
giêsu,giêsu
brenda,brenda
protein,the protein
brendan,brendan
sóc,squirrel
lửng,mezzanine
rosa,rosa
skynet,Skynet
cocktail,cocktail
ngụm,sip
diếm,secretive
hills,hills
nài,insist
đạn,bullet
shawn,shawn
soo,soo
butler,butler
méo,distortion
sôcôla,chocolate
sandra,sandra
hun,hun
anita,anita
xở,managed
hẽm,Alley
cersei,cersei
doing,doing
mị,mị
lyla,lyla
craig,craig
vs,with
martinez,martinez
rô,checkered
thuộc,of
ngựa,horse
gretchen,gretchen
last,last
bữa,Accessible
butch,butch
ark,ark
jeffrey,jeffrey
lũ,flood
trốn,hide
milan,milan
fisher,fisher
micky,micky
gàng,neatly
sophia,sophia
free,free
wheeler,wheeler
shrek,shrek
money,money
luật,the law
thò,sticking
hùm,lobster
lụt,overwhelm
batiatus,Batiatus
tành,Stage
seattle,seattle
ando,ando
vấy,stained
dòm,expressed an
gò,hill
rv,rv
should,shouldnt
tạc,carved
joon,joon
mướn,rent
cora,Cora
gcpd,gcpd
dvd,DVD
sullivan,sullivan
westeros,World of A Song of Ice and Fire
sành,terracotta
frost,frost
dzậy,is fine
giỏi,great
sparrow,sparrow
thă,excuse
thoại,phone
edit,edit
măng,cement
nện,pounding
appa,appa
those,những
terrence,Terrence
nhạc,music
katara,katara
four,four
nằm,lie
russo,Russo
lúng,scratching
vicky,vicky
